"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
3.38536924433742,0.133726575221949,-0.00126442717509916,-0.0534322603720052,NA,-0.28034971798952,0.015058898588324,9,-3406.45520130571,6830.93849249906,0,0.71321407438741,0.71321407438741,TRUE
2.8614081418913,0.133728043395348,-0.00126443566648691,-0.0123619766639454,-0.00080951706995981,-0.279697048710494,0.0150251013016101,10,-3406.45484703882,6832.94403152106,2.00553902200227,0.26165114501252,0.97486521939993,TRUE
1.830864791498,0.133906976022615,-0.00126450817448091,-0.0499494323214016,NA,0.0176386795512348,NA,8,-3411.44542664408,6838.91332169197,7.9748291929136,0.0132284130951457,0.988093632495076,FALSE
-14.0446927511621,0.133939684659401,-0.00126476318267905,1.2025439324774,-0.0246919673352941,0.0171473654323848,NA,9,-3411.09288852855,6840.21386694475,9.27537444569316,0.00690395473272493,0.994997587227801,FALSE
1.85214510705766,0.133072634260219,-0.00125907698869558,NA,NA,-0.248989725178054,0.0138548324044378,8,-3412.47783374071,6840.97813588523,10.0396433861752,0.00471128138289855,0.999708868610699,TRUE
0.506831711862123,0.133279877121716,-0.00125947790383445,NA,NA,0.0247192311818862,NA,7,-3416.7268694326,6847.47121156411,16.5327190650551,0.000183309753935062,0.999892178364634,FALSE
2.625077732503,0.13385855016664,-0.00126218099371918,-0.0744497274230917,NA,NA,NA,7,-3417.84946630651,6849.71640531194,18.7779128128805,5.96551506378153e-05,0.999951833515272,FALSE
-21.0261005267377,0.133909097668119,-0.00126265597533921,1.78991493990145,-0.0367345201782457,NA,NA,8,-3417.06088714505,6850.14424269391,19.2057501948584,4.81664057293259e-05,0.999999999921001,FALSE
0.759456195706044,0.132659894815495,-0.00125113098961649,NA,NA,NA,NA,6,-3432.3863116215,6876.78572572311,45.8472332240563,7.89986564097456e-11,1,FALSE
3.66078762385436,0.0451252515924558,NA,-0.029111998442123,NA,-0.255642590091445,0.0138919636290136,8,-3757.4400625695,7530.9025935428,699.964101043748,7.21018815366679e-153,1,TRUE
2.82040338430308,0.044947189666394,NA,NA,NA,-0.237837573268386,0.0131959384850932,7,-3759.28778794012,7532.59304857914,701.654556080086,3.09648478879208e-153,1,TRUE
9.46439489235501,0.0451117407094351,NA,-0.483969649428408,0.00896523229059077,-0.262981568489248,0.0142717785026878,9,-3757.3960652706,7532.82022042885,701.881727929795,2.76400745793623e-153,1,TRUE
2.2183522778056,0.0452943944444385,NA,-0.0255877109420028,NA,0.0193151409332538,NA,7,-3761.90333063955,7537.82413397801,706.885641478953,2.26440022502785e-154,1,FALSE
1.53911617979555,0.0451289819121707,NA,NA,NA,0.0228781053820808,NA,6,-3763.33732703292,7538.68775654596,707.749264046906,1.47034731057308e-154,1,FALSE
-7.2976114095036,0.0453095728685515,NA,0.725168150000965,-0.0148005190439635,0.0190205697817231,NA,8,-3761.77451225501,7539.57149291382,708.633000414768,9.45189780854381e-155,1,FALSE
3.08605069800014,0.0454692831590815,NA,-0.052437485586461,NA,NA,NA,6,-3770.03996456972,7552.09303161956,721.1545391205,1.80510070191923e-157,1,FALSE
-15.3745480334372,0.0454937736483207,NA,1.40276947055213,-0.0286725397844706,NA,NA,7,-3769.551318199,7553.12010909691,722.181616597858,1.08012593636848e-157,1,FALSE
1.76678670879191,0.0451283213596317,NA,NA,NA,NA,NA,5,-3777.46750624984,7564.94436995446,734.005877455403,2.92326894639904e-160,1,FALSE
4.31887293178471,NA,NA,NA,NA,-0.274809346619479,0.0151838695317219,6,-4055.15810879281,8122.32932006572,1291.39082756667,2.6993842432424e-281,1,TRUE
4.91793699316308,NA,NA,-0.0206043443972127,NA,-0.287580285630189,0.0156867105713954,7,-4054.21953166719,8122.45653603329,1291.51804353424,2.5330287095347e-281,1,TRUE
17.0610441057383,NA,NA,-0.972397321419302,0.0187601445186725,-0.302975004501031,0.0164832538401391,8,-4054.02485970077,8124.07218780534,1293.13369530629,1.12929079329166e-281,1,TRUE
2.85048743117671,NA,NA,NA,NA,0.0251959897851902,NA,5,-4060.65525168881,8131.31986083239,1300.38136833333,3.01296152860671e-283,1,FALSE
3.29026858535736,NA,NA,-0.0164619155422776,NA,0.0229302704239191,NA,6,-4060.05304801273,8132.11919850557,1301.18070600652,2.02031745500019e-283,1,FALSE
-2.54679959752964,NA,NA,0.444089176669322,-0.00907962713964889,0.022749983999242,NA,7,-4060.0039992645,8134.0254712279,1303.08697872884,7.78892915858183e-284,1,FALSE
4.32812129372068,NA,NA,-0.0483720468885481,NA,NA,NA,5,-4071.86966450006,8153.7486864549,1322.81019395584,4.06102800722606e-288,1,FALSE
-12.332487337336,NA,NA,1.26504810061027,-0.0258795670002781,NA,NA,6,-4071.4668351473,8154.94677277471,1324.00828027565,2.23087299269476e-288,1,FALSE
3.10240362075224,NA,NA,NA,NA,NA,NA,4,-4078.26549977405,8164.53723687852,1333.59874437946,1.84472666874057e-290,1,FALSE
