"sites_sitename","Date","pre","wet","tmp","tmn","tmx","pet","SF","pre_detrended","wet_detrended","tmp_detrended","tmn_detrended","tmx_detrended","pet_detrended","site"
"Barro_Colorado_Island","16/01/1929",12.192,6,25.3999996185303,22.1000003814697,28.8000011444092,3.70000004768372,-999,-143.854236668155,100.620793054346,0.643841375987105,0.590021256504006,0.804972716965402,110.922855956473,"BCI"
"Barro_Colorado_Island","15/02/1929",1.778,2,25.8999996185303,22.3000011444092,29.6000003814697,4.70000028610229,-999,-156.545907347843,93.584132118395,1.07491414788029,0.7164780001739,1.53818900400472,108.978500459441,"BCI"
"Barro_Colorado_Island","16/03/1929",72.136,6,26.7000007629395,23.3000011444092,30.2000007629395,4.70000028610229,-999,-88.3591310137913,94.6876076430894,1.81007255393736,1.64738938354602,2.0752252801341,106.169868983793,"BCI"
"Barro_Colorado_Island","16/04/1929",42.672,8,27.3999996185303,24,30.8999996185303,4.70000028610229,-999,-120.110936170259,93.6334884233186,2.44266991466912,2.27567859917639,2.70962550203083,103.208259053516,"BCI"
"Barro_Colorado_Island","16/05/1929",350.266,20,26.8000011444092,23.5,30.1000003814697,3.60000014305115,-999,185.301652314028,102.719235122734,1.77929773431176,1.70835732558839,1.84780083310065,99.2821151387034,"BCI"
"Barro_Colorado_Island","16/06/1929",250.952,24,25.8999996185303,22.8000011444092,29.1000003814697,3.29999995231628,-999,83.7671698940629,103.75041256062,0.815695160561827,0.940901792916598,0.785602531529637,96.1028830282628,"BCI"
"Barro_Colorado_Island","16/07/1929",316.992,26,26.1000003814697,23,29.3000011444092,3.29999995231628,-999,147.690832553533,102.918408469174,0.955942055682389,1.07762665830808,0.927021672243846,93.356177405657,"BCI"
"Barro_Colorado_Island","16/08/1929",399.288,24,25.8999996185303,22.8000011444092,29,3.29999995231628,-999,227.833502732375,98.0342624916398,0.696021118525234,0.814282980736571,0.568125955574601,90.5587314928327,"BCI"
"Barro_Colorado_Island","16/09/1929",175.26,19,25.6000003814697,22.3999996185303,28.8999996185303,3.29999995231628,-999,1.68622009660453,90.1929005281486,0.337926906901348,0.352972745767854,0.410873170375847,87.8026117475067,"BCI"
"Barro_Colorado_Island","16/10/1929",249.428,25,25.5,22.3000011444092,28.8000011444092,3,-999,73.8356612549957,93.4837685382813,0.183414806831109,0.195548229219604,0.257009491870541,84.8745914654255,"BCI"
"Barro_Colorado_Island","16/11/1929",309.626,23,25.1000003814697,22.2000007629395,28.1000003814697,2.90000009536743,-999,131.981190493177,88.7260852041336,-0.271176777764335,0.0381414931296042,-0.497084174500255,82.0993044148986,"BCI"
"Barro_Colorado_Island","16/12/1929",47.752,15,25.1000003814697,21.8999996185303,28.3000011444092,3.10000014305115,-999,-131.846842329573,78.097596542581,-0.322354893152859,-0.315575556645602,-0.34793691052321,79.7491880860518,"BCI"
"Barro_Colorado_Island","16/01/1930",48.514,15,25.2000007629395,21.8999996185303,28.6000003814697,3.70000004768372,-999,-133.07078216679,75.422889351742,-0.273559686564777,-0.36921618049664,-0.0989656705647484,77.754061926172,"BCI"
"Barro_Colorado_Island","15/02/1930",16.002,7,25.8000011444092,22.2000007629395,29.5,4.70000028610229,-999,-167.472581916319,64.8743486594192,0.278484399754596,-0.119352112159799,0.753101031571532,76.2811848935103,"BCI"
"Barro_Colorado_Island","16/03/1930",6.604,8,27,23.6000003814697,30.5,4.80000019073486,-999,-178.667473606844,63.4478844284672,1.43359336753636,1.23380979764207,1.7080999170484,74.0266063845349,"BCI"
"Barro_Colorado_Island","16/04/1930",83.566,19,27.5,24.1000003814697,31,4.80000019073486,-999,-103.59385789238,71.8942506678175,1.88717590986298,1.68547970069213,2.16142304339746,71.5484592854873,"BCI"
"Barro_Colorado_Island","16/05/1930",258.318,25,26.8000011444092,23.5,30.1000003814697,3.60000014305115,-999,69.3624888930167,75.4623311300797,1.14377313809086,1.04038666418268,1.21763502410861,67.9882644149593,"BCI"
"Barro_Colorado_Island","16/06/1930",183.896,17,25.8999996185303,22.8000011444092,29.1000003814697,3.40000009536743,-999,-6.88224634502538,64.9897976280083,0.200459540402303,0.295493539708012,0.173792782911935,65.3884838851343,"BCI"
"Barro_Colorado_Island","16/07/1930",181.356,19,26.3999996185303,23.3000011444092,29.6000003814697,3.5,-999,-11.1545712721312,64.6359731647146,0.660006925969665,0.753662832967017,0.632703252351806,63.203755269009,"BCI"
"Barro_Colorado_Island","16/08/1930",149.606,19,25.8000011444092,22.7000007629395,28.8999996185303,3.29999995231628,-999,-44.6620875171678,62.243728341364,0.01969074315695,0.11207422681689,-0.10839646933346,60.6815645221741,"BCI"
"Barro_Colorado_Island","16/09/1930",293.37,23,25.5,22.3000011444092,28.8000011444092,3.40000009536743,-999,97.3773623127501,63.8919654002211,-0.319148427159064,-0.327882574133277,-0.24813446030965,58.4984979202366,"BCI"
"Barro_Colorado_Island","16/10/1930",153.924,21,25.3999996185303,22.2000007629395,28.7000007629395,3,-999,-43.7062886262703,59.6544017486306,-0.455351569104014,-0.465029044741708,-0.385319919506866,55.92613025388,"BCI"
"Barro_Colorado_Island","16/11/1930",298.704,24,25.3000011444092,22.3999996185303,28.3000011444092,2.90000009536743,-999,99.4136543547831,60.3816477155187,-0.591358159479036,-0.30187316785393,-0.82245162679164,53.6194279232475,"BCI"
"Barro_Colorado_Island","16/12/1930",266.7,16,25.2000007629395,22,28.3999996185303,3.10000014305115,-999,65.8341638391973,50.2201197665777,-0.724874654864617,-0.736065657437621,-0.757157989411926,51.7205547188137,"BCI"
"Barro_Colorado_Island","16/01/1931",30.48,12,25.6000003814697,22.3000011444092,29,3.79999995231628,-999,-171.981931399274,44.0254901772057,-0.35816024295357,-0.469917838852417,-0.191771021299502,50.2893691810643,"BCI"
"Barro_Colorado_Island","15/02/1931",24.638,8,26.1000003814697,22.5,29.8000011444092,4.80000019073486,-999,-179.337794763697,37.939128420036,0.110907547120693,-0.301278126679676,0.575920165484682,49.263157455722,"BCI"
"Barro_Colorado_Island","16/03/1931",140.716,9,27.2000007629395,23.8000011444092,30.7000007629395,4.90000009536743,-999,-64.6945815093876,36.9571426063796,1.18217963556195,0.969693150266572,1.4457771584478,47.4381582222077,"BCI"
"Barro_Colorado_Island","16/04/1931",91.232,14,27.8000011444092,24.3999996185303,31.3000011444092,4.90000009536743,-999,-115.681360016012,39.8761045728568,1.75272038034029,1.5400264135325,2.01472046978071,45.4167874511272,"BCI"
"Barro_Colorado_Island","16/05/1931",291.956,17,27.1000003814697,23.8000011444092,30.3999996185303,3.60000014305115,-999,83.6186484945356,40.8989994598296,1.02541559909796,0.912636009599758,1.08578884038678,42.1962049249071,"BCI"
"Barro_Colorado_Island","16/06/1931",381.254,23,26.1000003814697,23,29.3000011444092,3.29999995231628,-999,171.476348786866,44.8937774810736,-0.00157867773364373,0.0856604383949389,-0.0429629013499166,39.9481387792346,"BCI"
"Barro_Colorado_Island","16/07/1931",463.55,27,26.3000011444092,23.2000007629395,29.5,3.29999995231628,-999,252.408503476228,46.9895723051345,0.173454814639335,0.260816453858059,0.130294175233445,38.0980453374577,"BCI"
"Barro_Colorado_Island","16/08/1931",196.342,26,25.8999996185303,22.8000011444092,29,3.40000009536743,-999,-16.1779821154788,44.0591877224274,-0.25117662430711,-0.163583629007498,-0.396240058103047,36.3223460403021,"BCI"
"Barro_Colorado_Island","16/09/1931",194.31,23,25.5,22.3000011444092,28.8000011444092,3.29999995231628,-999,-19.5573203019222,39.1664521241105,-0.674642728116567,-0.686720053883313,-0.621677541663537,34.3830554776873,"BCI"
"Barro_Colorado_Island","16/10/1931",321.818,27,25.6000003814697,22.3999996185303,28.8999996185303,3.10000014305115,-999,106.676285762426,41.3703722131625,-0.59626802689564,-0.607935719852353,-0.54527411203836,32.4375264003133,"BCI"
"Barro_Colorado_Island","16/11/1931",783.334,28,25,22.1000003814697,28,2.90000009536743,-999,566.905691490441,40.5509508946363,-1.21751947900998,-0.928669299745447,-1.46861888975297,30.4691417318575,"BCI"
"Barro_Colorado_Island","16/12/1931",67.818,14,25,21.8000011444092,28.2000007629395,3,-999,-149.826278253489,24.8253199631561,-1.23704811898159,-1.24761210733678,-1.29022692051687,28.8917509554242,"BCI"
"Barro_Colorado_Island","16/01/1932",43.688,13,25.3000011444092,22,28.7000007629395,3.60000014305115,-999,-175.182881690947,22.0781730324466,-0.956179114763849,-1.06605657925411,-0.811560313541133,27.79327472356,"BCI"
"Barro_Colorado_Island","15/02/1932",7.62,7,25.8000011444092,22.2000007629395,29.5,4.59999990463257,-999,-212.409172425292,14.4219735001518,-0.473703194348879,-0.882835168529777,-0.0312620739035765,27.1830461417128,"BCI"
"Barro_Colorado_Island","16/03/1932",30.226,12,26.7000007629395,23.3000011444092,30.2000007629395,4.70000028610229,-999,-190.933379597176,17.7995405870295,0.409724816705666,0.201411911263982,0.649947549891795,25.7054842399204,"BCI"
"Barro_Colorado_Island","16/04/1932",112.268,16,27.8000011444092,24.3999996185303,31.3000011444092,4.80000019073486,-999,-110.029960754414,20.1582304812002,1.49357876605594,1.28618345622411,1.7314666031051,24.2093950398957,"BCI"
"Barro_Colorado_Island","16/05/1932",194.818,23,26.7000007629395,23.3999996185303,30,3.5,-999,-28.5536600276839,25.6036704953301,0.378876739615766,0.272439978846901,0.414467401967244,21.3974993622755,"BCI"
"Barro_Colorado_Island","16/06/1932",299.974,22,25.8999996185303,22.8000011444092,29.1000003814697,3.29999995231628,-999,75.5217287406231,23.0319452137558,-0.43538421474452,-0.340760886069269,-0.502199766066607,19.6687374956323,"BCI"
"Barro_Colorado_Island","16/07/1932",323.342,23,26.2000007629395,23.1000003814697,29.3999996185303,3.40000009536743,-999,97.8717139643312,22.54418760718,-0.148302693595394,-0.0525959127488953,-0.21748080869401,18.3214813858976,"BCI"
"Barro_Colorado_Island","16/08/1932",271.018,26,25.8999996185303,22.8000011444092,29,3.20000004768372,-999,44.5242064422056,24.0409306437948,-0.460766945075907,-0.363875766336243,-0.632411346033678,16.6589750314765,"BCI"
"Barro_Colorado_Island","16/09/1932",175.26,22,25.3999996185303,22.2000007629395,28.7000007629395,3.29999995231628,-999,-52.2286227470049,18.572034778852,-0.972350819410085,-0.974218735107865,-0.946488085530131,15.3297225235424,"BCI"
"Barro_Colorado_Island","16/10/1932",356.616,26,25.3000011444092,22.1000003814697,28.6000003814697,3,-999,128.191723405856,21.1829602387654,-1.08274352197279,-1.08335906263741,-1.05931756438289,13.6779695534235,"BCI"
"Barro_Colorado_Island","16/11/1932",789.432,27,25,22.1000003814697,28,2.79999995231628,-999,560.068635473102,20.7808116428439,-1.39266383197682,-1.09193031296152,-1.67177262035682,12.1133201400266,"BCI"
