"Date","cld","dtr","frs","pet","pre","tmn","tmp","tmx","vap","wet"
"16/01/1901",71.90000153,10.90000057,25.14999962,1.300000072,60.20000076,-3.900000095,1.600000024,7.099999905,4.400000095,11.98999977
"15/02/1901",70.59999847,12.30000019,25.92000008,1.300000072,9.100000381,-7.800000191,-1.600000024,4.599999905,3.600000143,5.460000038
"16/03/1901",69.40000153,14,18.70999908,2.600000143,81,-0.300000012,6.700000286,13.69999981,5.300000191,11.93999958
"16/04/1901",74.59999847,12.5,8.979999542,2.400000095,174.9000092,3.299999952,9.5,15.80000019,8.800000191,16.69999886
"16/05/1901",72.40000153,13.30000019,0,3.5,157,10.10000038,16.70000076,23.39999962,13.40000057,15.46000004
"16/06/1901",64.80000305,14.19999981,0,4.300000191,143.4000092,14.40000057,21.5,28.60000038,18.39999962,13.68999958
"16/07/1901",68.40000153,13.60000038,0,4.400000095,131.6000061,19.10000038,25.89999962,32.70000076,24.5,12.67000008
"16/08/1901",68.30000305,13.69999981,0,3.5,179.1999969,16.60000038,23.39999962,30.30000114,23.39999962,14.46999931
"16/09/1901",58.10000229,15,0,3.100000143,88.40000153,10.90000057,18.39999962,25.89999962,15.60000038,8.909999847
"16/10/1901",44.5,17.60000038,6.929999828,2.700000048,18,4.300000191,13.10000038,21.89999962,10,4.579999924
"16/11/1901",66.40000153,14,23.02999878,1.399999976,55.10000229,-2.700000048,4.300000191,11.30000019,5.900000095,9.010000229
"16/12/1901",67.59999847,12.5,26.95999908,1.100000024,147.6000061,-5.700000286,0.600000024,6.900000095,4.400000095,17.98999977
"16/01/1902",69.30000305,11.69999981,27.40999985,1.200000048,68.80000305,-6.200000286,-0.300000012,5.599999905,3.900000095,13.65999985
"15/02/1902",73,11.30000019,25.92000008,1.200000048,104.8000031,-7.800000191,-2.100000143,3.600000143,3.5,14.5199995
"16/03/1902",68.90000153,14.10000038,16.59000015,2.5,94,0.5,7.5,14.60000038,6.400000095,13.53999996
"16/04/1902",67,14.69999981,7.139999866,3.299999952,72,4.099999905,11.40000057,18.80000114,8.300000191,11.06999969
"16/05/1902",61.29999924,16.20000076,0,4.300000191,69.59999847,10.69999981,18.80000114,26.89999962,14.5,10.68999958
"16/06/1902",56.29999924,16.30000114,0,4.800000191,103.3000031,13.5,21.60000038,29.80000114,17.5,11.64999962
"16/07/1902",56.29999924,15.10000038,0,4.5,78.20000458,17.39999962,24.89999962,32.5,24.5,10.27999973
"16/08/1902",52.70000076,15.60000038,0,4.099999905,62.60000229,14.40000057,22.20000076,30,19.5,8.559999466
"16/09/1902",50.40000153,15.10000038,0,3.100000143,86.20000458,11.19999981,18.70000076,26.30000114,16.70000076,9.5
"16/10/1902",56.79999924,15.80000019,3.389999866,2.700000048,124.9000015,6.099999905,14,21.89999962,9.900000572,10.78999996
"16/11/1902",65.09999847,14.19999981,8.510000229,1.899999976,96.59999847,3.5,10.60000038,17.70000076,8.600000381,11.42000008
"16/12/1902",74.09999847,10.40000057,25.14999962,1,96.90000153,-3.900000095,1.300000072,6.5,5,14.60999966
"16/01/1903",71,11.40000057,26.76999855,1.200000048,96.20000458,-5.5,0.200000003,5.900000095,4.099999905,15.65999985
"15/02/1903",65.80000305,14,23.37999916,1.700000048,95.30000305,-4.599999905,2.400000095,9.400000572,4.599999905,14.78999996
"16/03/1903",69.09999847,13.40000057,8.309999466,2.700000048,112.4000015,3.700000048,10.40000057,17.10000038,8.100000381,14.09000015
"16/04/1903",67.90000153,14.10000038,5.659999847,3.299999952,99.80000305,4.800000191,11.80000019,18.89999962,8.600000381,13.29999924
"16/05/1903",59.29999924,16.10000038,0.02,4.099999905,73.09999847,9.699999809,17.70000076,25.80000114,14.30000019,10.23999977
"16/06/1903",71.40000153,13.19999981,0,3.600000143,178.6000061,12.5,19.10000038,25.70000076,17.20000076,14.13000011
"16/07/1903",58.10000229,14.69999981,0,4.400000095,92.09999847,16.70000076,24,31.39999962,22.89999962,11.50999928
"16/08/1903",64.5,13,0,3.5,120.9000015,15.80000019,22.30000114,28.80000114,21.80000114,11.92000008
"16/09/1903",48,16,0,3.299999952,59.5,10.90000057,18.89999962,26.89999962,16.30000114,7.529999733
"16/10/1903",61.40000153,15,3.389999866,2.400000095,82.09999847,6.099999905,13.60000038,21.10000038,10.60000038,8.720000267
"16/11/1903",56.40000153,15.5,23.02999878,1.5,23,-2.700000048,5.099999905,12.90000057,6.200000286,6.069999695
"16/12/1903",67.90000153,12.30000019,28.17000008,1,32.5,-7.099999905,-0.900000036,5.300000191,4,8.720000267
"16/01/1904",67,12.19999981,29.36999893,1,52.70000076,-8.800000191,-2.700000048,3.400000095,3.299999952,12.14999962
"15/02/1904",66.30000305,12.60000038,27.23999977,1.300000072,34.40000153,-8.400000572,-2.100000143,4.200000286,3.299999952,9.109999657
"16/03/1904",68.80000305,13.40000057,19.75,2.5,57.29999924,-0.699999988,6,12.69999981,5.200000286,10.75
"16/04/1904",68.30000305,14.10000038,10.67999935,3.100000143,65.59999847,2.600000143,9.600000381,16.70000076,7.200000286,11.11999989
"16/05/1904",63.60000229,15.30000019,0,4.099999905,86.09999847,10,17.60000038,25.30000114,13.5,11.40999985
"16/06/1904",63.40000153,14.40000057,0,4.400000095,157.5,14.30000019,21.5,28.70000076,18.10000038,13.21999931
"16/07/1904",63.29999924,14.5,0,4.300000191,140,16.10000038,23.30000114,30.60000038,21.10000038,12.47999954
"16/08/1904",60.5,14.69999981,0,3.799999952,68.30000305,14.90000057,22.20000076,29.60000038,20.70000076,9.069999695
"16/09/1904",51.40000153,15.30000019,0,3.400000095,63,12.19999981,19.80000114,27.5,16.80000114,8.029999733
"16/10/1904",41.5,17.5,7.379999638,2.5,35.10000229,4.099999905,12.80000019,21.60000038,10.40000057,5.779999733
"16/11/1904",61.29999924,14.60000038,20.82999992,1.5,34.40000153,-1.399999976,5.900000095,13.19999981,6.599999905,7
"16/12/1904",73,11.90000057,27.76000023,0.900000036,66.40000153,-6.599999905,-0.600000024,5.400000095,4.5,11.98999977
"16/01/1905",70,12.19999981,28.54999924,1.100000024,83.09999847,-7.599999905,-1.5,4.599999905,3.700000048,13.71999931
"15/02/1905",70.5,11.69999981,26.88999939,1.100000024,54.20000076,-9.5,-3.600000143,2.299999952,3.200000048,10.26000023
"16/03/1905",65.5,14,16.32999992,2.799999952,58.60000229,0.600000024,7.599999905,14.60000038,5.599999905,11.13999939
"16/04/1905",64,15.80000019,6.489999771,3.600000143,54.29999924,4.400000095,12.30000019,20.20000076,8.300000191,9.809999466
"16/05/1905",68.20000458,15.30000019,0,4.200000286,91.90000153,10.80000019,18.39999962,26.10000038,13.60000038,11.35999966
"16/06/1905",65.80000305,14.90000057,0,4.5,167,14.60000038,22,29.5,18.20000076,13.84999943
"16/07/1905",68.80000305,13.40000057,0,4.200000286,186.8000031,17.30000114,24,30.70000076,22,15.3399992
"16/08/1905",64.90000153,14.19999981,0,3.700000048,106.8000031,15.69999981,22.80000114,29.89999962,21.60000038,11.47999954
"16/09/1905",52.40000153,15.60000038,0,3.299999952,59.10000229,11.80000019,19.60000038,27.39999962,17,7.96999979
"16/10/1905",51,17,5.429999828,2.600000143,71.80000305,5,13.5,22,10.69999981,8.460000038
"16/11/1905",58.40000153,15.69999981,21.29999924,1.700000048,25.10000038,-1.600000024,6.300000191,14.19999981,6.400000095,6.589999676
"16/12/1905",72.20000458,12.40000057,25.25,1.200000048,100.4000015,-4,2.200000048,8.400000572,4.900000095,14.21999931
"16/01/1906",70.5,11.80000019,22.72999954,1.5,70.20000458,-1.899999976,4,9.900000572,5,13.68999958
