"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-9.20676246922822,-0.0166456120523671,0.678732678542418,-0.0286451692877971,1.92574442468847,-0.255381096311154,NA,NA,9,-2909.29551769622,5836.65083605689,0,0.294861575876126,0.294861575876126,FALSE
-6.43266974496248,-0.0167358325833466,0.67920007355033,-0.0286708886716755,0.247876325203588,NA,NA,NA,8,-2910.50195675533,5837.05173815363,0.400902096745995,0.241303376026037,0.536164951902163,FALSE
-9.75806801136922,-0.0165524455435234,0.678875052957052,-0.0286686066259045,2.19020489269194,-0.294841090359443,0.00156920016314407,-6.55752918712183e-06,11,-2908.10650324141,5838.30077244026,1.64993638337,0.129222770775504,0.665387722677667,FALSE
-6.45251313130228,-0.0168548560014535,0.679535787756093,-0.0286869018724318,0.258707758055178,NA,0.000242099261262513,NA,9,-2910.1335048016,5838.32681026766,1.67597421077153,0.127551334425278,0.792939057102944,FALSE
-9.00475869009301,-0.0167271913975016,0.678980049020737,-0.0286573033176289,1.80281619150994,-0.235636217358439,0.00015192113552583,NA,10,-2909.15753813615,5838.38819026366,1.73735420676803,0.123696243178485,0.916635300281429,FALSE
-6.53362321179178,-0.0167514042704326,0.6795612958559,-0.0287006734074795,0.258291438948901,NA,0.00128337639328914,-4.74160692284275e-06,10,-2909.55221501541,5839.17754402217,2.52670796528673,0.0833586205074733,0.999993920788902,FALSE
-5.91701168288513,-0.015828335339657,0.677188027883017,-0.0287240243392159,NA,NA,NA,NA,7,-2922.59819035781,5859.23356531058,22.5827292536924,3.67994079609101e-06,0.999997600729698,FALSE
-5.91814048303868,-0.0157956157473701,0.677086675268193,-0.0287165931830716,NA,NA,-9.95540243859452e-05,NA,8,-2922.53255683426,5861.1129383115,24.4621022546089,1.43793802968359e-06,0.999999038667728,FALSE
-6.00211272325607,-0.0156912814548521,0.677114442453565,-0.0287303700081108,NA,NA,0.000966870838555759,-4.8534956529564e-06,9,-2921.92921416043,5861.91822898531,25.2673929284174,9.61332271940761e-07,1,FALSE
-15.6545643137765,NA,0.629249957583011,-0.0308556750890751,2.82972260604066,-0.401703924300722,0.00207372510372722,-1.00487028093188e-05,10,-2954.35195556198,5928.77702511532,92.126189058431,2.91521378452823e-21,1,FALSE
-14.4695948249287,NA,0.628446969865516,-0.0308814759554086,2.16090623957822,-0.299055082207295,NA,NA,8,-2956.91584324033,5929.87951112363,93.2286750667408,1.67984269049209e-21,1,FALSE
-11.2518032010752,NA,0.628693462003973,-0.0309245221052497,0.195770335478135,NA,NA,NA,7,-2958.59127294089,5931.21973047674,94.5688944198555,8.59495642364128e-22,1,FALSE
-14.5875579915754,NA,0.628445438534841,-0.0308658496468513,2.24228961029782,-0.312097625110555,-0.000100501815669496,NA,9,-2956.8549618153,5931.76972429506,95.1188882381721,6.52850947828951e-22,1,FALSE
-11.3395700329325,NA,0.629357406493945,-0.0309332113767068,0.196639220758019,NA,0.00169025633884541,-7.60423140208718e-06,9,-2957.07448162544,5932.20876391534,95.5579278584519,5.24176801862233e-22,1,FALSE
-11.2560336963789,NA,0.628691721798995,-0.0309271111683199,0.196587330118084,NA,1.89953539302998e-05,NA,8,-2958.58898602841,5933.22579669979,96.5749606429017,3.15233187685314e-22,1,FALSE
-10.6299525685333,NA,0.629444906052445,-0.0308951728479095,NA,NA,NA,NA,6,-2966.26453373526,5944.5569466607,107.906110603811,1.09170169056672e-24,1,FALSE
-10.6929978846544,NA,0.630082655899355,-0.0308698790704639,NA,NA,0.00143410647742744,-7.5941600501162e-06,8,-2964.40012214337,5944.84806892972,108.19723287283,9.43816543115415e-25,1,FALSE
-10.609708051797,NA,0.629428076784547,-0.030864791273321,NA,NA,-0.00023509785170725,NA,7,-2965.89677238231,5945.83072935957,109.179893302684,5.7743829743071e-25,1,FALSE
-7.20680361941642,-0.0190491915811162,0.206209014920538,NA,2.03279704202564,-0.272148128920879,NA,NA,8,-3026.14993809213,6068.34770082723,231.69686477034,1.43642600923263e-51,1,FALSE
-8.06236979142027,-0.0188713157844613,0.205989775411917,NA,2.46753696203539,-0.338264798836431,0.00180312569185132,-8.09349583687674e-06,10,-3024.47283871617,6069.01879142371,232.367955366818,1.02697007494538e-51,1,FALSE
-4.25877764226673,-0.0191079662865048,0.206054470007111,NA,0.2443801368237,NA,NA,NA,7,-3027.59760815737,6069.2324009097,232.581564852808,9.22939170477015e-52,1,FALSE
-7.12247146323874,-0.0190848404631488,0.2062245262072,NA,1.98225134145288,-0.264050953240663,6.14155130217925e-05,NA,9,-3026.12695059823,6070.31370186091,233.662865804021,5.37491449830198e-52,1,FALSE
-4.26799619324361,-0.019200263667707,0.206109803084437,NA,0.251637065578443,NA,0.000167253839491492,NA,8,-3027.41778491135,6070.88339446568,234.232558408792,4.04263361386619e-52,1,FALSE
-4.36908644490956,-0.0190671304992972,0.205910845959674,NA,0.250815255074157,NA,0.00146815571326391,-5.9433952788162e-06,9,-3026.47177114822,6071.00334296089,234.352506904001,3.80730700582895e-52,1,FALSE
-3.73568537816809,-0.018260863064327,0.203643417644904,NA,NA,NA,NA,NA,6,-3039.92602173067,6091.87992265152,255.229086594635,1.11513184355622e-56,1,FALSE
-3.84895636666002,-0.0180587311668272,0.203454924397984,NA,NA,NA,0.00118589007546028,-6.16478171893708e-06,8,-3038.73502560655,6093.51787585608,256.867039799188,4.91642251039073e-57,1,FALSE
-3.74188634371776,-0.0181947510144116,0.203656903800867,NA,NA,NA,-0.000164629901682439,NA,7,-3039.74299845644,6093.52318150783,256.872345450945,4.90339738186266e-57,1,FALSE
-14.3558673753517,NA,0.140240632752939,NA,2.78182714308707,-0.391776376611516,0.00213745104193382,-1.04817749973112e-05,9,-3062.62915849087,6143.3181176462,306.667281589311,7.54508427536312e-68,1,FALSE
-13.0833362350232,NA,0.139541317748879,NA,2.05600834103381,-0.280162909790866,NA,NA,7,-3065.54850224432,6145.1341890836,308.483353026713,3.04305073404381e-68,1,FALSE
-10.0672422189112,NA,0.139226796706718,NA,0.214815319053502,NA,NA,NA,6,-3067.11731889428,6146.26251697874,309.611680921856,1.73099535986653e-68,1,FALSE
-10.1482436806137,NA,0.139485528913803,NA,0.214057115435224,NA,0.00175076558798162,-7.99508748146887e-06,8,-3065.36988393241,6146.78759250779,310.136756450906,1.33130389086467e-68,1,FALSE
-13.2257594826022,NA,0.139730898960689,NA,2.1541269028669,-0.295860059115987,-0.000118692389796594,NA,8,-3065.46109875686,6146.9700221567,310.319186099812,1.21524293900503e-68,1,FALSE
