"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.128918237643216,-0.0197415317933035,0.34105704600127,-0.00544656320434675,-2.21036527660798,0.368028702712949,-0.000355561622101606,7.11129125741366e-06,11,-2688.57851988446,5399.21832110596,0,0.984222757378324,0.984222757378324,TRUE
-0.886603662996307,-0.019703016244949,0.341240739791591,-0.0054458065056286,-1.8030027814801,0.305952849474305,0.00123760916743387,NA,10,-2693.90546822014,5407.86199236973,8.64367126376601,0.0130660415836597,0.997288798961983,TRUE
-4.20623382544486,-0.0196414096930376,0.341752850559241,-0.00546226988660614,0.231487825971795,NA,-0.000139616779441162,5.52764886738784e-06,10,-2695.57059764898,5411.19225122741,11.9739301214504,0.00247165308053275,0.999760452042516,TRUE
-4.26264191617542,-0.0196241970530498,0.341807724555853,-0.0054595379687189,0.22784122440092,NA,0.00111769088270198,NA,9,-2698.90913277557,5415.8600288922,16.6417077862434,0.000239547957464821,0.999999999999981,FALSE
-4.17295604682808,-0.0187938487121667,0.338267547310615,-0.00539527714309031,0.155769352520904,NA,NA,NA,8,-2723.98470420188,5464.00281132651,64.7844902205534,8.42015516754254e-15,0.999999999999989,FALSE
-2.69604545211099,-0.0187897270920687,0.337855603551749,-0.00538623575980453,-0.733438375734966,0.133452376908636,NA,NA,9,-2722.99154723704,5464.02485781515,64.8065367091922,8.32784743994587e-15,0.999999999999998,TRUE
-3.86312577073035,-0.0182120766537755,0.33502617880187,-0.00532613336126779,NA,NA,-0.000364668917787744,4.76658964179329e-06,9,-2724.45798690425,5466.95773714957,67.7394160436097,1.92161378303658e-15,0.999999999999999,TRUE
-3.91797935341012,-0.0182122065680299,0.335157244794005,-0.0053258826881645,NA,NA,0.000725116523717223,NA,8,-2726.8921511256,5469.81770517395,70.5993840679866,4.59866675590192e-16,1,FALSE
-3.9301227608415,-0.0179399919524157,0.334182736796035,-0.0053109367217631,NA,NA,NA,NA,7,-2738.57731922191,5491.1806124698,91.9622913638359,1.05617421696438e-20,1,FALSE
-0.463609096258334,-0.0154605776100149,0.157300022406199,NA,-2.17115798032949,0.360947799645231,-0.000465953219724436,7.34148262713045e-06,10,-2775.18117016423,5570.4133962579,171.19507515194,6.58499074484335e-38,1,TRUE
