"(Intercept)","CO2","dbh","I(dbh^2)","tmn","I(tmn^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
1.89841038361191,-0.0166967805101066,0.332453472337901,-0.0097376722217353,-1.29499280651466,0.0884752055519613,-0.218260092156844,0.011923170045438,11,-284.88506557064,591.877710603383,0,0.935780312159077,0.935780312159077,TRUE
0.680741176241173,-0.0168139564852825,0.335581926057725,-0.0098710622683018,-1.2692780006493,0.0864745294684742,0.0178481030758072,NA,10,-288.599330404203,597.288273843029,5.41056323964654,0.0625583123814932,0.99833862454057,TRUE
0.520039283547517,-0.0165450861108422,0.330830554799172,-0.0096671624942859,-1.20068697334719,0.0821541600813532,NA,NA,9,-293.235947589767,604.545185081813,12.6674744784303,0.00166137155717401,0.999999996097744,TRUE
-3.31983453075753,NA,0.38170458167422,-0.0151228942033378,-1.29028747949409,0.0881944637575137,-0.236238684135996,0.0127827382298735,10,-305.230811435367,630.551235905358,38.6735253019749,3.74390298694901e-09,0.999999999841647,TRUE
-4.66575704710812,NA,0.385699522806397,-0.0153183423521186,-1.26280237800553,0.0860580451391135,0.0168338331901629,NA,9,-309.448090465568,636.969470833417,45.0917602300341,1.51224647288318e-10,0.999999999992872,TRUE
-4.72718712671905,NA,0.38032591877123,-0.0150398404205831,-1.20050278842127,0.0821446707711397,NA,NA,8,-313.518132844158,643.094873746923,51.2171631435406,7.07144613938301e-12,0.999999999999943,TRUE
5.37827755600697,-0.0252745549809964,0.151426353348292,NA,-1.24961368242437,0.0856463330796345,-0.250204273692711,0.0134255832046755,10,-316.389837951715,652.869288938053,60.9915783346703,5.33360620284684e-14,0.999999999999996,TRUE
4.05846778422025,-0.0255652749360453,0.152348837898115,NA,-1.21809464758079,0.0832247076458289,0.0156052815334632,NA,9,-321.12528164011,660.323853182501,68.4461425791177,1.28316613415153e-15,0.999999999999998,TRUE
-3.1754926956087,-0.0162379372605757,0.324093659184377,-0.00935638789995802,NA,NA,-0.160253014086351,0.00868276759540348,9,-321.402604675091,660.878499252463,69.0007886490802,9.72395689969025e-16,0.999999999999999,TRUE
-3.17342581450229,-0.0162084073191721,0.32314515767575,-0.00930695597061052,0.00592126406830899,NA,-0.169968911094157,0.0091358465500878,10,-321.184773974205,662.459160983034,70.5814503796507,4.41170730617244e-16,0.999999999999999,TRUE
-3.99754427981771,-0.0163356574735432,0.326202196724689,-0.00944017557075158,NA,NA,0.0114770462571018,NA,8,-323.367852455923,662.794312970454,70.9166023670707,3.73103533589201e-16,1,FALSE
-4.01865763845547,-0.0163227754529859,0.325773078041731,-0.00941717829976817,0.00304667294489016,NA,0.0110889559585953,NA,9,-323.30895452738,664.69119895704,72.8134883536567,1.44519284844581e-16,1,FALSE
-3.91266361368377,-0.0162213820175821,0.323835245372205,-0.00933577104497761,NA,NA,NA,NA,7,-325.334533183614,664.714631867636,72.8369212642529,1.42835911942752e-16,1,FALSE
3.83441715512173,-0.0251265894591051,0.151311799382911,NA,-1.15626125127206,0.0793187566224726,NA,NA,8,-324.668246499084,665.395101056777,73.5173904533942,1.01642515566134e-16,1,TRUE
-3.96173242788515,-0.016203170937328,0.323119092405407,-0.00929574136254692,0.00624342355192491,NA,NA,NA,8,-325.078077247436,666.214762553481,74.3370519500979,6.74664987297823e-17,1,FALSE
-8.22815715376583,NA,0.371912915532025,-0.0145896114564096,NA,NA,-0.178650621419721,0.00957744485479198,8,-341.108282344919,698.275172748446,106.397462145063,7.36645524773236e-24,1,TRUE
-8.21663083650294,NA,0.370773531429891,-0.0145240226188533,0.00635160969185986,NA,-0.188938988914638,0.010056991189204,9,-340.860942894094,699.795175690467,107.917465087084,3.44503873774224e-24,1,TRUE
-9.16975337163995,NA,0.374745160385216,-0.0147241591852505,NA,NA,0.0107312819342707,NA,7,-343.468478153786,700.982521807979,109.104811204596,1.90267747256461e-24,1,FALSE
-9.05585197987934,NA,0.372092991300273,-0.0145871945404575,NA,NA,NA,NA,6,-345.163959472753,702.362079173241,110.484368569858,9.54548722225597e-25,1,FALSE
-9.18785818689358,NA,0.374239772949876,-0.0146943632288322,0.00322737425746691,NA,0.0103221302480208,NA,8,-343.40329503161,702.865198121829,110.987487518446,7.42244877518434e-25,1,FALSE
-9.09892535913241,NA,0.37131708763727,-0.0145399726006466,0.00619186998347626,NA,NA,NA,7,-344.915316278609,703.876198057624,111.998487454242,4.47725017810882e-25,1,FALSE
0.290132951350243,-0.0243787594496657,0.14950631586366,NA,NA,NA,-0.186198069154358,0.00990592510917245,8,-350.879570073052,717.817748204711,125.940037601328,4.20380162157626e-28,1,TRUE
0.256677405241741,-0.0242368561583871,0.149351361311877,NA,0.00979739595941832,NA,-0.201909502332776,0.0106382022916437,9,-350.281328740265,718.63594738281,126.758236779427,2.7923671440348e-28,1,TRUE
-0.609477899674606,-0.0245896911819599,0.150254088862941,NA,NA,NA,0.00969944236705529,NA,7,-353.44817706775,720.941919635907,129.064209032525,8.81529817621182e-29,1,FALSE
-0.57550060489363,-0.0243927503976125,0.149780738532019,NA,NA,NA,NA,NA,6,-354.85523293915,721.744626106034,129.866915502651,5.9010801251592e-29,1,FALSE
-0.676078224423533,-0.0245054613118112,0.150186713680298,NA,0.00652507940075558,NA,0.00888049935794591,NA,8,-353.177462709355,722.413533477317,130.535822873934,4.22357413316925e-29,1,FALSE
-0.671790984910417,-0.0242993209608434,0.149744878543746,NA,0.00905337343098143,NA,NA,NA,7,-354.315454747943,722.676474996294,130.798764392911,3.70325055032897e-29,1,FALSE
