"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-7.49331049617941,-0.00506205254006764,0.258290356236354,-0.00513440060748995,NA,NA,NA,NA,7,-403.754663559639,821.53235817007,0,0.226470072534754,0.226470072534754,FALSE
-7.49021328407753,-0.00509886541076193,0.258521021295474,-0.00514047264050094,0.000674504856432183,NA,NA,NA,8,-402.753519363032,821.536656167446,0.00429799737617031,0.225983911213106,0.45245398374786,FALSE
-7.47773939481543,-0.00505004963447561,0.258336725984062,-0.00513809783049861,0.000681339646346894,NA,-0.00404721103710026,NA,9,-402.387168670661,822.811366759137,1.27900858906673,0.119475163335121,0.571929147082981,FALSE
-7.4812874223678,-0.00501399072504965,0.258108540649165,-0.00513205359299097,NA,NA,-0.00393371030945449,NA,8,-403.408542036956,822.846701515293,1.31434334522351,0.117382887391222,0.689312034474202,FALSE
-7.486769945627,-0.00510475836917192,0.258624242007061,-0.00514253041568153,0.000192559715390866,1.71816905064522e-05,NA,NA,9,-402.704214107545,823.445457632906,1.91309946283604,0.0870134822192584,0.776325516693461,FALSE
-7.68421875706608,-0.00503651428503745,0.25809705350338,-0.00513028098202078,NA,NA,0.0606292823014621,-0.0049113772049307,9,-402.870297127152,823.77762367212,2.24526550204996,0.0736983237776747,0.850023840471136,FALSE
-7.64293813215159,-0.00506505216747329,0.2583071366147,-0.005136138816419,0.000621271515112875,NA,0.0484114024665332,-0.003989825639474,10,-402.039850984676,824.124969459065,2.59261128899482,0.0619487333542066,0.911972573825342,FALSE
-7.47350609543554,-0.00505573433754815,0.258451095056236,-0.00514040426204341,0.000128330993803357,1.9720575984473e-05,-0.00413755427876086,NA,10,-402.322390076088,824.690047641887,3.15768947181743,0.0467011164011366,0.958673690226479,FALSE
-7.63894608070913,-0.00507082161287095,0.258422517955225,-0.0051384623264861,6.31490375255845e-05,1.9899272676514e-05,0.0484096616321511,-0.00399662676912842,11,-401.973880808753,826.002093784619,4.46973561454899,0.0242337187180773,0.982907408944556,FALSE
-8.96814775805603,NA,0.247789820749621,-0.00524908836592742,NA,NA,NA,NA,6,-408.802048900405,829.621367537652,8.08900936758175,0.00396738870879965,0.986874797653356,FALSE
-8.9754249580359,NA,0.247926557517835,-0.00525525756184626,0.000646879646917013,NA,NA,NA,7,-407.883683210348,829.790397471488,8.25803930141774,0.00364586320150506,0.990520660854861,FALSE
-8.93867074224786,NA,0.247700689461398,-0.00524516907601965,NA,NA,-0.00446587243637548,NA,7,-408.356716986644,830.736465024079,9.2041068540093,0.00227177026297763,0.992792431117838,FALSE
-8.94529648343646,NA,0.247836347501999,-0.00525129159990277,0.000654806063729698,NA,-0.00457797436569908,NA,8,-407.415768777684,830.861154996751,9.32879682668067,0.00213446150580833,0.994926892623647,FALSE
-8.97391560616101,NA,0.248004096353814,-0.00525705994999964,0.000225407186822793,1.50249363828694e-05,NA,NA,8,-407.846094196433,831.721805834248,10.1894476641785,0.00138803485579634,0.996314927479443,FALSE
-9.13990162111858,NA,0.247644736831942,-0.00524402081696374,NA,NA,0.0575588426109956,-0.00471848479487294,8,-407.861455980035,831.752529401453,10.2201712313829,0.00136687510656624,0.997681802586009,FALSE
-9.10813725998088,NA,0.247778713693038,-0.00524977861474871,0.000597092717850147,NA,0.0458014054245964,-0.0038318250957787,9,-407.096411582177,832.229852582169,10.6974944120996,0.00107666209244461,0.998758464678454,FALSE
-8.94295441503695,NA,0.247927114623889,-0.00525336898300361,0.000152706063732641,1.79043095913747e-05,-0.00466049693178379,NA,9,-407.362531678082,832.762092773979,11.2297346039088,0.000825096858042664,0.999583561536497,FALSE
-9.1060258052809,NA,0.247870533100445,-0.00525189546259233,9.02511045265327e-05,1.80702575546561e-05,0.0457967171434056,-0.00383780292394026,10,-407.042174721264,834.12961693224,12.5972587621701,0.000416438463503432,1,FALSE
-6.11647538731289,-0.00703859600963039,0.117025258599074,NA,NA,NA,NA,NA,6,-468.126146488616,948.269562714073,126.737204544003,6.82930527656436e-29,1,FALSE
-6.11283368376761,-0.00706792458986035,0.117031688705899,NA,0.000557831662649041,NA,NA,NA,7,-467.424594779994,948.872220610779,127.339862440709,5.05255473553839e-29,1,FALSE
-6.11307531108011,-0.00696067021809096,0.116880216611328,NA,NA,NA,-0.00408409334332751,NA,7,-467.744952830179,949.512936711149,127.980578541079,3.66759433802153e-29,1,FALSE
-6.10928827109137,-0.0069885661430333,0.116883389244702,NA,0.000565215783441091,NA,-0.0041824377136566,NA,8,-467.024855431855,950.079328305092,128.546970135022,2.76306385503969e-29,1,FALSE
-6.31942449202131,-0.00699476766457245,0.116922995794828,NA,NA,NA,0.062585476042876,-0.00507116028739483,8,-467.155398505662,950.340414452705,128.808056282636,2.42491648017445e-29,1,FALSE
-6.11094629493451,-0.00707105427175959,0.11705155516076,NA,0.00033410001980252,7.97437791364904e-06,NA,NA,8,-467.413717248544,950.857051938471,129.324693768401,1.87288184793142e-29,1,FALSE
-6.28589064561599,-0.00701442018784923,0.116919600082749,NA,0.000499830341849319,NA,0.0527428276552454,-0.00432910395679701,9,-466.604771797463,951.246573012742,129.714214842672,1.54144116864802e-29,1,FALSE
-6.10674427501974,-0.00699175192389896,0.116908051595368,NA,0.000267225319933397,1.06242762811141e-05,-0.00423219247307237,NA,9,-467.005602160403,952.048233738622,130.515875568552,1.0324012913378e-29,1,FALSE
-6.28345822638072,-0.00701770087946878,0.116944857323333,NA,0.000195810912836754,1.08370551030489e-05,0.0527448410688458,-0.00433311643334486,10,-466.584736020639,953.21473953099,131.68238136092,5.76162548113868e-30,1,FALSE
-8.22166835103422,NA,0.103322926257436,NA,NA,NA,NA,NA,5,-476.0710004503,962.15433389135,140.62197572128,6.59685250625487e-32,1,FALSE
-8.22647234247302,NA,0.103265087421987,NA,0.000532148987170691,NA,NA,NA,6,-475.433516129991,962.884301996825,141.351943826755,4.57958594745506e-32,1,FALSE
-8.18925443741374,NA,0.103346282597125,NA,NA,NA,-0.0049951033312658,NA,6,-475.500337891404,963.017945519651,141.485587349581,4.28357023163666e-32,1,FALSE
-8.19351642590471,NA,0.103288211904718,NA,0.000541434921335884,NA,-0.00509237113459433,NA,7,-474.840477910411,963.703986871614,142.171628701544,3.03972226837952e-32,1,FALSE
-8.39169959793414,NA,0.103314463774564,NA,NA,NA,0.0573845849673088,-0.00474516879627422,7,-474.984830099287,963.992691249366,142.460333079296,2.63113145126633e-32,1,FALSE
-8.22580287407848,NA,0.103276566944571,NA,0.000368728309982896,5.82439745288722e-06,NA,NA,7,-475.427723245155,964.878477541102,143.346119371032,1.68964900398573e-32,1,FALSE
-8.36499528393798,NA,0.10326662701257,NA,0.00048048767631063,NA,0.0479100773825174,-0.00403101854624561,8,-474.476755193953,964.983127829288,143.450769659218,1.60351111737793e-32,1,FALSE
-8.19219453843148,NA,0.103306222126565,NA,0.000286871779948654,9.07555650205446e-06,-0.00513524919627756,NA,8,-474.826451727662,965.682520896706,144.150162726636,1.13031814756242e-32,1,FALSE
-8.36379248576613,NA,0.103285365029654,NA,0.000220514649913483,9.26661219180781e-06,0.0479098178265807,-0.00403432806966866,9,-474.462130340076,966.961290097968,145.428931927898,5.96375091918053e-33,1,FALSE
-12.9702707473119,0.0192198246761305,NA,NA,NA,NA,-0.00681620178803705,NA,6,-613.226134992059,1238.46953972096,416.93718155089,6.58039850865448e-92,1,FALSE
-12.984473271188,0.0191269073529423,NA,NA,NA,NA,NA,NA,5,-614.260081915265,1238.53249682128,417.00013865121,6.3764834178305e-92,1,FALSE
-12.9684027756597,0.0191995608665208,NA,NA,0.000495438291798184,NA,-0.00690305062206298,NA,7,-612.687456743683,1239.39794453816,417.865586368087,4.13667737229936e-92,1,FALSE
-12.9828129460321,0.0191059559591969,NA,NA,0.000483154444357331,NA,NA,NA,6,-613.747870162846,1239.51301006253,417.980651892464,3.90539970911554e-92,1,FALSE
-13.1449545174623,0.0191963649748406,NA,NA,NA,NA,0.0492464186408839,-0.00426436682291441,7,-612.820162924474,1239.66335689974,418.13099872967,3.62258086425369e-92,1,FALSE
-13.1164379185508,0.0191819003680033,NA,NA,0.000440881724510375,NA,0.0405550671617296,-0.00360914319009584,8,-612.403120039151,1240.83585751968,419.303499349614,2.01563928431065e-92,1,FALSE
-12.9704775097832,0.0191985397291443,NA,NA,0.000879253278228904,-1.3685278354642e-05,-0.0068380573462034,NA,8,-612.656354868637,1241.34232717866,419.809969008587,1.56471168202269e-92,1,FALSE
-12.9853702493362,0.0191057743727354,NA,NA,0.000988980482077636,-1.80302069214414e-05,NA,NA,7,-613.693748932319,1241.41052891543,419.87817074536,1.51225317858499e-92,1,FALSE
-13.1183030551888,0.019180956246628,NA,NA,0.000820003823952149,-1.35153531569544e-05,0.040555701817004,-0.00360431032051439,9,-612.372784215559,1242.78259784893,421.250239678863,7.61523873238861e-93,1,FALSE
-6.7402724227665,NA,NA,NA,NA,NA,NA,NA,4,-674.284636939101,1356.57749418235,535.045136012283,1.48400631671605e-117,1,FALSE
-6.74636698343348,NA,NA,NA,0.000554069640368571,NA,NA,NA,5,-673.597122187906,1357.20657736656,535.674219196493,1.08350787402266e-117,1,FALSE
