"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-1.34259667077903,0.00370583936020657,0.0929140319254794,-0.000665113280338094,0.00724162989251145,0.00107888869519617,0.010393852612525,NA,10,-93795.5953844187,187611.192438477,0,0.622881709039661,0.622881709039661
-1.27769057769338,0.00369738120092966,0.0929143652609924,-0.000665100622697688,0.0073111872642841,0.00106210125250057,0.00209811388954654,0.000272630344826916,11,-93795.0991769099,187612.200357402,1.00791892534471,0.376303938887039,0.9991856479267
-1.36459208695799,0.00376127253201155,0.0929008479172588,-0.000665083221771377,0.0141301475670606,NA,0.0101973782510232,NA,9,-93803.8252284968,187625.651823052,14.4593845750205,0.000451429682655197,0.999637077609355
-1.2828427714937,0.00374959881088489,0.0929014739648035,-0.000665067455582272,0.0140829926483756,NA,-0.000192530943605318,0.000341578578372611,10,-93803.0433073138,187626.088284267,14.8958457901608,0.000362922390645025,1
-1.20548001616446,0.00380673159435827,0.0928500843508581,-0.000664774966723291,0.00723459310644876,0.000716939973499266,NA,NA,9,-93941.3498843117,187900.701134681,289.50869620475,8.47990458431244e-64,1
-1.22191987943055,0.00384251769490519,0.0928420216525681,-0.000664758075200272,0.0118414553432357,NA,NA,NA,8,-93944.9991303845,187905.999353607,294.806915130583,5.9964931776574e-65,1
-0.221477709567359,NA,0.0980590738394284,-0.000661862516807805,0.00626039640960084,0.0013682937717497,-0.00388365546696375,0.0004792571148405,10,-93960.8838085571,187941.769286753,330.576848276658,1.02460165305604e-72,1
-0.331641553797839,NA,0.0980835447687933,-0.000661887706858366,0.00613365680966479,0.00139904058841912,0.0107004130958297,NA,9,-93962.4215323494,187942.844430757,331.651992280269,5.98536304954451e-73,1
-0.209279660833083,NA,0.0981500024829288,-0.000661808475709634,0.0149991014051222,NA,-0.00695032212513657,0.000572013982221306,9,-93974.1352597456,187966.271885549,355.079447072698,4.89647258777809e-78,1
-0.341016460537926,NA,0.0981819807946543,-0.000661837787498706,0.0150825488306325,NA,0.0104498098258928,NA,8,-93976.3350782847,187968.671249408,357.478810930974,1.47525836430775e-78,1
-1.22239967692262,0.00405519785799073,0.0927096667965762,-0.000663735467942157,NA,NA,-0.0117295368945572,0.000641505229007917,9,-94008.6010022779,188035.203370614,424.010932137258,5.26746345298676e-93,1
-1.37599974138451,0.00407911617178295,0.0927070350221821,-0.000663753538348919,NA,NA,0.00776814293534898,NA,8,-94011.3583687702,188038.717830379,427.52539190196,9.08753904223207e-94,1
-1.26145746153334,0.00410267462745402,0.0926830459613103,-0.000663634465219557,NA,NA,NA,NA,7,-94096.331349923,188206.663549825,595.471111348219,3.08671606537473e-130,1
-0.162186874292788,NA,0.0981700498704175,-0.000661485969476401,0.00609332069920346,0.00103464443761137,NA,NA,8,-94117.2067958199,188250.414684478,639.222246001358,9.75120987577078e-140,1
-0.172122260043856,NA,0.0982419818397899,-0.000661455550214558,0.0127525255596485,NA,NA,NA,7,-94124.8458413617,188263.692532702,652.500094225485,1.27588166431725e-142,1
-0.0526811742703628,NA,0.0984504231373689,-0.000660277107066113,NA,NA,-0.0198294446345045,0.000910979203114798,8,-94208.6861787429,188433.373450324,822.181011847337,1.81998283715998e-179,1
-0.261814928540673,NA,0.0985051173552334,-0.00066031110530265,NA,NA,0.00785877071954461,NA,7,-94214.26731899,188442.535487959,831.343049482064,1.86447300018465e-181,1
-0.139178873047801,NA,0.0985075030261379,-0.000660156866079614,NA,NA,NA,NA,6,-94301.383106931,188614.766851341,1003.5744128646,7.43003286527347e-219,1
-0.310553830589439,0.0029890826921458,0.0379638757227855,NA,0.0068941131060452,0.00107687903194955,0.0101947234315166,NA,9,-95440.2552017088,190898.511769476,3287.31933099893,0,1
-0.231461541274316,0.00297843423327245,0.0379657615056655,NA,0.00698097804168443,0.00105633254708271,9.44513181135e-05,0.000331991379582145,10,-95439.5117724425,190899.025214524,3287.83277604752,0,1
-0.236931243860075,0.00303184234719059,0.0379549216638059,NA,0.0137111076426228,NA,-0.0021985105187233,0.00040099659462773,9,-95447.4592984496,190912.919962957,3301.72752448055,0,1
-0.332979494156729,0.00304601459064792,0.0379523795681411,NA,0.01376452535065,NA,0.00999656541225744,NA,8,-95448.5481208863,190913.097334611,3301.90489613416,0,1
0.617691053501719,NA,0.0421178801629836,NA,0.00626542394921459,0.00126208308884536,-0.00392868882483418,0.000471339193360781,9,-95527.0881601585,191072.177686375,3460.98524789838,0,1
0.509488405973573,NA,0.0421380345806185,NA,0.0061382345973461,0.00129232664319777,0.0104119743797717,NA,8,-95528.5902350872,191073.181563013,3461.98912453593,0,1
0.629171889941292,NA,0.0421998366519618,NA,0.0143184531724565,NA,-0.00676225572275778,0.000556991555638221,8,-95538.4823959583,191092.965884755,3481.77344627806,0,1
0.501066626020807,NA,0.0422262966459898,NA,0.014396493409109,NA,0.010177918432494,NA,7,-95540.5888643935,191095.178578766,3483.9861402892,0,1
-0.178300509543787,0.00309569572965712,0.0379189194736045,NA,0.00685075479596271,0.000718357419952421,NA,NA,8,-95582.0279919275,191180.057076693,3568.86463821644,0,1
-0.19507985566777,0.00313251414840476,0.0379118228454037,NA,0.0114642694271919,NA,NA,NA,7,-95585.7341061385,191185.469062256,3574.27662377906,0,1
-0.181385607783895,0.0033303788200228,0.03787358616104,NA,NA,NA,-0.0131597294254479,0.000682455842462195,8,-95643.8682047226,191303.737502283,3692.54506380681,0,1
-0.344926815037272,0.0033565397617489,0.0378687249909797,NA,NA,NA,0.00757912815091551,NA,7,-95647.0205546675,191308.041959314,3696.84952083704,0,1
0.674514810644654,NA,0.0422456719372067,NA,0.00606491334837948,0.000933614907304921,NA,NA,7,-95676.7197861894,191367.440422357,3756.24798388089,0,1
0.66569454693589,NA,0.042308118887588,NA,0.0120695246595882,NA,NA,NA,6,-95683.0073605387,191378.015358557,3766.82292008001,0,1
-0.234368844834484,0.00338378818380257,0.0378479638476289,NA,NA,NA,NA,NA,6,-95728.9697874689,191469.940212417,3858.74777394041,0,1
0.775998117199727,NA,0.0425730388766369,NA,NA,NA,-0.0187060005830087,0.000867407232841876,7,-95753.7652367959,191521.53132357,3910.33888509389,0,1
0.577133470908129,NA,0.0426177824168993,NA,NA,NA,0.0076537313696018,NA,6,-95758.8739073761,191529.748452231,3918.55601375477,0,1
0.696527102902494,NA,0.0426308727118259,NA,NA,NA,NA,NA,5,-95842.5540784147,191695.108612168,4083.91617369163,0,1
-2.53316942157853,0.0140315700448897,NA,NA,0.00739323063604392,0.000921685356358964,0.00988640067640109,NA,8,-97252.1302272063,194520.261547251,6909.06910877407,0,1
-2.46795271809273,0.0140230399602489,NA,NA,0.00746538104923758,0.000904715780213301,0.00155432961973598,0.000273884352538536,9,-97251.6247963485,194521.250958755,6910.05852027843,0,1
-2.55215376803133,0.0140785449666453,NA,NA,0.0132721731164221,NA,0.00971641522699307,NA,7,-97258.2006245715,194530.402099122,6919.2096606452,0,1
-2.4724253068595,0.0140671422331158,NA,NA,0.0132282802026974,NA,-0.000412592522470842,0.000333076774876636,8,-97257.4501741529,194530.901441144,6919.70900266722,0,1
-2.40335960730706,0.0141254883569617,NA,NA,0.00734044927239147,0.000573125762902365,NA,NA,7,-97385.3570147984,194784.714879576,7173.52244109902,0,1
-2.41662118840522,0.0141538282843386,NA,NA,0.0110206395823602,NA,NA,NA,6,-97387.714687419,194787.430012317,7176.23757384063,0,1
-2.41568422917322,0.0143351663238617,NA,NA,NA,NA,-0.0109077652828384,0.000601578700083119,7,-97439.9682266648,194893.937303308,7282.74486483177,0,1
-2.55972335853682,0.0143574069131648,NA,NA,NA,NA,0.00737253606356936,NA,6,-97442.4151577479,194896.830952975,7285.63851449845,0,1
-2.45142007315798,0.0143793577132993,NA,NA,NA,NA,NA,NA,5,-97519.9441877108,195049.88883076,7438.69639228377,0,1
2.27949508290977,NA,NA,NA,0.00400269912590274,0.00180059356174491,-0.0174556992826899,0.000923698758982923,8,-99406.0341932328,198828.069479304,11216.8770408271,0,1
2.06913498160458,NA,NA,NA,0.003747396736081,0.00185929859670382,0.0106399784225264,NA,7,-99411.9056938096,198837.812237598,11226.6197991214,0,1
2.30035623866131,NA,NA,NA,0.0154661184633072,NA,-0.021472105616912,0.00104478692878643,7,-99429.6407472251,198873.282344429,11262.0899059524,0,1
2.06217437420342,NA,NA,NA,0.0156003920824257,NA,0.0102941868956868,NA,6,-99437.1851118361,198886.370861151,11275.1784226747,0,1
2.24264672151093,NA,NA,NA,0.00362343575362916,0.0014846075814501,NA,NA,6,-99569.52394595,199151.048529379,11539.8560909026,0,1
2.23252598080724,NA,NA,NA,0.0131528173163296,NA,NA,NA,5,-99585.7141717803,199181.428798899,11570.2363604228,0,1
2.46993278230622,NA,NA,NA,NA,NA,-0.033616743178983,0.00135228758111421,6,-99683.7792535247,199379.559144529,11768.3667060521,0,1
2.16278412677307,NA,NA,NA,NA,NA,0.00746702987523192,NA,5,-99696.4198976957,199402.84025073,11791.6478122536,0,1
2.2799663190973,NA,NA,NA,NA,NA,NA,NA,4,-99777.931671374,199563.863646305,11952.6712078284,0,1
