"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.53087498681009,0.0612572038572571,NA,0.245725693766092,-0.00672266660549356,-0.00750645133448863,NA,NA,8,-313.126158704754,642.291236328427,80.3206418390818,2.40104377454118e-18,1,FALSE
-1.47816391104561,0.0612410552048033,NA,0.243799793579964,-0.00668229795685998,-0.0132128775794497,0.000257233259461241,NA,9,-312.99262716153,644.033916123546,82.0633216342007,1.00457408062485e-18,1,TRUE
9.31904367560565,0.0723289483710394,NA,-0.0191659723188061,NA,-0.00641025696749009,NA,-0.00427942007284735,8,-318.372119867923,652.783158654765,90.8125641654204,1.26505116966221e-20,1,FALSE
9.42045207667235,0.0723645513903514,NA,-0.0196426075307611,NA,-0.0145645595632974,0.000367234331215759,-0.00430442542298694,9,-318.100691458794,654.250044718075,92.2794502287302,6.07544132711348e-21,1,TRUE
1.05527811782388,0.0615138951761039,NA,-0.0192931843348472,NA,-0.00654294755047265,NA,NA,7,-320.98307817867,655.996418448666,94.0258239593209,2.53721689007858e-21,1,FALSE
1.10546991245045,0.0614897315416891,NA,-0.0197446522716668,NA,-0.0142530510870805,0.000347201584551335,NA,8,-320.740527458882,657.519973836683,95.5493793473378,1.18446367088309e-21,1,TRUE
7.97162350974707,0.0723579712255262,NA,0.197842188083105,-0.0056022252681849,NA,NA,-0.00469289786004552,8,-321.050694872521,658.140308663962,96.1697141746171,8.68595847202399e-22,1,FALSE
10.6808893729661,0.191892838900117,-0.00376318969804633,NA,NA,NA,NA,-0.00560117280316418,7,-323.295296208067,660.620854507461,98.6502600181161,2.51289338262283e-22,1,FALSE
-1.05287065423266,0.0604674571368605,NA,0.193818562476057,-0.00550549739414175,NA,NA,NA,7,-324.203546163379,662.437354418084,100.466759928739,1.01327217976823e-22,1,FALSE
9.84481742183351,0.072300297049304,NA,-0.0225829265102358,NA,NA,NA,-0.00454748997750506,7,-326.601710541152,667.233683173631,105.263088684286,9.20908672608788e-24,1,FALSE
-0.101913984362681,0.175052727195718,-0.0037466124726714,NA,NA,NA,NA,NA,6,-328.311706582417,668.646103602436,106.675509113091,4.54478521836865e-24,1,FALSE
1.06394660483715,0.0607704815710653,NA,-0.0227947218870356,NA,NA,NA,NA,6,-329.562733673265,671.148157784131,109.177563294787,1.30076607449741e-24,1,FALSE
9.4525058802226,0.0722408954037848,NA,NA,NA,-0.00982256991619932,NA,-0.0045176812229546,7,-342.828850330818,699.687962752962,137.717368263617,8.25770369225153e-31,1,FALSE
9.32799182239348,0.072202884190093,NA,NA,NA,1.9111082289046e-05,-0.000438656650558706,-0.00448105031272289,8,-342.426372258438,700.891663435796,138.921068946451,4.52354602061768e-31,1,FALSE
0.726820943592266,0.060794338561595,NA,NA,NA,-0.00998877912106017,NA,NA,6,-345.759648680814,703.54198779923,141.571393309885,1.20217693092486e-31,1,FALSE
0.66991354044908,0.0608520290375213,NA,NA,NA,0.000431097345137434,-0.000464366170005868,NA,7,-345.308703903484,704.647669898294,142.677075408949,6.91628009005061e-32,1,FALSE
10.3627445895984,0.0721634543036773,NA,NA,NA,NA,NA,-0.00503318421505374,6,-363.744970708423,739.512631854448,177.542037365103,1.85798531877577e-39,1,FALSE
0.640606385938977,0.0593337543674086,NA,NA,NA,NA,NA,NA,5,-367.415216026055,744.846635130694,182.876040641349,1.29055994954023e-40,1,FALSE
-24.936354788042,NA,NA,0.248585480730684,-0.00679518764411326,-0.00743209870177789,NA,0.0123501653751891,8,-369.864958169484,755.768835257888,193.798240768543,5.48343324302105e-43,1,FALSE
-24.8647774895566,NA,NA,0.246765927423868,-0.00675709599780022,-0.0128590655771142,0.000244659108137987,0.012339103062797,9,-369.745919749905,757.540501300296,195.569906810951,2.26120620014192e-43,1,TRUE
-22.5610722362177,NA,NA,-0.0192969885898551,NA,-0.00646167544818368,NA,0.0124733944420536,7,-377.774585041301,769.579432173929,207.608837684584,5.49692161923188e-46,1,FALSE
