"(Intercept)","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-7.17048124170082,0.0735766427101601,-0.00036082715532408,0.0392261910796935,-0.00277480448826098,-0.075387330571341,0.00249744718314368,10,-1933.31896210815,3886.67995707835,0,0.777377986525527,0.777377986525527
-7.73438315402259,0.0736028124558328,-0.000359993289290654,0.0383177981320054,-0.0026238823638865,NA,NA,8,-1937.03806269554,3890.10362730093,3.4236702225794,0.140343303658044,0.917721290183571
-7.7451288341332,0.0736351025868979,-0.000360298629976089,0.0383067738314084,-0.00259820362605396,0.000613176349683372,NA,9,-1936.99148008624,3892.01734412664,5.3373870482892,0.0539055357692569,0.971626825952828
-7.20439041758871,0.0736094719612639,-0.000362926052707008,0.0219600927510036,NA,-0.0683889145299092,0.00228701969657328,9,-1938.19584793973,3894.42607983362,7.7461227552767,0.0161652733914028,0.987792099344231
-7.71052144476048,0.0736004395956413,-0.000361765838626083,0.0218379992469432,NA,NA,NA,7,-1941.45693018674,3896.93524666334,10.2552895849926,0.00461024918516288,0.992402348529394
-5.9065639423982,0.0289021722797447,NA,0.0392490542123068,-0.00279600695822902,-0.0750916445528987,0.00248514572827102,9,-1939.50898076238,3897.05234547891,10.3723884005585,0.00434807188036702,0.996750420409761
-7.73151927413431,0.0736621104413792,-0.000362316372143966,0.0221254433026139,NA,0.00117322971218457,NA,8,-1941.28520647082,3898.59791485149,11.9179577731452,0.00200761573132108,0.998758036141082
-6.47135845005947,0.0290236871603743,NA,0.0383426543568456,-0.00264256951044272,NA,NA,7,-1943.19054018718,3900.40246666421,13.7225095858644,0.000814380081223609,0.999572416222306
-6.47981274384627,0.0290192917483374,NA,0.0383331917434855,-0.00262021445911905,0.000533957600523256,NA,8,-1943.15511865136,3902.33773921258,15.657782134233,0.000309448262413725,0.999881864484719
-5.93412451566169,0.0286853621945558,NA,0.0218513158615273,NA,-0.0680350744856281,0.00227294217197025,8,-1944.47409558241,3904.97569307468,18.295735996337,8.27491698380551e-05,0.999964613654558
-6.44180708622443,0.0288117018090981,NA,0.0217457627252016,NA,NA,NA,6,-1947.68465863396,3907.38535392313,20.7053968447808,2.48034698779291e-05,0.999989417124435
-6.4597120904027,0.0288063685049229,NA,0.0220150734859643,NA,0.00109838494422654,NA,7,-1947.53373019246,3909.08884667478,22.4088895964283,1.05828755645597e-05,1
-6.97816827811716,0.0724957719736821,-0.000351756472692152,NA,NA,-0.0806034378691196,0.00255169049777106,8,-1984.45772370294,3984.94294931574,98.2629922373931,3.57350658145379e-22,1
-7.56494371434792,0.0725436539487193,-0.000350946573166192,NA,NA,-0.00302617438924338,NA,7,-1988.23132528807,3990.484036866,103.804079787651,2.23801355648121e-23,1
-7.61579195650844,0.0726716781268996,-0.000352071979982619,NA,NA,NA,NA,6,-1989.40540442536,3990.82684550594,104.14688842759,1.8854836143113e-23,1
-4.12125892622091,NA,NA,0.0383986453241548,-0.00260190233344612,-0.0794407061825778,0.0026300400073185,8,-1989.29947627208,3994.62645445401,107.946497375659,2.8206432626782e-24,1
-5.74589978873546,0.0289195484821855,NA,NA,NA,-0.0801603442014944,0.0025352426664004,7,-1990.39460199307,3994.810590276,108.130633197657,2.57254853464505e-24,1
-4.71068612226165,NA,NA,0.0374394968077502,-0.00244073709780459,NA,NA,6,-1993.39964812156,3998.81533289834,112.135375819992,3.47331975068348e-25,1
-6.33124499942094,0.0290596194755849,NA,NA,NA,-0.00308353894483898,NA,6,-1994.12969397174,4000.2754245987,113.595467520355,1.67374726993705e-25,1
-6.37910169473207,0.0290489753485864,NA,NA,NA,NA,NA,5,-1995.35219497813,4000.71584252354,114.035885445197,1.34293299531125e-25,1
-4.7203786333897,NA,NA,0.0374288037578022,-0.00241583689902598,0.00059318215092373,NA,7,-1993.3562280736,4000.73384243707,114.053885358718,1.33090088188693e-25,1
-4.1590539030128,NA,NA,0.0222111769728069,NA,-0.0728950511105096,0.00243330477801163,7,-1993.56906701589,4001.15952032163,114.479563243285,1.07574895944345e-25,1
-4.69531989527086,NA,NA,0.0221122424694009,NA,NA,NA,5,-1997.20691395901,4004.42528048531,117.745323406967,2.1016487098e-26,1
-4.713830021994,NA,NA,0.0223859801010815,NA,0.00111495992485689,NA,6,-1997.05242960488,4006.12089586497,119.440938786626,9.00247500214294e-27,1
-3.95265356914497,NA,NA,NA,NA,-0.0852567234264239,0.00270093717547658,6,-2040.72271638686,4093.46146942894,206.781512350594,9.74086112241044e-46,1
-4.56715147822515,NA,NA,NA,NA,-0.00314378420492139,NA,5,-2044.93564915189,4099.88275087106,213.202793792717,3.92856373245677e-47,1
-4.61660659986114,NA,NA,NA,NA,NA,NA,4,-2046.19872221258,4100.40507801296,213.725120934609,3.02560274342275e-47,1
