"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw"
47.3933563372352,0.0418660109291947,NA,0.56460921945261,-0.178322748249132,0.0559483722580804,-0.00218915362449071,-0.0248106118069216,10,1428.56916220536,-2837.12409045626,0,0.729741824422683,0.729741824422683
47.3920115015425,0.0423342561504616,-1.05362873328177e-05,0.564647431958847,-0.178331666162523,0.0559344004123971,-0.00218852211932654,-0.0248120148974579,11,1428.57727305495,-2835.13746425937,1.98662619689412,0.270258175577314,0.999999999999997
48.0951358995407,0.0424184218517853,NA,0.704530731903867,-0.220209903162727,0.00675618908215151,NA,-0.0250970626319584,9,1394.11694409401,-2770.22224297874,66.9018474775239,2.16579648137531e-15,0.999999999999999
48.0915799466687,0.0433965273606017,-2.20339618902958e-05,0.704523919565661,-0.220202604430301,0.00675669917654571,NA,-0.0250996521247363,10,1394.15225817589,-2768.29028239733,68.833808058931,8.24323600491756e-16,1
47.46990819438,0.0417639653692216,NA,-0.0800501691012772,NA,0.077447220752516,-0.00314075847042989,-0.0246173685983757,9,1365.18116102544,-2712.35067684158,124.773413614677,5.87444345175204e-28,1
47.4690231081472,0.0419180198139634,-3.48375992598867e-06,-0.0800481252305856,NA,0.077442942656112,-0.00314056487619519,-0.0246175966396199,10,1365.18206209551,-2710.34989023657,126.77420021969,2.16023718042428e-28,1
47.5074555550337,0.0419892578918309,NA,0.72335885240175,-0.222683644237265,NA,NA,-0.0247660344323996,8,1342.18647381743,-2668.36363207011,168.76045838615,1.64930629978419e-37,1
47.5050408800704,0.0427531054648881,-1.71838975922739e-05,0.723355831302604,-0.222678395738206,NA,NA,-0.0247682476111915,9,1342.20807644742,-2666.40450768556,170.719582770706,6.19274023323018e-38,1
24.0514910281087,NA,NA,0.570394290194246,-0.17999669917353,0.0574389837327657,-0.00225827657383267,-0.012493756173533,9,1324.9464829281,-2631.88132064691,205.242769809354,1.97364050116151e-45,1
24.456846339702,NA,NA,0.71475118436178,-0.22321063152274,0.00669591791301197,NA,-0.0126211447684854,8,1288.59180495662,-2561.17429434849,275.949796107769,8.73840908476772e-61,1
48.6153981068983,0.0426063669164267,NA,-0.0984421521264522,NA,0.00691342866115727,NA,-0.0250001792024875,8,1287.25589182783,-2558.5024680909,278.621622365357,2.29748493337073e-61,1
48.6123852916893,0.0434700189425466,-1.94433491367795e-05,-0.0984238706025155,NA,0.00691389492909985,NA,-0.0250025474262944,9,1287.28376368504,-2556.55588216079,280.568208295475,8.68074318435757e-62,1
47.1737471351949,0.0416090834297544,NA,NA,NA,0.09472256126115,-0.00397422052972614,-0.0245783663559394,8,1275.56791621561,-2535.12651686646,301.997573589801,1.92854314386671e-66,1
47.1726928838425,0.0419771652914473,-8.27880259922421e-06,NA,NA,0.0947108745231846,-0.00397368865196606,-0.0245794557630667,9,1275.57303539309,-2533.13442557689,303.989664879367,7.12282430163863e-67,1
24.1888911718603,NA,NA,-0.0803109009445484,NA,0.0791454858465817,-0.00321915072105856,-0.0123303017708861,8,1260.8930427919,-2505.77677001904,331.347320437224,8.1660645483007e-73,1
24.1119859047406,NA,NA,0.733382757320869,-0.225656044331253,NA,NA,-0.0124183954079763,7,1237.9968473015,-2461.98644963244,375.137640823822,2.52967981914282e-82,1
48.022095163844,0.0421706231878973,NA,-0.088405347534148,NA,NA,NA,-0.0246613969200686,7,1233.77932117054,-2453.55139737052,383.572693085743,3.72749637837526e-84,1
48.019988616145,0.0428138720583224,-1.4471163346835e-05,-0.0883911480799232,NA,NA,NA,-0.0246632326394759,8,1233.79485709765,-2451.58039863055,385.543691825715,1.39129841977411e-84,1
24.881397640458,NA,NA,-0.0991555457861496,NA,0.00685445266053162,NA,-0.0124684856916877,7,1179.72422272959,-2345.44120048861,491.682889967656,1.24619572907888e-107,1
23.9702772641247,NA,NA,NA,NA,0.0964737624831143,-0.00405522873108773,-0.0123326941326382,7,1171.40811200834,-2328.8089790461,508.315111410157,3.0475108561855e-111,1
48.6252923588037,0.0427025073293112,NA,NA,NA,0.00502241646826964,NA,-0.0250820233964148,7,1144.98623083829,-2275.96521670601,561.158873750254,1.02109950987077e-122,1
48.6197846673297,0.0441069126418732,-3.16254763313619e-05,NA,NA,0.00502381333644518,NA,-0.0250855435143784,8,1145.06062024061,-2274.11192491645,563.012165539807,4.04232166228163e-123,1
24.5344026480533,NA,NA,-0.0892105720046897,NA,NA,NA,-0.0122598674719896,6,1127.5922526761,-2243.17907197574,593.94501848052,7.75616783403446e-130,1
48.1838311485663,0.0423711777631592,NA,NA,NA,NA,NA,-0.02482399120878,6,1116.51425103154,-2221.02306868663,616.101021769633,1.19820799579419e-134,1
48.1792910957912,0.0435678233611792,-2.69358065820697e-05,NA,NA,NA,NA,-0.024827064893974,7,1116.56844904613,-2219.12965312169,617.994437334572,4.64924301717369e-135,1
0.0657292496073089,-0.0278102790903992,NA,0.560444182929084,-0.17719070035356,0.0591536233872085,-0.00234964543780489,NA,9,1097.93585529629,-2177.8600653833,659.264025072962,5.07931485836135e-144,1
0.0452479341703516,-0.0253474351070627,-5.69428680723456e-05,0.56057873333701,-0.177221121705553,0.059105712228986,-0.00234743656440989,NA,10,1098.0711930135,-2176.12815207255,660.995938383712,2.13660843144287e-144,1
