"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","Year","df","logLik","AICc","delta","weight","cw"
-1.38344722886947,0.222038393354528,-0.0026586771012677,0.00430979157529946,-4.73791659569066e-06,-0.0513456804661064,NA,-0.00352318871785675,10,-535.468141166985,1091.05683027918,0,0.338029216926072,0.338029216926072
-7.93781947207327,0.208486020613186,-0.00258338533749199,0.00437456398359681,-4.83623910006536e-06,-0.0568014607333015,NA,NA,9,-537.028627754215,1092.1558316311,1.09900135192538,0.195123298041052,0.533152514967124
12.7699926505142,0.221892613121777,-0.0026566240837762,0.00441825131159467,-4.94028012982258e-06,-1.15305379766385,0.0214291471806883,-0.00352733021531472,11,-535.339814583446,1092.824366009,1.76753572982147,0.13968144923709,0.672833964204214
-1.62765287293264,0.223967452422733,-0.00268005947093496,0.00420149682065459,-4.75452106781854e-06,NA,NA,-0.0040694072610551,9,-537.729769746749,1093.55811561617,2.5012853369949,0.096784771613024,0.769618735817238
5.97127882106077,0.208326100294803,-0.00258128722630074,0.00448109639964366,-5.03501903883197e-06,-1.140094719446,0.021071094395402,NA,10,-536.904930285745,1093.9304085167,2.87357823751881,0.0803460727015958,0.849964808518834
-0.77498955421547,0.221977863815361,-0.00265752517101847,0.00172524284695255,NA,-0.0516678231722376,NA,-0.00365405042004656,9,-538.421277594287,1094.94113131125,3.8843010320702,0.0484717821032969,0.898436590622131
-9.35565951856608,0.208301558385096,-0.00259432821079212,0.00426363493856319,-4.87059681656188e-06,NA,NA,NA,8,-539.835964827773,1095.75074738954,4.69391711035951,0.0323357612485398,0.930772351870671
-7.56511340686856,0.207911156635969,-0.00257941290873594,0.00173677366061731,NA,-0.0573303406777622,NA,NA,8,-540.094784104152,1096.2683859423,5.21155566311882,0.0249619958139043,0.955734347684575
-0.510213814108291,0.221975044742972,-0.00265748566333838,0.00172520648373998,NA,-0.0722421626796313,0.000400181258778285,-0.00365422032111444,10,-538.421231138945,1096.96301022309,5.90617994391869,0.0176377653267646,0.973372113011339
-1.01851515835647,0.223918817175142,-0.00267903260427789,0.00160719092008841,NA,NA,NA,-0.00420421210010536,8,-540.703836589599,1097.48649091319,6.42966063401127,0.0135759794652208,0.98694809247656
-7.7850930920083,0.207914058594058,-0.00257944857763624,0.00173680377307839,NA,-0.0402160781749071,-0.000332880817165145,NA,9,-540.09475206166,1098.28808024599,7.23124996681645,0.00909302238885694,0.996041114865417
