"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","Year","df","logLik","AICc","delta","weight","cw"
-2.52521344029243,0.250598155985173,-0.00340438016950104,0.00514609265613335,-6.21944910452862e-06,0.0794017583535383,NA,-0.00488633892312773,10,-682.710798781814,1385.52038517027,0,0.686566182097325,0.686566182097325
8.87667433492211,0.250568626655847,-0.00340350995099391,0.0052329836745518,-6.38081083113142e-06,-0.806020832753492,0.0172173005886793,-0.00490246547621291,11,-682.611508627191,1387.34161563713,1.82123046685888,0.276189546373397,0.962755728470722
-11.7241660134588,0.230698786268054,-0.00328006498827505,0.00526567743196746,-6.40504839676836e-06,0.0740787017104439,NA,NA,9,-687.247973936476,1392.57673781909,7.05635264881971,0.0201564896038045,0.982912218074526
-2.33426568784892,0.230621020409205,-0.00327905982754545,0.00533785095047542,-6.53895727810371e-06,-0.657062084712935,0.0142169400623912,NA,10,-687.180562347795,1394.45991230224,8.93952713196268,0.00786119837375961,0.990773416448286
-1.70745050866165,0.250539706926083,-0.00340224690281952,0.0017563892114244,NA,0.0788833127037638,NA,-0.00506724049926186,9,-688.904068846363,1395.88892763887,10.368542468593,0.00384753002842493,0.994620946476711
-1.52796968762355,0.249165937231827,-0.00337785522069035,0.00531819989003348,-6.20542986103252e-06,NA,NA,-0.00437193180689004,9,-688.982769007756,1396.04632796165,10.52594279138,0.00355633752420641,0.998177284000917
-8.41130600730272,0.250557628831924,-0.00340278659539534,0.001757011167882,NA,0.598508848819525,-0.0101040268894061,-0.00505499440609575,10,-688.868660783476,1397.8361091736,12.3157240033252,0.00145330550996954,0.999630589510887
-9.87683126454811,0.231268062663741,-0.00326692463197946,0.00541860586935146,-6.3793605974637e-06,NA,NA,NA,8,-692.706813766053,1401.47823049307,15.9578453228016,0.00023522329235368,0.999865812803241
-11.2329197778728,0.229910734877584,-0.00327364344857746,0.00177560648611392,NA,0.0733540789387075,NA,NA,8,-693.789550374019,1403.64370370901,18.1233185387348,7.96624740802253e-05,0.999945475277321
-20.4435914085369,0.230003351929209,-0.00327476198553852,0.0017763870386868,NA,0.789762296108213,-0.0139300270943132,NA,9,-693.722512128817,1405.52581420377,20.0054290335004,3.10855595402093e-05,0.999976560836861
-0.717473767938726,0.24912136067681,-0.00337596098875577,0.00193485123175551,NA,NA,NA,-0.00455633321084314,8,-695.059504750666,1406.1836124623,20.6632272920281,2.23727624879925e-05,0.999998933599349
-9.4054754931172,0.230475196667443,-0.0032606263398244,0.00194079004721149,NA,NA,NA,NA,7,-699.110249281813,1412.27072277887,26.7503376085992,1.06640065099041e-06,1
-2.61997148931982,0.250665719094913,-0.00340218293613345,NA,NA,0.180883850905073,NA,-0.00570753338445391,8,-768.19237441205,1552.44935178507,166.928966614795,3.87719703944611e-37,1
-1.53816119295134,0.250662492594439,-0.00340209184581518,NA,NA,0.0970172998418112,0.0016306420808578,-0.00570938674440001,9,-768.191532123204,1554.46385419255,168.943469022274,1.41603579841161e-37,1
