"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw"
-0.953546878701873,-0.209769155754097,NA,0.00669392777645102,-4.12681850468757e-05,-0.0678605851041541,-0.00197480760167712,9,-186.706324888772,391.434116682731,0,0.731211920200935,0.731211920200935
-0.951269906114471,-0.211308340005191,0.000172564346532254,0.0066939700785948,-4.12684135329658e-05,-0.0678644277527568,-0.00197490815556426,10,-186.704718194018,393.435676846051,2.00156016331999,0.268788074130639,0.999999994331574
-0.42058435634304,-0.209848814415795,NA,0.00637118913331211,-3.81590932452432e-05,-0.00280461068668041,NA,8,-206.71186078414,429.440893044551,38.0067763618195,4.08297422397298e-09,0.999999998414549
-0.420137925558917,-0.210145363052264,3.31912468853944e-05,0.00637119351406684,-3.81591025707784e-05,-0.0028047127944158,NA,9,-206.71180021219,431.445067329567,40.0109506468361,1.49891056884564e-09,0.999999999913459
-0.365742257248196,-0.209907237714626,NA,0.00612932199173271,-3.66485399895245e-05,NA,NA,7,-211.881704133819,437.776762267876,46.3426455851451,6.32216222357479e-11,0.999999999976681
-0.366795496541718,-0.209220904945841,-7.63858452726816e-05,0.00612933046147209,-3.66486198245958e-05,NA,NA,8,-211.881380398343,439.779932272956,48.345815590225,2.32211003711458e-11,0.999999999999902
-0.751490415609502,-0.208720842452089,NA,0.00176875901996848,NA,-0.0596059219504458,-0.00174282527825485,8,-217.660607303089,451.338386082448,59.9042693997167,7.1778840949126e-14,0.999999999999974
-0.750039428812235,-0.209699165764073,0.000109613135082247,0.00176876856888444,NA,-0.0596083554427979,-0.00174288903439931,9,-217.659954578998,453.341376063183,61.9072593804522,2.63665127345135e-14,1
-0.290568003447693,-0.208850172519314,NA,0.00181180537297397,NA,-0.00223338558656813,NA,7,-233.260700399009,480.534754798256,89.1006381155249,3.28159913710851e-20,1
-0.290672769710546,-0.208781864057682,-7.59223636290952e-06,0.00181180483629955,NA,-0.00223336152146311,NA,8,-233.260697206249,482.538565888769,91.1044492060378,1.20493461026637e-20,1
-0.250693766449461,-0.208925132839685,NA,0.00176253081136048,NA,NA,NA,6,-236.543274819949,485.09656394605,93.6624472633189,3.3535227633903e-21,1
-0.251961526683788,-0.208088570345064,-9.35549495688374e-05,0.00176252804763245,NA,NA,NA,7,-236.542791962602,487.098937925442,95.6648212427109,1.23222856912264e-21,1
-2.0092698226075,NA,NA,0.00655355443478724,-4.02738149282759e-05,-0.0682901107884799,-0.00199066650007328,8,-281.447858774423,578.912889025117,187.478772342386,1.42411516616035e-41,1
-1.47272009539437,NA,NA,0.00622474068740211,-3.71153510330358e-05,-0.00270577978741314,NA,7,-302.50455384915,619.022461698539,227.588345015808,2.77883058150337e-50,1
-0.701121879641238,-0.206320204166958,NA,NA,NA,-0.0655781635681646,-0.00197355296220073,7,-302.906103769117,619.825561538473,228.391444855742,1.85982103452865e-50,1
-0.702237431898244,-0.205580791379411,-8.23639400316224e-05,NA,NA,-0.0655763370231929,-0.00197350519121305,8,-302.905723872907,621.828619222085,230.394502539354,6.83144703894818e-51,1
-1.42010967948353,NA,NA,0.00599074863261848,-3.5652402469005e-05,NA,NA,6,-307.485808434671,626.981631175493,235.547514492762,5.19457926374052e-52,1
-1.80709467906429,NA,NA,0.0017465683591941,NA,-0.0602155753658012,-0.00176380371077062,7,-311.972189782733,637.957733565705,246.523616882973,2.14842415762985e-54,1
-0.166993357306822,-0.206364956823904,NA,NA,NA,NA,NA,5,-322.697378614215,655.40190945158,263.967792768849,3.5007843818944e-58,1
-0.176512528469258,-0.206325516948439,NA,NA,NA,-0.000565727575580848,NA,6,-322.487660260285,656.985334826722,265.551218143991,1.58609396014386e-58,1
-0.170174445495965,-0.204298397863822,-0.000229831881764763,NA,NA,NA,NA,6,-322.694370602101,657.398755510354,265.964638827623,1.28989913205674e-58,1
-0.179403197082845,-0.204441578515806,-0.000209483017067521,NA,NA,-0.000565081567816952,NA,7,-322.485160444794,658.983674889826,267.549558207095,5.83975840145246e-59,1
-1.34158438244626,NA,NA,0.00178964120957186,NA,-0.00214759625884,NA,6,-328.527552644216,669.065119594585,277.631002911854,3.77778273686674e-61,1
-1.30362068618935,NA,NA,0.00174228704390544,NA,NA,NA,5,-331.670354013455,673.347860250059,281.913743567328,4.43865776355899e-62,1
-1.748042629165,NA,NA,NA,NA,-0.0661062813443098,-0.00199142406547732,6,-398.042249430167,808.094513166487,416.660396483755,2.43998834791619e-91,1
-1.21086772390015,NA,NA,NA,NA,NA,NA,4,-418.887872708387,845.780512997226,454.346396314495,1.59947282796427e-99,1
-1.21911918361943,NA,NA,NA,NA,-0.000499983705145303,NA,5,-418.718103782008,847.443359787166,456.009243104435,6.96456945946622e-100,1
