"site","coreID","core_measurement","Year","species_code","genus","species","treeID","canopy_position","tree_status","dbh","agb","agb_inc","BAI","Date","residuals","pre","pre^2","pet","pet^2"
"LillyDickey","LillyDickey.LDS01A",2.432,1912,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.14663938814742,0.00585218751788567,NA,NA,"15/06/1912",0.977393889384195,69,4761,4.54999995231629,20.7024995660782
"LillyDickey","LillyDickey.LDS01A",0.575,1913,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.26479782931466,0.0060814494198762,0.000229261901990535,1.33740187668226,"15/06/1913",-0.805725515494127,51.1000022888184,2611.21023391725,5.70000004768371,32.4900005435944
"LillyDickey","LillyDickey.LDS01A",0.733,1914,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.39558358449804,0.00634181232203351,0.000260362902157305,1.50589813394512,"15/06/1914",-0.57455168175313,48,2304,5.75000023841857,33.0625027418137
"LillyDickey","LillyDickey.LDS01A",1.479,1915,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.68777284021482,0.00694974657721773,0.000607934255184226,3.46140261325644,"15/06/1915",0.242848332389703,82.9000015258789,6872.41025299072,4.45000004768371,19.8025004243851
"LillyDickey","LillyDickey.LDS01A",1.536,1916,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",7.98558329395242,0.00760879679501559,0.000659050217797854,3.66599460502796,"15/06/1916",0.368099022188679,156.699996948242,24554.889043579,4.80000019073486,23.0400018310547
"LillyDickey","LillyDickey.LDS01A",1.543,1917,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.27024355819984,0.00827744413307218,0.000668647338056597,3.63434201084017,"15/06/1917",0.438662817179922,147.100006103516,21638.4117956544,4.5,20.25
"LillyDickey","LillyDickey.LDS01A",1.141,1918,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.47348351435532,0.00877775858690359,0.000500314453831405,2.67270551733703,"15/06/1918",0.0939740286248765,80.2000045776367,6432.04073425295,4.90000009536743,24.0100009346008
"LillyDickey","LillyDickey.LDS01A",0.793,1919,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.6099818194666,0.00912395702343573,0.000346198436532141,1.83144175276074,"15/06/1919",-0.204441889043465,95.3000030517578,9082.09058166505,5.40000009536743,29.1600010299683
"LillyDickey","LillyDickey.LDS01A",1.239,1920,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.83217271439128,0.00970474801248212,0.000580790989046393,3.04380109879372,"15/06/1920",0.282134028219636,73.5,5402.25,4.70000028610229,22.0900026893616
"LillyDickey","LillyDickey.LDS01A",0.6,1921,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",8.95436143173074,0.0100333324817177,0.000328584469235558,1.70691666168847,"15/06/1921",-0.326302226015977,89.4000015258789,7992.36027282715,5.59999990463257,31.3599989318848
"LillyDickey","LillyDickey.LDS01A",0.705,1922,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.09069917598731,0.0104077346591445,0.000374402177426836,1.93225451440176,"15/06/1922",-0.201414470420585,40.1000022888184,1608.01018356324,5.10000014305114,26.0100014591217
"LillyDickey","LillyDickey.LDS01A",0.524,1923,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.21226092895814,0.0107485183412398,0.00034078368209524,1.74746372284181,"15/06/1923",-0.373484478027367,92.5999984741211,8574.75971740723,4.90000009536743,24.0100009346008
"LillyDickey","LillyDickey.LDS01A",0.562,1924,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.35102967626591,0.0111456158427843,0.000397097501544536,2.02318926854642,"15/06/1924",-0.337391682971009,125.700004577637,15800.491150818,4.65000009536743,21.6225008869171
"LillyDickey","LillyDickey.LDS01A",0.451,1925,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.45685434918976,0.0114542658717191,0.000308650028934789,1.56320794748606,"15/06/1925",-0.460613987416428,127.400001525879,16230.760388794,5.10000014305114,26.0100014591217
"LillyDickey","LillyDickey.LDS01A",0.833,1926,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.63442394638112,0.0119835768448319,0.000529310973112842,2.66252380459788,"15/06/1926",-0.100248464963542,55.2999992370605,3058.08991561889,5.00000023841857,25.0000023841858
"LillyDickey","LillyDickey.LDS01A",1.137,1927,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",9.86264013660807,0.0126850409113574,0.000701464066525494,3.49466500944712,"15/06/1927",0.173949950787328,81.4000015258789,6625.96024841309,4.50000023841857,20.2500021457672
"LillyDickey","LillyDickey.LDS01A",1.143,1928,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.1159161975626,0.0134917411446586,0.00080670023330123,3.9741854333695,"15/06/1928",0.14351434126639,165.100006103516,27258.012015381,4.14999997615814,17.2224998021126
"LillyDickey","LillyDickey.LDS01A",1.285,1929,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.3703021824608,0.0143322199712539,0.000840478826595254,4.09302936041429,"15/06/1929",0.244199323520171,121.200004577637,14689.4411096192,4.70000028610229,22.0900026893616
"LillyDickey","LillyDickey.LDS01A",0.788,1930,"ACSA","Acer","saccharum","LillyDickey.LDS01","canopy","alive",10.5311994128026,0.0148796366178141,0.000547416646560234,2.64128908858498,"15/06/1930",-0.297094299824156,52.6000022888184,2766.7602407837,5.40000009536743,29.1600010299683
