"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw"
34.2153631205446,0.170152365668755,-0.00193394547923997,0.00382493677610377,NA,-0.509627178324222,0.0147175490942683,-0.0158884073616368,10,-650.336265266414,1320.76299105914,4.42633189270418,0.0480335820924701,0.996401689651846
29.8813241000781,0.170789189243753,-0.00194455270805995,0.00439938395525588,NA,NA,NA,-0.0159346828258176,8,-655.595932190846,1327.25102625515,10.914367088712,0.00187363949842305,0.99827532915027
34.3372985724802,0.16772035253229,-0.00188936138630407,NA,NA,-0.54216883745262,0.0152497449634927,-0.0156762307849452,9,-655.339099003256,1328.75218074387,12.415521577434,0.000884533891351998,0.999159863041622
29.8795602633418,0.170466936086985,-0.00193799577317875,0.00396187703119222,NA,-0.00479512540900977,NA,-0.0158837559549246,9,-655.40434009682,1328.882662931,12.546003764563,0.000828668119204345,0.999988531160826
29.8439798944874,0.167964398486789,-0.00189205186949427,NA,NA,-0.0196104443818933,NA,-0.015663881672221,8,-660.766561945395,1337.59228576425,21.2556265978096,1.06441273724382e-05,0.999999175288198
34.0938664394477,0.0924200741919897,NA,-0.0196323188884023,0.000397646723938558,-0.342019102781522,0.00979350273149071,-0.0160292678973211,10,-662.471335723837,1345.03313197399,28.6964728075509,2.57840323909966e-07,0.999999433128522
29.8282992766285,0.168228592155729,-0.00190094378776091,NA,NA,NA,NA,-0.0158279971572747,7,-665.595831855011,1345.23765960325,28.901000436807,2.32776014283849e-07,0.999999665904536
31.3574478990169,0.0925415381965572,NA,-0.0257480064989836,0.00051331975161304,NA,NA,-0.0161146675444656,8,-664.724972184742,1345.50910624294,29.1724470765043,2.03233051861064e-07,0.999999869137588
31.3481041537461,0.0924675667091722,NA,-0.0261602637656157,0.000511075559091464,-0.00596022983486877,NA,-0.0160501420092925,9,-664.426315456044,1346.92661364945,30.5899544830104,1.00042956226806e-07,0.999999969180545
34.955760050431,0.0925429238712161,NA,0.00353981818738335,NA,-0.500883494954247,0.0144131231894562,-0.0159403011657967,9,-665.697932220648,1349.46984717866,33.1331880122184,2.80498389779782e-08,0.999999997230383
30.7101830703496,0.0927587828293519,NA,0.00426960466597408,NA,NA,NA,-0.0160013285894378,7,-670.92874883689,1355.903493567,39.5668344005649,1.12429896279987e-09,0.999999998354682
35.0587405015417,0.0919414529551237,NA,NA,NA,-0.531853199235173,0.0149314604159517,-0.0157427753924826,8,-669.994378068091,1356.04791800964,39.7112588432014,1.04597291970598e-09,0.999999999400655
30.703351526121,0.0926785451938081,NA,0.00367951452427861,NA,-0.00647147700586572,NA,-0.0159319419778651,8,-670.577789737715,1357.21474134889,40.8780821824498,5.83643928428283e-10,0.999999999984299
30.6522828653383,0.0920600977636551,NA,NA,NA,-0.020199309148898,NA,-0.0157265307930841,7,-675.215812631069,1364.47762115536,48.1409619889223,1.54537421140751e-11,0.999999999999753
30.643921693345,0.0919645131378723,NA,NA,NA,NA,NA,-0.015897875430128,6,-680.357863356863,1372.75020947235,56.4135503059081,2.46981220293271e-13,1
3.65433371969284,0.096261432277456,-0.00201633901712347,-0.017500732001254,0.000357707842640519,-0.338882528091939,0.00962531770483757,NA,10,-693.408668925765,1406.90779837785,90.5711392114063,9.45012914690392e-21,1
0.754136677538604,0.096385381763952,-0.00202893747051469,-0.023323069802158,0.000472465627319802,NA,NA,NA,8,-695.921974798151,1407.90311146976,91.5664523033233,5.74524101063207e-21,1
0.917339595811131,0.0962416598419696,-0.00201667105388752,-0.0239404321527068,0.000469611026400611,-0.00858211822152317,NA,NA,9,-695.300565642639,1408.67511402264,92.3384548561994,3.90544051690149e-21,1
4.58018338099994,0.0969365930298405,-0.0020206683456116,0.0033483053111606,NA,-0.482289165452659,0.0137960781717664,NA,9,-696.022843462464,1410.11966966229,93.7830104958507,1.8966568155174e-21,1
5.04006730999265,0.0957262801307528,-0.00198242668909054,NA,NA,-0.51191178801767,0.0142963739789569,NA,8,-699.862052750881,1415.78326737522,99.4466082087824,1.11725971254879e-22,1
0.348394896402988,0.0974064027039383,-0.00203633584862981,0.00430913186457195,NA,NA,NA,NA,7,-701.188494552246,1416.42298499772,100.086325831277,8.11411618535824e-23,1
0.522358660165003,0.0972503402918582,-0.00202342091278856,0.00348539113537887,NA,-0.0090137387605973,NA,NA,8,-700.505499838798,1417.07016155105,100.733502384616,5.87095320862515e-23,1
0.848327627230961,0.0960054412741304,-0.00198380117974689,NA,NA,-0.022002335476342,NA,NA,7,-704.661288798712,1423.36857349065,107.031914324209,2.51782675423965e-24,1
