"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-8.81966547896771,0.0615208854473337,-0.000871176059588112,-0.216220977983146,NA,-1.63843966937548,-0.287187217589064,9,-1894.2076066169,3806.49854656712,0,0.704103026980715,0.704103026980715
-8.62524658763471,0.0615648415486509,-0.000871250488348035,-0.350905521407601,0.0217964179524924,-1.64401341980076,-0.287847654032899,10,-1894.20146821435,3808.50483545603,2.00628888890787,0.258211817497596,0.962314844478311
-8.09160600751288,0.0079291833670371,NA,-0.218665925872243,NA,-1.64899099425104,-0.288268439357315,8,-1898.97434828914,3814.01533239503,7.5167858279101,0.0164205200725639,0.978735364550875
-7.82670368106726,NA,NA,-0.212896179150865,NA,-1.62468839296427,-0.284775704655994,7,-1900.73643235938,3815.52466860406,9.02612203693434,0.00772038066783852,0.986455745218713
-7.88302400112087,0.00797139801486192,NA,-0.363113483410007,0.0233766247840928,-1.65496627878669,-0.288976333352037,9,-1898.96727862473,3816.01789058279,9.51934401566905,0.00603304997335918,0.992488795192073
-9.20682018559426,0.0611962628162686,-0.000878704034480468,NA,NA,-1.54003819491325,-0.279197261847892,8,-1900.25988030943,3816.58639643562,10.0878498684933,0.00454033027110629,0.997029125463179
-7.88473469300656,NA,NA,-0.172978348012924,-0.00646094450804911,-1.62306465030206,-0.284584332420358,8,-1900.73589078529,3817.53841738733,11.0398708202074,0.00282071184525224,0.999849837308431
-8.47625540621831,0.00712965172020501,NA,NA,NA,-1.54929909017283,-0.280162332706484,7,-1905.17339755401,3824.39859899331,17.9000524261814,9.13459326094948e-05,0.999941183241041
-8.22780388225827,NA,NA,NA,NA,-1.52943857815404,-0.277156415358848,6,-1906.6201089468,3825.27905284506,18.7805062779344,5.88167589592341e-05,1
-20.4168561413569,0.0551409172334658,-0.000992921384461716,10.2468769771988,-1.66154558304191,0.672260750651894,NA,9,-2076.13561391857,4170.35456117047,363.856014603341,6.87553562400939e-80,1
-19.6238206828238,-0.00604398883430539,NA,10.2800758104218,-1.66704651775681,0.669980112874406,NA,8,-2082.51955268761,4181.10574119197,374.607194624841,3.18212662953287e-82,1
-19.7327279272703,NA,NA,10.240510315866,-1.66104749420514,0.673042385649943,NA,7,-2083.58596104942,4181.22372598414,374.725179417016,2.99983512437298e-82,1
-4.85560699870868,0.0577962564587266,-0.00102419579194322,NA,NA,0.645574446365784,NA,7,-2110.57986017733,4235.21152423996,428.712977672833,5.67278010908627e-94,1
-4.90403145980784,0.057772868093111,-0.00102434218750583,0.0202813696081957,NA,0.648852237697101,NA,8,-2110.53663965863,4237.139915134,430.641368566877,2.1629734442384e-94,1
-4.13748954657051,NA,NA,NA,NA,0.646257012126848,NA,5,-2117.97284766077,4245.97342175407,439.474875186947,2.61143726383313e-96,1
-3.98648636762606,-0.00532377626175348,NA,NA,NA,0.643089267292854,NA,6,-2117.169474164,4246.37778327946,439.879236712339,2.13340646775559e-96,1
-4.1805307098807,NA,NA,0.0177416475605131,NA,0.649144702661105,NA,6,-2117.93977119226,4247.91837733598,441.419830768853,9.87501715111323e-97,1
-4.03411892064599,-0.00535558841163282,NA,0.0200068998275234,NA,0.646327229247016,NA,7,-2117.1274184325,4248.30664075028,441.808094183158,8.13256474381859e-97,1
-9.75912741633445,0.0309213696427438,-0.000834745714493373,3.22914324136584,-0.725028390944289,NA,NA,8,-2529.6524791284,5075.37159407355,1268.87304750643,2.06706830319198e-276,1
-9.12525315752228,-0.0204958615319019,NA,3.27944882903401,-0.73273917710265,NA,NA,7,-2532.70949649689,5079.47079687907,1272.97225031194,2.66209928119073e-277,1
-3.02073483035214,0.0324502425621983,-0.000850623844972061,-1.21353858739849,NA,NA,NA,7,-2534.08821331695,5082.22823051919,1275.72968395207,6.70587017227954e-278,1
-2.30198397250739,-0.0199398930844844,NA,-1.21029888155732,NA,NA,NA,6,-2537.23814735137,5086.5151296542,1280.01658308708,7.86261158055497e-279,1
-9.30160771407982,NA,NA,3.01012314223801,-0.693225041113339,NA,NA,6,-2540.89057226034,5093.81997947213,1287.321432905,2.03863200563891e-280,1
-2.83298612028701,NA,NA,-1.2365849631421,NA,NA,NA,5,-2544.93776212843,5099.90325068939,1293.40470412227,9.73583662266616e-282,1
-6.37942956857951,0.0194367796242536,-0.000791480099135491,NA,NA,NA,NA,6,-2675.07740987628,5362.19365470401,1555.69510813688,0,1
-5.70203346841334,-0.0292924899034531,NA,NA,NA,NA,NA,5,-2677.513336697,5365.05439982653,1558.5558532594,0,1
-6.59988417853173,NA,NA,NA,NA,NA,NA,4,-2692.25347843014,5392.52543261086,1586.02688604374,0,1
