"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-7.00542223375959,0.112614451388999,-0.00163342060838958,-0.331006606176386,NA,-0.276357662772828,-0.0946189207964013,9,-678.092883165687,1374.35045068636,0,0.712970638299482,0.712970638299482
-6.90329489133224,0.112610033096474,-0.0016329561065641,-0.40153112360061,0.0114143523664564,-0.279354063105949,-0.0949746533412086,10,-678.091196251809,1376.38385770508,2.03340701872366,0.257942509758774,0.970913148058256
-6.40162635464528,0.0439272358014711,NA,-0.338945626956067,NA,-0.305052989038504,-0.0981955323945872,8,-682.619356269116,1381.3703395949,7.01988890854454,0.0213168061939092,0.992229954252165
-6.19615292875843,0.0439584176780042,NA,-0.481070136400748,0.0230047574699579,-0.311059099663398,-0.0989084053384408,9,-682.612460815949,1383.38960598689,9.03915530052564,0.00776683378301075,0.999996788035176
-7.55111936898549,0.113344176273037,-0.00167972416348684,NA,NA,-0.0940437785980119,-0.0786062738949925,8,-691.43397469595,1398.99957644857,24.6491257622133,3.16651823897173e-06,0.999999954553415
-6.94911502581941,0.0426332333948692,NA,NA,NA,-0.122947987453381,-0.0823917237516288,7,-696.782919187728,1407.66812148048,33.3176707941188,4.15175155635354e-08,0.99999999607093
-10.4713301972188,0.117274559450828,-0.00183850322546323,2.80721541085741,-0.494734716637394,0.483936486108647,NA,9,-697.192760358861,1412.55020507271,38.1997543863481,3.6149340204905e-09,0.999999999685864
-5.85723866927096,0.117984022585203,-0.0018547759122237,-0.233903880379193,NA,0.476876133967439,NA,8,-700.706637877513,1417.5449028117,43.1944521253395,2.97519572678455e-10,0.999999999983384
-9.84796936548857,0.0396101972322445,NA,2.87780243427186,-0.507303682717594,0.483401935716707,NA,8,-703.733782782831,1423.59919262234,49.2487419359763,1.44159482056104e-11,0.9999999999978
-6.40867858997871,0.117920500152211,-0.00186140301711904,NA,NA,0.517699503123277,NA,7,-707.22381457431,1428.54991225364,54.1994615672843,1.21285282642395e-12,0.999999999999013
-5.10949490171336,0.0396218902985053,NA,-0.240800410572857,NA,0.476070430560861,NA,7,-707.44842965002,1428.99914240506,54.6486917187026,9.68855517123682e-13,0.999999999999982
-5.3026470941267,NA,NA,-0.350524492983614,NA,-0.290765812374606,-0.0947674321836593,7,-711.867731265843,1437.83774563671,63.4872949503492,1.16675779505108e-14,0.999999999999993
-5.47571485623803,NA,NA,-0.231202288062224,-0.0193104977774898,-0.285674506076905,-0.0941636059989441,8,-711.862835810838,1439.85729867835,65.5068479919896,4.25050312802564e-15,0.999999999999997
-5.67394615620967,0.0392550288124917,NA,NA,NA,0.518131473491441,NA,6,-714.421472926266,1440.9195881883,66.5691375019385,2.49900487847062e-15,1
-5.89285128118272,NA,NA,NA,NA,-0.096532249878342,-0.0774645925058815,6,-727.214139012992,1466.50492036175,92.1544696753906,6.94996813905974e-21,1
-9.05147794919632,NA,NA,2.96127153267079,-0.523086866780256,0.469463801357582,NA,7,-730.794882423042,1475.69204795111,101.341597264748,7.03110211442094e-23,1
-4.1666117154295,NA,NA,-0.254544151724146,NA,0.461421381377729,NA,6,-734.771967585184,1481.62057750614,107.270126819776,3.62793560282722e-24,1
-4.77577533919205,NA,NA,NA,NA,0.504988598613587,NA,5,-742.670031609348,1495.39475784039,121.044307154032,3.70368731084405e-27,1
-4.85013255559815,0.117026226674283,-0.00206177703957204,-1.1134282966789,NA,NA,NA,7,-943.736899934069,1901.57608297316,527.225632286801,2.33066704262225e-115,1
-2.87677507378522,0.1173373754877,-0.00206711497800708,-2.41239864437489,0.212164941884194,NA,NA,8,-943.330461285779,1902.79254962823,528.442098941871,1.26860920149457e-115,1
-4.01026992497521,0.0293975437148306,NA,-1.11856997615845,NA,NA,NA,6,-950.118538535159,1912.31371940608,537.963268719725,1.08600571129726e-117,1
-2.16433903509898,0.0294786767304721,NA,-2.33239802849588,0.198259841857367,NA,NA,7,-949.76296530304,1913.6282137111,539.277763024744,5.62850812863572e-118,1
-3.36436659703742,NA,NA,-1.09780137492195,NA,NA,NA,5,-962.99563402098,1936.04596266365,561.695511977295,7.62853185765433e-123,1
-1.76645930661352,NA,NA,-2.14754127989567,0.17147743497307,NA,NA,6,-962.729890896598,1937.53642412896,563.185973442603,3.62069022316291e-123,1
-8.11299181051911,0.114841032586699,-0.00218615591860539,NA,NA,NA,NA,6,-1061.36509691856,2134.80683617289,760.456385486535,5.27309593400749e-166,1
-7.23517306139798,0.0217790728687047,NA,NA,NA,NA,NA,5,-1069.32931920664,2148.71333303498,774.362882348618,5.03858103497395e-169,1
-6.70921609172213,NA,NA,NA,NA,NA,NA,4,-1077.11698371718,2162.27039730686,787.919946620504,5.73362315865749e-172,1
