"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
6.86641430467084,-0.0277621872744998,-0.106474956588934,0.00272820059285355,1.79742482510295,-0.490445836427968,0.188343712878935,-0.00393240486737313,11,-3424.70034989322,6871.48878787452,0,0.602842675670535,0.602842675670535,FALSE
7.28530900259357,-0.0271224026342655,-0.109244560759558,0.00277587475748274,0.800032201550978,NA,0.179185088739894,-0.00375509233198621,10,-3426.12502659798,6872.3234354508,0.834647576280986,0.397157319051164,0.999999994721699,FALSE
5.40331283282632,-0.0256910315158294,-0.0176394774205367,NA,2.06135824077924,-0.615783261810768,0.192513935703774,-0.00401355540498452,10,-3444.64561319204,6909.36460863892,37.8758207643987,3.59396638686773e-09,0.999999998315665,FALSE
5.88478490552839,-0.0247828710892402,-0.0193641868696577,NA,0.809814939370444,NA,0.180985431642903,-0.00379044176068096,9,-3446.89176424346,6911.84354849359,40.3547606190614,1.04058859357079e-09,0.999999999356254,FALSE
6.54518236204433,-0.0303858453908658,NA,NA,2.20635939663358,-0.682526580057064,0.193643963984335,-0.00403503774554403,9,-3447.52849294788,6913.11700590244,41.628218027915,5.5049236286193e-10,0.999999999906746,FALSE
7.20908942917547,-0.0298799058657611,NA,NA,0.820869757116429,NA,0.180772164140899,-0.0037859762161484,8,-3450.30999196212,6916.66798392425,45.1791960497212,9.32537313377945e-11,1,FALSE
9.28611879946875,-0.0264870012075103,-0.116835223451129,0.00295962571153783,-0.0193791074686081,0.41560189665363,0.0115618969144706,NA,10,-3481.31532471524,6982.70403168532,111.215243810795,4.26698035584182e-25,1,TRUE
8.99842006631357,-0.0270208817003527,-0.114715783963842,0.00292478852677807,0.826647731321686,NA,0.0126787719487762,NA,9,-3482.39667256318,6982.85336513303,111.364577258511,3.9599827793092e-25,1,FALSE
-0.431637500452181,NA,-0.152762673327659,0.00185237356987653,0.813980416058799,NA,0.171564586797619,-0.00363887559860158,9,-3482.7999559722,6983.65993195106,112.171144076538,2.645754467596e-25,1,FALSE
-0.44057897019868,NA,-0.152733763490831,0.00185128279499458,0.828766476668615,-0.0072674251032724,0.171697444426297,-0.0036414501093706,10,-3482.79964239413,6985.67266704309,114.18387916857,9.67140713665794e-26,1,FALSE
8.29358108943755,-0.0279274249597035,-0.115494875964302,0.00284471194105213,NA,NA,0.188347220024131,-0.00391787313119083,9,-3489.38514200348,6996.83030401364,125.341516139112,3.65291513253841e-28,1,FALSE
-0.927949028046357,NA,-0.089082702717391,NA,0.817745066138012,NA,0.173581457623603,-0.00367490652953788,8,-3491.32488771858,6998.69777543715,127.20898756263,1.43589708972363e-28,1,FALSE
9.44270928209422,-0.025084866385607,-0.120220292502507,0.00302866788170008,-0.707923498599089,0.763848008737217,NA,NA,9,-3490.68443228726,6999.4288845812,127.940096706675,9.96242309353561e-29,1,TRUE
-1.08585804709625,NA,-0.08921748679636,NA,1.08707446961033,-0.132409721915586,0.175979138939408,-0.00372142435849582,9,-3491.21946275073,7000.49894550812,129.010157633601,5.8345075193016e-29,1,FALSE
