"(Intercept)","dbh","I(dbh^2)","tmn","I(tmn^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
54.1389018621253,0.240549528733486,-0.00245204273035296,-0.0738864375301051,NA,-2.04972305556705,0.0961520955901946,-0.0268399480510168,10,-3102.93113646695,6225.92845825279,0,0.686722896300177,0.686722896300177,TRUE
54.8813051970612,0.240963423237974,-0.0024581855660647,-0.277124571829612,0.013831551978663,-2.05911838491571,0.0966947913755363,-0.0268231766644834,11,-3102.7121102152,6227.50366671388,1.57520846109219,0.31241318639084,0.999136082691017,TRUE
51.671134783801,0.24311612363984,-0.00249945829842702,NA,NA,-2.17939514295846,0.10230962754188,-0.0255415294238721,9,-3110.61537053676,6239.28487641186,13.3564181590718,0.000863917308980128,0.999999999999997,TRUE
51.693254379092,0.104476668428904,NA,-0.0779099290550001,NA,-2.05064272960622,0.0959949069763992,-0.0247081589533666,9,-3137.39419459374,6292.84252452583,66.914066273037,2.02570712470558e-15,0.999999999999999,TRUE
52.0791166190428,0.104496156881275,NA,-0.187346489584176,0.00744679402882484,-2.05620766860514,0.0963168378022335,-0.0246896152314538,10,-3137.33225725484,6294.73069982858,68.8022415757878,7.88069642370499e-16,1,TRUE
49.1740177253096,0.10472081923944,NA,NA,NA,-2.19228365806682,0.102762984954833,-0.0233561850246608,8,-3145.80597746809,6307.65525018573,81.7267919329388,1.23036550775837e-18,1,TRUE
4.15073583549565,0.159191602274496,-0.00176724275766835,-0.048321263562488,NA,-2.40254506036617,0.113660728686981,NA,9,-3159.82538020762,6337.70489575358,111.776437500788,3.67144072463986e-25,1,TRUE
4.8918961552064,0.159588622135556,-0.00177249067107724,-0.241939875646784,0.0131781183207763,-2.41209589931084,0.11420936790708,NA,10,-3159.62992688938,6339.32603909765,113.397580844863,1.63233659304759e-25,1,TRUE
56.0764123627023,0.241339285865993,-0.00245370869688265,-0.110254075437161,NA,-0.162665623245432,NA,-0.032331426380459,9,-3160.71107341918,6339.47628217672,113.547823923926,1.51420559467325e-25,1,FALSE
55.7144887629487,0.24110478587163,-0.00245006174347864,-0.00976086284981818,-0.00683263311024371,-0.163274187468161,NA,-0.0323294475743587,10,-3160.65954259006,6341.385270499,115.456812246215,5.82979521302224e-26,1,FALSE
