"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_core_measurement","ScottyCreek","PIMA","(Intercept)",-1.0690732869531,0.0259702142593851,36067,-41.1653626063852,0
FALSE,"log_core_measurement","ScottyCreek","PIMA","pre",0.000574499579491475,7.97464701063641e-05,36067,7.20407534935679,5.95817465086634e-13
FALSE,"log_core_measurement","ScottyCreek","PIMA","I(pre^2)",-3.30708722006634e-05,2.69415680691074e-06,36067,-12.2750361507667,1.44593844947511e-34
FALSE,"log_core_measurement","ScottyCreek","PIMA","tmx",-0.0544150475478401,0.00482531827486204,36067,-11.2769861899723,1.90995302790552e-29
FALSE,"log_core_measurement","ScottyCreek","PIMA","I(tmx^2)",0.00505946439129422,0.000373522670699444,36067,13.5452672305541,1.06900403261952e-41
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","(Intercept)",-0.172623716382689,0.0415170177899761,33196,-4.15790260408268,3.21988573237592e-05
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","dbh",-0.12950193875262,0.0107838875364272,33196,-12.0088361748184,3.74085775285708e-33
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.00236014459928951,0.000897007247670012,33196,-2.63113214014716,0.0085140257507336
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","pre",0.000627476113908002,8.34382137562072e-05,33196,7.52024864460047,5.60508288873003e-14
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(pre^2)",-3.40074371153269e-05,2.81522540532949e-06,33196,-12.0798274450591,1.58756733574891e-33
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","tmx",-0.0535718468231148,0.00516906969314089,33196,-10.3639242655602,3.95209868779057e-25
FALSE,"log_core_measurement_dbh","ScottyCreek","PIMA","I(tmx^2)",0.00501098611507728,0.000402908264739225,33196,12.4370397770831,1.97310988497344e-35
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","(Intercept)",-14.5622617378695,0.167271677439995,32917,-87.0575459081728,0
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","dbh",0.66077077835213,0.0153911482438958,32917,42.9318701815633,0
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.0377509220580253,0.00126806430442078,32917,-29.7705107906723,3.34780202810411e-192
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","pre",0.000159252276493672,0.000241226321451107,32917,0.660177859263795,0.509144318209982
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(pre^2)",-6.41777347696901e-05,5.48319122079303e-06,32917,-11.7044495049378,1.39702966315157e-31
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","tmx",-0.234117381995647,0.0134887554667807,32917,-17.3564850050264,3.51124559996713e-67
FALSE,"log_agb_inc_dbh","ScottyCreek","PIMA","I(tmx^2)",-0.004895168630999,0.000284574134651318,32917,-17.2017342229537,5.01343788416562e-66
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","(Intercept)",-4.53670143409108,0.163041245865448,32917,-27.8254831163095,1.90960103076042e-168
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","dbh",0.346561538287201,0.0129612221879502,32917,26.7383378867923,7.83089525789979e-156
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(dbh^2)",-0.0231910677213235,0.00106230231500789,32917,-21.8309490562969,6.55908093679795e-105
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","pre",0.000196676149864451,0.000237709199503382,32917,0.827381314123914,0.408026966140077
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(pre^2)",-6.30892167275172e-05,5.403292976742e-06,32917,-11.6760680938604,1.94866791248307e-31
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","tmx",-0.241517459017558,0.0132922167184593,32917,-18.1698406016925,2.0459938149773e-73
FALSE,"log_BAI_dbh","ScottyCreek","PIMA","I(tmx^2)",-0.00504905001083225,0.000280429049323621,32917,-18.0047324733664,3.97192719494571e-72
FALSE,"log_core_measurement","NewMexico","PIPO","(Intercept)",-1.31074856689238,0.208812948252354,2147,-6.27714218808077,4.16011988044254e-10
FALSE,"log_core_measurement","NewMexico","PIPO","pet",-0.131315426782628,0.0627380925332977,2147,-2.09307330650726,0.0364597025123388
FALSE,"log_core_measurement","NewMexico","PIPO","pre",-0.134426061668107,0.00800610665025697,2147,-16.7904410396272,1.52376901343541e-59
FALSE,"log_core_measurement","NewMexico","PIPO","I(pre^2)",-0.0029626133362944,0.000120926235755665,2147,-24.4993430729164,4.32025636098698e-117
FALSE,"log_core_measurement","NewMexico","PIST2","(Intercept)",0.246422914186468,0.195127704799483,1550,1.26288019653435,0.20682218381565
FALSE,"log_core_measurement","NewMexico","PIST2","pet",-0.260314910312036,0.0561430747606179,1550,-4.63663437426544,3.83865364726824e-06
FALSE,"log_core_measurement","NewMexico","PIST2","pre",-0.0632912588848271,0.00731388646915871,1550,-8.65357414990163,1.22736235722442e-17
FALSE,"log_core_measurement","NewMexico","PIST2","I(pre^2)",-0.00171556878904363,0.000110641893174624,1550,-15.5055986464004,1.61152009505741e-50
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","(Intercept)",-3.89827404320926,1.97052177483199,2145,-1.9782953393355,0.0480231587025024
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","dbh",-0.0575023747046532,0.00404026453262376,2145,-14.2323291557622,5.44020941632413e-44
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","pet",3.27298368569714,1.31837632383374,2145,2.48258682026355,0.0131191922602739
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","I(pet^2)",-0.567467767065993,0.2119890594097,2145,-2.67687289450763,0.00748787968942252
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","pre",-0.0853273405103824,0.00962164173448994,2145,-8.86827247002102,1.52872782085396e-18
FALSE,"log_core_measurement_dbh","NewMexico","PIPO","I(pre^2)",-0.00247110593143815,0.000155018408478919,2145,-15.9407257220952,3.75502555770634e-54
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","(Intercept)",1.8745493736522,0.24021686790488,1089,7.80357095653448,1.40496034827843e-14
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","dbh",-0.0378735170852196,0.00519995279560287,1089,-7.28343478757074,6.22978757909338e-13
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","pet",-0.341990402945583,0.0704344125934574,1089,-4.85544480820091,1.3765961944954e-06
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","pre",-0.0258246673884391,0.00909368216229624,1089,-2.83984715185142,0.00459750631371274
