"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
26.7806438620874,NA,NA,0.335482783890889,NA,-0.0814164525976116,0.00226766481726716,-0.0134031266754703,8,-2527.35085550932,5070.73449044045,78.2735743153025,5.4734941560912e-18,1,TRUE
26.107326269831,NA,NA,0.341316432918665,NA,-0.0280569735981789,NA,-0.0132212860959234,7,-2529.6188773849,5073.2632440734,80.8023279482504,1.54579815388959e-18,1,FALSE
58.5582460890228,0.0953729521645661,-0.00124889378812678,-0.518075872294284,0.218655772548761,NA,NA,-0.0298133765718417,9,-2545.54014915529,5109.12128191714,116.660365791989,2.52742804710686e-26,1,TRUE
57.903197649635,0.094665678898025,-0.00123229766529413,0.270874338282105,NA,NA,NA,-0.0298338297071156,8,-2550.5075512541,5117.04788193002,124.586965804869,4.80219153277631e-28,1,FALSE
54.3334519444281,0.0513573171636145,NA,-0.506373827725272,0.21577080779598,NA,NA,-0.0275396179817043,8,-2550.70727072899,5117.44732087979,124.98640475464,3.93280498589308e-28,1,TRUE
53.7474453816193,0.0512450736994062,NA,0.272158313759722,NA,NA,NA,-0.0275922468704628,7,-2555.54093496969,5125.10735924299,132.646443117838,8.53780468877035e-30,1,FALSE
1.15199450819848,-0.0186888782364455,NA,-0.804411910821085,0.315670593347664,-0.0307349095938606,NA,NA,8,-2559.58751454555,5135.2078085129,142.746892387753,5.4709346137256e-32,1,TRUE
1.21564195521299,-0.0302600597177711,0.000381374239867864,-0.800902661626287,0.314868443114735,-0.0307306283182737,NA,NA,9,-2559.16529968655,5136.37158297965,143.9106668545,3.05739189368728e-32,1,TRUE
1.23540502325188,-0.0189093011391564,NA,-0.763740814348517,0.303744464343334,-0.051056228579394,0.000866023939691521,NA,9,-2559.26961848989,5136.58022058633,144.11930446118,2.75452062835158e-32,1,TRUE
1.30114936042636,-0.0306270138815687,0.000386108194102469,-0.759559749165871,0.302747567602722,-0.0513697376681823,0.000879566172695502,NA,10,-2558.83748061354,5137.72506370943,145.264147584283,1.55398385926048e-32,1,TRUE
0.936514568673058,NA,NA,-0.831921845760639,0.321826608260121,-0.0312635001057153,NA,NA,7,-2566.31758686502,5146.66066303364,154.199746908492,1.78281288453585e-34,1,TRUE
0.999606667625729,NA,NA,-0.800319056569324,0.312547387464255,-0.0471532958850868,0.000677161206866933,NA,8,-2566.12162149194,5148.27602240568,155.815106280534,7.94941066851544e-35,1,TRUE
0.400364581341807,-0.0198074810392509,NA,0.326246861484615,NA,-0.0732769727588958,0.00186878249620538,NA,8,-2568.65074318828,5153.33426579837,160.873349673224,6.33798689019156e-36,1,TRUE
0.473787694897832,-0.0323679588435282,0.000414030093083732,0.326895707714433,NA,-0.0735335012094259,0.00187971793446707,NA,9,-2568.15233960054,5154.34566280763,161.884746682482,3.82233957063692e-36,1,TRUE
0.137662654238304,-0.0193878598456504,NA,0.331050453989448,NA,-0.0293089339938796,NA,NA,7,-2570.19288368798,5154.41125667955,161.950340554405,3.69901198248692e-36,1,FALSE
0.208166154958739,-0.0317033478885154,0.000405972297976166,0.331717894485561,NA,-0.0293079359559464,NA,NA,8,-2569.71215685901,5155.45709313983,162.996177014684,2.19273039304701e-36,1,FALSE
55.6101989520074,0.0959274531671328,-0.00127962396097949,NA,NA,-0.105702747742682,0.00366479186265277,-0.0280760887765628,9,-2571.37685423162,5160.7946920698,168.333775944652,1.52033871690307e-37,1,TRUE
0.127737994467188,NA,NA,0.321035606780853,NA,-0.0699000651204888,0.00170309586137324,NA,7,-2576.15876228958,5166.34301388275,173.882097757602,9.48718963946487e-39,1,TRUE
-0.106571552298836,NA,NA,0.325479689282255,NA,-0.0298327436231678,NA,NA,6,-2577.44981496585,5166.91874255969,174.457826434539,7.11409545358331e-39,1,FALSE
51.3427379851279,0.0509546732302126,NA,NA,NA,-0.106084561625493,0.00367690185751859,-0.0257707587679469,8,-2576.59322024011,5169.21921990203,176.758303776878,2.25204663872394e-39,1,TRUE
54.4264281286797,0.0958477475212691,-0.001280688229486,NA,NA,-0.0192136535378751,NA,-0.0277266045665956,8,-2577.14187283301,5170.31652508783,177.85560896268,1.30106977130642e-39,1,FALSE
28.0120295974809,NA,NA,-0.499362373780969,0.21397596098724,NA,NA,-0.013945947050854,7,-2580.68024525298,5175.38597980955,182.9250636844,1.03153146708882e-40,1,TRUE
50.1431763274469,0.0508218719192072,NA,NA,NA,-0.0193125864949727,NA,-0.0254138795014845,7,-2582.39068448343,5178.80685827046,186.345942145311,1.86486827718779e-41,1,FALSE
27.4885040925359,NA,NA,0.272700489216009,NA,NA,NA,-0.0140278880576267,6,-2585.41010469475,5182.83932201749,190.37840589234,2.48318904965918e-42,1,FALSE
56.0501353516802,0.0966148149255141,-0.00128758148003413,NA,NA,NA,NA,-0.0286664091478597,7,-2604.11224329272,5222.24997588904,229.789059763893,6.87218800478849e-51,1,FALSE
25.2430549072885,NA,NA,NA,NA,-0.105677321791662,0.00364719781008872,-0.0122881780029899,7,-2605.79228362016,5225.61005654392,233.149140418775,1.28074535231866e-51,1,TRUE
51.6810002800108,0.051210280050285,NA,NA,NA,NA,NA,-0.0263092289732472,6,-2609.61637160095,5231.25185582989,238.790939704747,7.62713862027683e-53,1,FALSE
24.1119158593902,NA,NA,NA,NA,-0.0196131783965847,NA,-0.0119645900863269,6,-2611.4634850799,5234.9460827878,242.485166662648,1.20273638183212e-53,1,FALSE
0.662418852469491,-0.0224344233446769,NA,-0.544393215093956,0.222470624616786,NA,NA,NA,7,-2626.28632909253,5266.59814748865,274.137231363499,1.61068987263615e-60,1,TRUE
0.726822444133559,-0.0341982213374789,0.000388352938568769,-0.540518086089232,0.221583564836783,NA,NA,NA,8,-2625.82763478644,5267.68804899469,275.227132869542,9.33991283272791e-61,1,TRUE
-0.0461402898177466,-0.0228048448683632,NA,0.25830439844428,NA,NA,NA,NA,6,-2631.41392116945,5274.84695496688,282.38603884173,2.60499049491387e-62,1,FALSE
0.0241227142871945,-0.035097688251266,0.000405893190059165,0.259010289135857,NA,NA,NA,NA,7,-2630.91187602597,5275.84924135554,283.388325230389,1.57820138089246e-62,1,FALSE
