"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw"
30.9435648596407,0.0288972482260428,-0.000793731605526968,0.00957595594582697,-1.14697633367002e-05,-2.79794260388537,0.0620332596041502,10,-660.704568230045,1341.69671815944,0,0.380321227201163,0.380321227201163
-0.649046610736242,0.028181990182635,-0.000782250207557851,0.0100463373591546,-1.21302396661749e-05,NA,NA,8,-662.859681736526,1341.90710793198,0.210389772545568,0.342345802310213,0.722667029511376
-1.13854905433606,0.0275429317010112,-0.000781070948074358,0.00962518371311065,-1.15187622495863e-05,0.0256030726370527,NA,9,-662.604997709989,1343.44498236515,1.74826420571094,0.15867913231864,0.881346161830016
31.5829938845329,0.0281263603254956,-0.000789775799891294,0.00322490061712733,NA,-2.79313929247093,0.0622658328364516,9,-663.59353911747,1345.42206518011,3.72534702067401,0.0590475304262725,0.940393692256288
0.239869318991499,0.0277486260900684,-0.000778562134388426,0.00338331682731468,NA,NA,NA,7,-666.160487053986,1346.46680744131,4.77008928186956,0.0350218302831571,0.975415522539445
-0.615029187266923,0.0267704843260544,-0.000776915074152202,0.00324748214070557,NA,0.0409400938003791,NA,8,-665.495147012073,1347.17803848308,5.48132032364083,0.0245412670148206,0.999956789554266
-0.0532487380475165,-0.0206834364067884,NA,0.00997142044978331,-1.19910197850424e-05,NA,NA,7,-673.904859426847,1361.95555218703,20.2588340275909,1.51705264413932e-05,0.999971960080707
30.1942002034522,-0.0207283169007087,NA,0.00948010759037718,-1.13015143714195e-05,-2.68008363132982,0.0594804554096763,9,-671.862891610515,1361.9607701662,20.2640520067641,1.5130998282583e-05,0.99998709107899
-0.588672664474614,-0.0213119898433767,NA,0.00949179297812985,-1.12907553170966e-05,0.0280958157866506,NA,8,-673.601973562615,1363.39169158416,21.6949734247237,7.39855563712152e-06,0.999994489634627
30.5364999363862,-0.0212845484358665,NA,0.00322117246930905,NA,-2.65102300991091,0.0591945735723243,8,-674.663014892584,1365.5137742441,23.8170560846629,2.56060476524747e-06,0.999997050239392
0.822468370345957,-0.020897496100657,NA,0.00338764686371674,NA,NA,NA,6,-677.134750247152,1366.37873326414,24.6820151046988,1.66157169225831e-06,0.999998711811085
-0.0963637253024692,-0.0218467961700442,NA,0.00323924017429368,NA,0.0439795718323537,NA,7,-676.373502857259,1366.89283904785,25.1961208884143,1.28493876708924e-06,0.999999996749852
36.0018736841757,NA,NA,0.0100932966638127,-1.22917417807058e-05,-3.23599422469617,0.0711426506994547,8,-682.023469387432,1380.23468323379,38.537965074358,1.6283125792578e-09,0.999999998378164
-0.774607045495464,NA,NA,0.0101417315079733,-1.23230978177142e-05,NA,NA,6,-684.564414320835,1381.2380614115,39.5413432520647,9.8595473050332e-10,0.999999999364119
-0.84015744995674,NA,NA,0.0100822147973865,-1.22355087314611e-05,0.00332656839655552,NA,7,-684.560158278739,1383.26614989081,41.5694317313739,3.57654058303043e-10,0.999999999721773
36.1907954329321,NA,NA,0.00328684179772262,NA,-3.19077451823094,0.0705478901458515,7,-685.382350563324,1384.91053445998,43.2138163005441,1.57177213475182e-10,0.99999999987895
0.116590612643432,NA,NA,0.0033803590641637,NA,NA,NA,5,-688.038040613892,1386.15400330571,44.4572851462697,8.4406084832732e-11,0.999999999963356
-0.346805589567337,NA,NA,0.00330684043885521,NA,0.0214394783283176,NA,6,-687.85678731194,1387.82280739371,46.1260892342736,3.66435509680099e-11,1
34.5125564920843,0.0257799717914691,-0.000772572644597311,NA,NA,-3.06628069996873,0.070349334032203,8,-699.744377947676,1415.67650035428,73.9797821948459,3.27827193625519e-17,1
-1.85751215015983,0.0242415763128734,-0.000757234589197303,NA,NA,0.135623076050534,NA,7,-701.912583128459,1417.97099959025,76.2742814308151,1.04088032023943e-17,1
1.09017776083394,0.0273938229853868,-0.000761238086271269,NA,NA,NA,NA,6,-708.925681053704,1429.96059487724,88.2638767178025,2.5935418530849e-20,1
32.3706823356347,-0.0228068504977295,NA,NA,NA,-2.83123040054828,0.0653028031300683,7,-710.724915629965,1435.59566459326,93.8989464338276,1.5497206476182e-21,1
-1.41307623035346,-0.0233717373345167,NA,NA,NA,0.141562061516845,NA,6,-712.579214434669,1437.26766163917,95.570943479732,6.71713186340833e-22,1
1.66757665703076,-0.0203544231288281,NA,NA,NA,NA,NA,5,-720.188034088913,1450.45399025575,108.757272096312,9.20044845595032e-25,1
38.5056674773778,NA,NA,NA,NA,-3.41790804172264,0.0777208873385719,6,-723.707385672099,1459.52400411403,117.827285954592,9.86916731785441e-27,1
-1.74695655970824,NA,NA,NA,NA,0.121159594718567,NA,5,-726.360076206437,1462.7980744908,121.101356331359,1.92010581508369e-27,1
0.977875849307693,NA,NA,NA,NA,NA,NA,4,-731.846902736162,1471.74568614677,130.048967987336,2.18965643941636e-29,1
