"(Intercept)","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
0.825466341254243,0.0235442264561377,-0.000629400923126075,-0.204556564953728,NA,-1.30372452075191,-0.262068005921666,9,-1749.01050132482,3516.10445188469,0,0.566448713140786,0.566448713140786,FALSE
0.634406263446586,0.0234934691356652,-0.000629232392854862,-0.0715896503023148,-0.0217679610619778,-1.29863634363797,-0.261418936201261,10,-1749.00335324746,3518.10874731126,2.00429542656093,0.2079377654243,0.774386478565086,FALSE
1.37899155343871,-0.0158490238532634,NA,-0.205573550169013,NA,-1.30815921408294,-0.262548516433387,8,-1751.2723649345,3518.61145832127,2.50700643657547,0.161722729931026,0.936109208496112,FALSE
1.17840552348261,-0.0158909762694111,NA,-0.0660889190857784,-0.0228349043323344,-1.30282044282964,-0.261867664837165,9,-1751.26449097026,3520.61243117557,4.50797929088003,0.0594655348247304,0.995574743320842,FALSE
0.443142459290919,0.0231539278030513,-0.000635391435680284,NA,NA,-1.21377576154623,-0.25429977015978,8,-1755.41827032707,3526.90326910642,10.798817221721,0.00255992492697158,0.998134668247814,FALSE
0.853112826910854,NA,NA,-0.216117350526672,NA,-1.34949573418568,-0.268653502168114,7,-1757.51128072635,3529.07443732117,12.9699854364726,0.000864498097361007,0.998999166345175,FALSE
1.00027562401924,-0.016619977216801,NA,NA,NA,-1.21769568567324,-0.254730491478306,7,-1757.75136990813,3529.55461568471,13.4501638000193,0.000679977644906854,0.999679143990082,FALSE
1.08808383230266,NA,NA,-0.378351614892467,0.0265653935235845,-1.35557325954544,-0.26942604964071,8,-1757.50053475359,3531.06779795946,14.9633460747627,0.000319088592965025,0.999998232583047,TRUE
0.427309754241788,NA,NA,NA,NA,-1.25623247333688,-0.260738713456179,6,-1764.71040418823,3541.45969726534,25.3552453806474,1.7674169531181e-06,1,FALSE
-9.82795907743241,0.015374366683713,-0.00071992916357025,9.12548374976471,-1.49788400533744,0.641596251318094,NA,9,-1922.85885176242,3863.80115275989,347.696700875196,1.78558821736911e-76,1,FALSE
-9.22954734922939,-0.0297415372511901,NA,9.15207487683269,-1.50229414365983,0.640523088663836,NA,8,-1925.89355046733,3867.85382938693,351.749377502232,2.35371439503265e-77,1,FALSE
-9.88465022333752,NA,NA,9.00031354372691,-1.47872670433483,0.647881797428577,NA,7,-1948.21365238881,3910.47918064607,394.374728761378,1.30549839708211e-86,1,FALSE
3.86384176902513,0.0178824738016167,-0.000750619187869793,NA,NA,0.61768766820631,NA,7,-1955.47708090505,3925.00603767856,408.901585793869,9.14764745117103e-90,1,FALSE
3.83646560941429,0.0178696243749915,-0.00075067590452289,0.0114115483786756,NA,0.619545681414747,NA,8,-1955.46076386145,3926.98825617517,410.883804290475,3.39528426762483e-90,1,FALSE
4.52899312365212,-0.0291599188975092,NA,NA,NA,0.616446618419474,NA,6,-1958.71843232619,3929.47575354127,413.37130165657,9.78865340145159e-91,1,FALSE
4.50188834896425,-0.0291761277042374,NA,0.0113204377111401,NA,0.618291085640125,NA,7,-1958.70236484664,3931.45660556174,415.352153677045,3.63568627094428e-91,1,FALSE
3.65515900347769,NA,NA,NA,NA,0.625335353816464,NA,5,-1979.90046659882,3969.82869812129,453.724246236598,1.69118988076182e-99,1,FALSE
3.64558976792564,NA,NA,0.00392880394520524,NA,0.62597884196755,NA,6,-1979.89853411825,3971.83595712539,455.731505240693,6.19899972027758e-100,1,FALSE
0.810355688121847,-0.00525241819184456,-0.000591684059382418,2.12071308854987,-0.542996811953199,NA,NA,8,-2401.40579827331,4818.87832499889,1302.77387311419,7.23449904906697e-284,1,FALSE
1.28509658468707,-0.0423325073436399,NA,2.15428871451627,-0.548278364454456,NA,NA,7,-2402.8435809344,4819.73903773726,1303.63458585256,4.70443061432058e-284,1,FALSE
5.73929404139759,-0.00408057727447537,-0.000604070790268909,-1.16806840322182,NA,NA,NA,7,-2404.20600516261,4822.46388619367,1306.35943430898,1.20451924479496e-284,1,FALSE
6.27288731767787,-0.0419333165745319,NA,-1.16639830268959,NA,NA,NA,6,-2405.69880521818,4823.43649932524,1307.33204744055,7.40650781035893e-285,1,FALSE
0.635564724599939,NA,NA,1.74362949770145,-0.485638041081266,NA,NA,6,-2433.87741963145,4879.79372815178,1363.68927626709,4.28347994385787e-297,1,FALSE
5.062350643666,NA,NA,-1.19696260365211,NA,NA,NA,5,-2436.10525287491,4882.23827067347,1366.13381878877,1.26174349335482e-297,1,FALSE
2.52556214808217,-0.0156617130642623,-0.000550494419268828,NA,NA,NA,NA,6,-2553.50585398986,5119.0505968686,1602.94614498391,0,1,FALSE
3.01619469893821,-0.05015009949369,NA,NA,NA,NA,NA,5,-2554.61851828215,5119.26480148795,1603.16034960326,0,1,FALSE
1.4580665779343,NA,NA,NA,NA,NA,NA,4,-2593.13877286878,5194.29604712517,1678.19159524048,0,1,FALSE
