"(Intercept)","pre","I(pre^2)","tmn","I(tmn^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-611.425811774818,0.00457883895632046,-5.39278429131028e-06,NA,NA,0.617162782681898,-0.000155827685827829,8,-889.178394788588,1794.42900622713,0,0.360564074809419,0.360564074809419
-630.517626822137,0.00448532070713492,-5.18288957967007e-06,0.945238004438724,-0.0203636111060212,0.625522568038022,-0.000157972903934736,10,-887.792283043769,1795.69500785461,1.26600162748105,0.191458077061044,0.552022151870463
-619.732394561911,0.00450503300195321,-5.30341783759307e-06,0.011210536874942,NA,0.625458944976103,-0.000157961142732093,9,-888.927081892334,1795.94447989104,1.51547366391492,0.169005768537118,0.721027920407581
-603.895824638019,0.00197300793186415,NA,NA,NA,0.609948105795008,-0.000154027465041305,7,-891.197258901622,1796.45065815412,2.02165192699613,0.131215855119457,0.852243775527038
-624.775062902702,0.00197856096945512,NA,0.982217390868109,-0.0211385393429463,0.61967290249888,-0.000156521282884431,9,-889.653951611161,1797.39821932869,2.9692131015679,0.0817007456796153,0.933944521206654
-613.430109328679,0.0019384312706857,NA,0.0126796033911081,NA,0.619464755795788,-0.000156473784636849,8,-890.875654829645,1797.82352630924,3.39452008211447,0.0660498419840292,0.999994363190683
-4.45608311366473,0.00430533814943009,-4.95162671365134e-06,NA,NA,0.00205506956664544,NA,7,-902.927062147672,1819.91026464622,25.481258419095,1.0563248373289e-06,0.99999541951552
-2.40675596610874,0.00430149286301614,-4.94403834081933e-06,NA,NA,NA,5.15204537309513e-07,7,-903.015057777627,1820.08625590613,25.657249679005,9.67345186469698e-07,0.999996386860707
-3.98018333971998,0.0019130845191874,NA,NA,NA,0.00195536113075601,NA,6,-904.630809249259,1821.30370266685,26.8746964397292,5.26279277552668e-07,0.999996913139984
-2.03004546813143,0.00191291039519739,NA,NA,NA,NA,4.90041858862768e-07,6,-904.713636096685,1821.46935636171,27.0403501345813,4.84445612596663e-07,0.999997397585597
-15.1170008155943,0.00426176240889159,-4.7994442297975e-06,0.930178682663616,-0.0202160265187866,0.00203983649045477,NA,9,-901.790387274942,1821.67109065626,27.2420844291307,4.37964572785e-07,0.99999783555017
-13.0797165688257,0.00425719993429975,-4.79096076859278e-06,0.929932370536619,-0.0202085444149676,NA,5.11048851145534e-07,9,-901.878066986615,1821.8464500796,27.4174438524758,4.01199300023892e-07,0.99999823674947
-4.45494443481295,0.00428484697770388,-4.92580643443836e-06,0.00284674056674196,NA,0.00202316057663887,NA,8,-902.910747211149,1821.89371107225,27.4647048451225,3.91829899221036e-07,0.999998628579369
-2.4380561275967,0.00428030566323444,-4.91733343937274e-06,0.00294332609884899,NA,NA,5.0682717662577e-07,8,-902.997622444133,1822.06746153821,27.6384553110893,3.59226310799365e-07,0.99999898780568
-15.0575038931574,0.00194037085589963,NA,0.966530682783,-0.0209760434075306,0.00192737097293361,NA,8,-903.387220294303,1822.84665723856,28.4176510114303,2.43314472428609e-07,0.999999231120152
-13.1315019884719,0.00193991425027803,NA,0.966239363897411,-0.0209676152015398,NA,4.82651490420702e-07,8,-903.469307507129,1823.01083166421,28.5818254370824,2.24139251923442e-07,0.999999455259404
-3.98219239632798,0.0019007938645071,NA,0.00437484735331252,NA,0.0019070914942244,NA,7,-904.592259128556,1823.24065860799,28.811652380864,1.99807428896226e-07,0.999999655066833
-2.08064628575247,0.00190035531048329,NA,0.00446991697082274,NA,NA,4.77518158755437e-07,7,-904.673403461006,1823.40294727289,28.9739410457641,1.84234557487726e-07,0.99999983930139
-0.365976716302394,0.00402421727631285,-4.36925741052474e-06,NA,NA,NA,NA,6,-907.120143368,1826.28237090434,31.8533646772107,4.36628619147096e-08,0.999999882964252
-0.119695803310638,0.00191309543874687,NA,NA,NA,NA,NA,5,-908.454366077805,1826.93877722321,32.5097709960864,3.14467217105444e-08,0.999999914410974
-10.9729498499877,0.00392026825687303,-4.15722380783776e-06,0.913196981292003,-0.0196146229712159,NA,NA,8,-905.683522843016,1827.43926233598,33.010256108857,2.44847918302775e-08,0.999999938895766
