"(Intercept)","pre","I(pre^2)","tmn","I(tmn^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-878.667417178548,0.00502972158664312,-5.7493467590298e-06,0.0279132915080018,NA,0.887179098155942,-0.000224234353061742,9,-1392.36623065771,2802.80190575985,0,0.410160209638305,0.410160209638305
-871.921355740685,0.00504703435618152,-5.83020590920013e-06,-0.561522896981557,0.0128442357060607,0.887203979881681,-0.000224243751079853,10,-1391.84116421998,2803.7672377414,0.965331981540203,0.253124597520911,0.663284807159216
-856.485033134288,0.00527994996425865,-6.10111167098434e-06,NA,NA,0.86498961583626,-0.000218532726981303,8,-1394.14697431312,2804.34948275659,1.54757699673473,0.189191426332076,0.852476233491292
-871.870328922457,0.00224353937311399,NA,0.0304717035389137,NA,0.880713079831502,-0.000222634678502383,8,-1395.03702456831,2806.12958326696,3.32767750710855,0.0776886432392958,0.930164876730588
-865.528284514133,0.00222324507558355,NA,-0.516066583309118,0.0119102018527419,0.880653897335269,-0.000222623048033382,9,-1394.5861133886,2807.24167122164,4.43976546178419,0.0445523591533562,0.974717235883944
-847.07346211668,0.00233103819796984,NA,NA,NA,0.85593064473188,-0.000216270848476128,7,-1397.16579133549,2808.37475923228,5.57285347242259,0.0252827185829049,0.999999954466849
-5.4046535972904,0.00505713060385364,-5.72297093732737e-06,NA,NA,0.00241616581732189,NA,7,-1412.25326434781,2838.54970525691,35.7477994970527,7.08626673328031e-09,0.999999961553116
-5.38663720082232,0.00486363305774445,-5.44736464482745e-06,0.0206687986456962,NA,0.00218217114168744,NA,8,-1411.27021073995,2838.59595561026,35.7940498504036,6.92427581636787e-09,0.999999968477391
-2.99002342997556,0.00505398816578593,-5.71680463485822e-06,NA,NA,NA,6.04345999998833e-07,7,-1412.34889253662,2838.74096163453,35.9390558746786,6.44001235899975e-09,0.999999974917404
-3.20315491141972,0.00485968665643215,-5.44003732533181e-06,0.0207539357876891,NA,NA,5.44666086982558e-07,8,-1411.35785898656,2838.77125210347,35.9693463436165,6.34321174615049e-09,0.999999981260615
1.38581242634139,0.00488283261543533,-5.53172379399001e-06,-0.567810577061063,0.0128226666426427,0.00216964070280426,NA,9,-1410.7442257757,2839.55789599585,36.7559902359917,4.28047197718557e-09,0.999999985541087
3.56014236523203,0.00487890833835163,-5.52446150523417e-06,-0.568004946876398,0.0128287535922933,NA,5.41490062043802e-07,9,-1410.83135723808,2839.7321589206,36.9302531607445,3.9232948204217e-09,0.999999989464382
