"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-10.2613759314747,-0.0113114000250888,0.194605721571954,-0.00155076744730074,3.12012216579192,-0.591689447535021,0.0167089929349172,-9.3243931461963e-05,11,-1892.12703906275,3806.31555926196,0,0.886466926262434,0.886466926262434,FALSE
-5.64199436814122,-0.011334335408854,0.194574569470169,-0.00155032551196411,-0.209386451138676,NA,0.0182129992057897,-0.000102019298880062,10,-1895.28681010751,3810.62484256659,4.3092833046303,0.102781169922461,0.989248096184895,FALSE
-10.232595504452,-0.011331161385258,0.194450618684151,-0.00154967189996209,3.68024620490498,-0.700114553846578,NA,NA,9,-1899.11440160954,3816.27070266043,9.95514339846932,0.00610844425103558,0.995356540435931,FALSE
-10.383914766182,-0.0113362734220271,0.194423379456495,-0.00154893303876913,3.7264582930884,-0.703393866599009,0.000570146677925783,NA,10,-1898.4588502491,3816.96892284977,10.6533635878131,0.00430838025549524,0.999664920691426,FALSE
-4.68565842121226,-0.0113620506575711,0.194395314102275,-0.00154894797812033,-0.261031331192331,NA,NA,NA,8,-1903.60114068008,3823.23579311254,16.9202338505838,0.000187706987580797,0.999852627679007,FALSE
-4.80702349487068,-0.0113672616074231,0.194370430284002,-0.00154824671264512,-0.234156786081137,NA,0.000552147835082384,NA,9,-1902.98770084924,3824.01730113983,17.7017418778692,0.000126992516134219,0.999979620195141,FALSE
-6.46697218809265,-0.0112507667229454,0.194861305245968,-0.00155202161645527,NA,NA,0.0219032428039404,-0.000116981129284382,9,-1904.81750480309,3827.67690904753,21.3613497855681,2.03753167047141e-05,0.999999995511846,FALSE
-13.8339296893189,NA,0.182848945895002,-0.00152041920364699,3.16856822368259,-0.599950408446798,0.0168030685726078,-9.38937065014741e-05,10,-1912.92788698341,3845.90699631839,39.5914370564296,2.24125470754872e-09,0.999999997753101,FALSE
-5.60659311489597,-0.0112763889293586,0.194640566454592,-0.00154960465842036,NA,NA,0.00180416851479895,NA,8,-1915.05739105389,3846.14829386017,39.8327345982088,1.98652538601326e-09,0.999999999739626,FALSE
-9.15636205274872,NA,0.182738688685829,-0.00151953307815191,-0.207392171735564,NA,0.0183274739162154,-0.000102787435069525,9,-1916.18905514384,3850.42000972902,44.1044504670595,2.34694441702659e-10,0.999999999974321,FALSE
-13.816589780916,NA,0.182723534575738,-0.001519561616654,3.73354081875797,-0.70912101935136,NA,NA,8,-1919.98443653994,3856.00238483227,49.6868255703066,1.43981088542399e-11,0.999999999988719,FALSE
-13.9639042387794,NA,0.182678132343472,-0.00151885740738372,3.77801665022648,-0.712250998301677,0.000551140122351475,NA,9,-1919.36998861053,3856.7818766624,50.466317400444,9.750815800173e-12,0.999999999998469,FALSE
-5.47624172059712,-0.0112046011599393,0.194853647528045,-0.00155307399990811,NA,NA,NA,NA,7,-1923.83222606982,3861.69051077157,55.3749515096069,8.37808184683975e-13,0.999999999999307,FALSE
-8.20704638493221,NA,0.182578391670047,-0.00151836242782429,-0.258409913165545,NA,NA,NA,7,-1924.60563356481,3863.23732576154,56.9217664995822,3.86596565445745e-13,0.999999999999694,FALSE
-8.32561724094742,NA,0.182537003078893,-0.00151770126946592,-0.232438626070485,NA,0.00053300142559441,NA,8,-1924.03226911776,3864.09804998791,57.7824907259546,2.51393532414138e-13,0.999999999999945,FALSE
-9.94400010419749,NA,0.182858798520588,-0.00152000440529987,NA,NA,0.0219948514097938,-0.000117676919792863,8,-1925.55567340638,3867.14485856514,60.8292993031773,5.47958949204655e-14,1,FALSE
-9.08592859206871,NA,0.182588678314288,-0.00151753419605674,NA,NA,0.00177603047047621,NA,7,-1935.9499916443,3885.92604192052,79.6104826585624,4.57578780733277e-18,1,FALSE
-8.93338838147471,NA,0.182737240548818,-0.00151992297230369,NA,NA,NA,NA,6,-1944.47777183368,3900.97508309513,94.6595238331724,2.46949474714633e-21,1,FALSE
-9.63256566786015,-0.0100176572239654,0.0914776995859529,NA,3.10584108958707,-0.59027687544713,0.0166143163716308,-9.28078119957383e-05,10,-1969.2230028485,3958.49722804857,152.181668786614,7.9768795895068e-34,1,FALSE
-5.02270847517362,-0.0100454773227657,0.0914746200571448,NA,-0.215679515403395,NA,0.0181098294243062,-0.000101531666781118,9,-1972.39781697565,3962.83753339264,156.521974130685,9.10642061723847e-35,1,FALSE
-9.61744284841999,-0.0099929427107068,0.0912912573728555,NA,3.66235637144794,-0.697930194491834,NA,NA,8,-1976.16009394036,3968.35369963311,162.038140371153,5.77467339496926e-36,1,FALSE
-9.76267457110299,-0.0100013085194983,0.091332543950121,NA,3.70637989870913,-0.700982253190665,0.000550104744691887,NA,9,-1975.54567776978,3969.1332549809,162.817695718945,3.91065166335116e-36,1,FALSE
-4.08745426314991,-0.0100255049499668,0.0912751776167062,NA,-0.266616367852804,NA,NA,NA,7,-1980.66002721627,3975.34611306447,169.03055380251,1.75042755832987e-37,1,FALSE
-12.6983205381959,NA,0.0781693886771019,NA,3.14113175921996,-0.59668449446971,0.0166319376834317,-9.29735548172627e-05,9,-1978.8818129852,3975.80552541175,169.489966149786,1.39118221980444e-37,1,FALSE
-4.20464457810354,-0.0100337195732074,0.0913149496870259,NA,-0.2406310670063,NA,0.000532554564435065,NA,8,-1980.0854599998,3976.20443175198,169.888872490019,1.13962667805672e-37,1,FALSE
-8.04658254352452,NA,0.0781154677846677,NA,-0.216446246003793,NA,0.0181442524425024,-0.000101795858724018,8,-1982.11370908695,3980.26092992628,173.945370664323,1.49935758428434e-38,1,FALSE
