"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
-10.8999074015079,NA,0.433073888807228,-0.00965407689748138,NA,NA,0.00206987888913384,NA,7,-256.296645458919,526.750594288624,0,0.163433417570681,0.163433417570681
-11.4909626476252,NA,0.432807717648044,-0.00963662799624696,NA,NA,0.0161882088934472,-8.28848345679612e-05,8,-255.367710059716,526.937951765002,0.187357476377429,0.148818424786499,0.31225184235718
-9.3773481789917,-0.00489947162381094,0.436775190077409,-0.00956543829443169,NA,NA,0.00208051649519488,NA,8,-255.891388636667,527.985308918903,1.2347146302784,0.0881507449966289,0.400402587353809
-9.96363863186233,-0.00491547474225672,0.436523992871679,-0.00954863329022632,NA,NA,0.0162076386569914,-8.29366435037056e-05,9,-254.959481146577,528.172483419914,1.42188913128939,0.0802752303728811,0.48067781772669
-11.8428088070302,NA,0.432981341583725,-0.00963513938656802,0.0918669901036936,NA,0.017850601547019,-8.9758683219793e-05,9,-254.987285535088,528.228092196937,1.47749790831313,0.0780739708288898,0.55875178855558
-11.1371513865882,NA,0.433225663610385,-0.00965402593053228,0.0719753313243876,NA,0.00245497965298407,NA,8,-256.059908390733,528.322348427036,1.57175413841219,0.07447984904687,0.63323163760245
-10.7198566816097,NA,0.432392285560688,-0.00961818386937934,NA,NA,NA,NA,6,-258.352301797707,528.822415657125,2.07182136850088,0.0580030149540513,0.691234652556501
-15.6170378422393,NA,0.433577439736407,-0.00966564076640765,3.25687743637536,-0.56414321265727,0.00235576807619506,NA,9,-255.488470613668,529.230462354096,2.47986806547215,0.0472981717568665,0.738532824313368
-15.6237801479587,NA,0.433300043466065,-0.00964639934444264,2.81411816754521,-0.48244400779711,0.0166717262974034,-8.33803730869394e-05,10,-254.573513348736,529.457322889292,2.7067286006677,0.0422262208430854,0.780759045156453
-10.3324489995077,-0.00483944016684278,0.436674830274839,-0.00955064348132522,0.0901204935820369,NA,0.017838106470284,-8.96791361507032e-05,10,-254.592846983788,529.495990159395,2.74539587077106,0.0414176757429497,0.822176720899403
