"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"2","core_measurement","dtr","absolute","mean","lin",-33.02,15,9
"11","core_measurement","dtr","absolute","mean","quad",-31.04,15,0
"1","core_measurement","cld","absolute","mean","lin",-28.75,15,9
"10","core_measurement","cld","absolute","mean","quad",-26.77,15,9
"14","core_measurement","tmn","absolute","mean","quad",-20.88,6,0
"17","core_measurement","vap","absolute","mean","quad",-17.39,9,5
"5","core_measurement","tmn","absolute","mean","lin",-14.29,15,0
"16","core_measurement","tmx","absolute","mean","quad",-11.61,4,4
"7","core_measurement","tmx","absolute","mean","lin",-11.07,13,10
"15","core_measurement","tmp","absolute","mean","quad",-10.47,4,4
"12","core_measurement","pet","absolute","mean","quad",-9.92,15,15
"3","core_measurement","pet","absolute","mean","lin",-8.13,15,10
"18","core_measurement","wet","absolute","mean","quad",-7.56,3,2
"13","core_measurement","pre","absolute","mean","quad",-7.34,13,1
"6","core_measurement","tmp","absolute","mean","lin",-7.26,4,4
"4","core_measurement","pre","absolute","mean","lin",-6.38,11,8
"9","core_measurement","wet","absolute","mean","lin",-4.89,11,8
"8","core_measurement","vap","absolute","mean","lin",-4.67,8,3
