"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"13","res","pre","absolute","mean","quad",-145.61,6,0
"18","res","wet","absolute","mean","quad",-121.62,3,0
"10","res","cld","absolute","mean","quad",-114.86,9,1
"12","res","pet","absolute","mean","quad",-111.02,3,0
"16","res","tmx","absolute","mean","quad",-100.01,3,0
"9","res","wet","absolute","mean","lin",-96.52,3,0
"3","res","pet","absolute","mean","lin",-93.7,3,0
"15","res","tmp","absolute","mean","quad",-84.27,3,0
"4","res","pre","absolute","mean","lin",-84.15,6,0
"7","res","tmx","absolute","mean","lin",-83.75,3,0
"11","res","dtr","absolute","mean","quad",-80.8,8,0
"1","res","cld","absolute","mean","lin",-73.1,15,15
"6","res","tmp","absolute","mean","lin",-69.36,3,0
"2","res","dtr","absolute","mean","lin",-55.41,8,5
"14","res","tmn","absolute","mean","quad",-49.59,15,7
"5","res","tmn","absolute","mean","lin",-32.77,3,2
"17","res","vap","absolute","mean","quad",-30.9,9,6
"8","res","vap","absolute","mean","lin",-9.78,3,3
