"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-211.14,15,0
"1","core_measurement","cld","absolute","mean","lin",-211.05,15,0
"12","core_measurement","tmn","absolute","mean","quad",-139.71,4,0
"16","core_measurement","wet","absolute","mean","quad",-132.31,5,1
"15","core_measurement","vap","absolute","mean","quad",-110.82,3,3
"13","core_measurement","tmp","absolute","mean","quad",-104.3,5,4
"14","core_measurement","tmx","absolute","mean","quad",-103.22,11,10
"6","core_measurement","tmx","absolute","mean","lin",-101.39,11,10
"10","core_measurement","pet","absolute","mean","quad",-97.25,5,5
"11","core_measurement","pre","absolute","mean","quad",-95.02,2,2
"7","core_measurement","vap","absolute","mean","lin",-90,13,10
"3","core_measurement","pre","absolute","mean","lin",-74.08,12,12
"4","core_measurement","tmn","absolute","mean","lin",-71.66,5,0
"2","core_measurement","pet","absolute","mean","lin",-68.99,10,10
"5","core_measurement","tmp","absolute","mean","lin",-49.32,11,10
"8","core_measurement","wet","absolute","mean","lin",-34.64,12,12
