"site","species_code"
"BCI","JACO"
"HKK","MEAZ"
"LillyDickey","ACSA"
"LillyDickey","CAOV"
"LillyDickey","QUAL"
"LillyDickey","QUMO"
"LillyDickey","QUVE"
"SCBI","PIST"
