"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-124.38,15,6
"1","core_measurement","cld","absolute","mean","lin",-115.69,15,4
"12","core_measurement","tmn","absolute","mean","quad",-114.04,4,0
"4","core_measurement","tmn","absolute","mean","lin",-76.15,4,0
"15","core_measurement","vap","absolute","mean","quad",-46.59,3,3
"13","core_measurement","tmp","absolute","mean","quad",-33.82,5,0
"11","core_measurement","pre","absolute","mean","quad",-25.9,13,12
"16","core_measurement","wet","absolute","mean","quad",-22.08,3,1
"10","core_measurement","pet","absolute","mean","quad",-20.04,12,0
"5","core_measurement","tmp","absolute","mean","lin",-19.75,4,0
"3","core_measurement","pre","absolute","mean","lin",-19.29,0,0
"2","core_measurement","pet","absolute","mean","lin",-18.86,15,15
"8","core_measurement","wet","absolute","mean","lin",-16.17,11,7
"14","core_measurement","tmx","absolute","mean","quad",-14.79,9,9
"7","core_measurement","vap","absolute","mean","lin",-10.68,13,10
"6","core_measurement","tmx","absolute","mean","lin",-10.49,15,10
