"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-80.87,15,0
"1","core_measurement","cld","absolute","mean","lin",-78.82,15,0
"12","core_measurement","tmn","absolute","mean","quad",-59.16,15,0
"4","core_measurement","tmn","absolute","mean","lin",-52.69,6,0
"3","core_measurement","pre","absolute","mean","lin",-28.65,11,7
"11","core_measurement","pre","absolute","mean","quad",-28.11,11,7
"2","core_measurement","pet","absolute","mean","lin",-26.03,9,5
"8","core_measurement","wet","absolute","mean","lin",-25.54,11,7
"16","core_measurement","wet","absolute","mean","quad",-25.44,11,7
"10","core_measurement","pet","absolute","mean","quad",-25.09,8,5
"5","core_measurement","tmp","absolute","mean","lin",-20.64,9,0
"13","core_measurement","tmp","absolute","mean","quad",-20.49,5,5
"14","core_measurement","tmx","absolute","mean","quad",-19.12,5,5
"15","core_measurement","vap","absolute","mean","quad",-14.42,5,3
"6","core_measurement","tmx","absolute","mean","lin",-13.46,11,10
"7","core_measurement","vap","absolute","mean","lin",-10.44,11,10
