"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"12","core_measurement","tmn","absolute","mean","quad",-65.88,4,0
"9","core_measurement","cld","absolute","mean","quad",-56.91,15,6
"1","core_measurement","cld","absolute","mean","lin",-49.73,15,0
"4","core_measurement","tmn","absolute","mean","lin",-47.35,4,0
"13","core_measurement","tmp","absolute","mean","quad",-21.81,5,0
"11","core_measurement","pre","absolute","mean","quad",-20.57,13,12
"5","core_measurement","tmp","absolute","mean","lin",-19.38,5,0
"16","core_measurement","wet","absolute","mean","quad",-18.51,2,1
"15","core_measurement","vap","absolute","mean","quad",-16.54,15,15
"10","core_measurement","pet","absolute","mean","quad",-15.99,5,5
"3","core_measurement","pre","absolute","mean","lin",-15.09,12,12
"14","core_measurement","tmx","absolute","mean","quad",-11.64,5,4
"7","core_measurement","vap","absolute","mean","lin",-7.94,12,10
"2","core_measurement","pet","absolute","mean","lin",-7.01,9,5
"8","core_measurement","wet","absolute","mean","lin",-6.49,12,12
"6","core_measurement","tmx","absolute","mean","lin",-4.96,5,4
