"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-114.54,10,1
"13","core_measurement","tmp","absolute","mean","quad",-106.46,0,0
"1","core_measurement","cld","absolute","mean","lin",-100.84,10,1
"16","core_measurement","wet","absolute","mean","quad",-78,4,0
"12","core_measurement","tmn","absolute","mean","quad",-76.83,13,13
"8","core_measurement","wet","absolute","mean","lin",-74.04,4,1
"11","core_measurement","pre","absolute","mean","quad",-66.31,4,0
"4","core_measurement","tmn","absolute","mean","lin",-65.07,13,13
"3","core_measurement","pre","absolute","mean","lin",-59.61,4,1
"10","core_measurement","pet","absolute","mean","quad",-53.42,11,10
"14","core_measurement","tmx","absolute","mean","quad",-43.75,0,0
"6","core_measurement","tmx","absolute","mean","lin",-30.89,15,0
"2","core_measurement","pet","absolute","mean","lin",-21.99,10,10
"7","core_measurement","vap","absolute","mean","lin",-18.07,7,7
"5","core_measurement","tmp","absolute","mean","lin",-17.23,4,4
"15","core_measurement","vap","absolute","mean","quad",-16.48,7,7
