"","site","what","species_code","n_trees","n_cores","start_year","end_year"
"76","SCBI","log_core_measurement","litu",105,105,1903,2010
"77","SCBI","log_core_measurement","pist",36,36,1931,2010
"78","SCBI","log_core_measurement","qual",66,66,1903,2009
"79","SCBI","log_core_measurement","qumo",67,67,1903,2017
"80","SCBI","log_core_measurement","quru",71,71,1903,2016
"81","SCBI","log_core_measurement","quve",82,82,1903,2009
"82","SCBI","log_core_measurement_dbh","caco",14,14,1903,2015
"83","SCBI","log_core_measurement_dbh","cagl",36,36,1903,2015
"84","SCBI","log_core_measurement_dbh","caovl",24,24,1903,2015
"85","SCBI","log_core_measurement_dbh","cato",14,14,1903,2015
"86","SCBI","log_core_measurement_dbh","fagr",69,69,1920,2009
"87","SCBI","log_core_measurement_dbh","fram",16,16,1929,2010
"88","SCBI","log_core_measurement_dbh","pist",36,36,1931,2010
"89","SCBI","log_core_measurement_dbh","qumo",16,16,1906,2016
"90","SCBI","log_core_measurement_dbh","quru",30,30,1903,2009
"91","SCBI","log_core_measurement_dbh","quve",29,29,1914,2009
"92","SCBI","log_agb_inc_dbh","caco",14,14,1903,2015
"93","SCBI","log_agb_inc_dbh","cagl",36,36,1903,2015
"94","SCBI","log_agb_inc_dbh","caovl",24,24,1903,2015
"95","SCBI","log_agb_inc_dbh","cato",14,14,1903,2015
"96","SCBI","log_agb_inc_dbh","fagr",69,69,1921,2009
"97","SCBI","log_agb_inc_dbh","fram",16,16,1930,2010
"98","SCBI","log_agb_inc_dbh","pist",36,36,1932,2010
"99","SCBI","log_agb_inc_dbh","qumo",16,16,1906,2016
"100","SCBI","log_agb_inc_dbh","quru",30,30,1903,2009
"101","SCBI","log_agb_inc_dbh","quve",29,29,1915,2009
"102","SCBI","log_BAI_dbh","caco",14,14,1903,2015
"103","SCBI","log_BAI_dbh","cagl",36,36,1903,2015
"104","SCBI","log_BAI_dbh","caovl",24,24,1903,2015
"105","SCBI","log_BAI_dbh","cato",14,14,1903,2015
"106","SCBI","log_BAI_dbh","fagr",69,69,1921,2009
"107","SCBI","log_BAI_dbh","fram",16,16,1930,2010
"108","SCBI","log_BAI_dbh","pist",36,36,1932,2010
"109","SCBI","log_BAI_dbh","qumo",16,16,1906,2016
"110","SCBI","log_BAI_dbh","quru",30,30,1903,2009
"111","SCBI","log_BAI_dbh","quve",29,29,1915,2009
"112","ScottyCreek","log_core_measurement","PIMA",442,442,1903,2013
"113","ScottyCreek","log_core_measurement_dbh","PIMA",331,331,1903,2013
"114","ScottyCreek","log_agb_inc_dbh","PIMA",331,331,1903,2013
"115","ScottyCreek","log_BAI_dbh","PIMA",331,331,1903,2013
"116","Zofin","log_core_measurement","ABAL",55,55,1903,2011
"117","Zofin","log_core_measurement","FASY",1380,1380,1903,2013
"118","Zofin","log_core_measurement","PCAB",646,646,1903,2011
"119","Zofin","log_core_measurement_dbh","FASY",1286,1286,1903,2013
"120","Zofin","log_core_measurement_dbh","PCAB",506,506,1903,2011
"121","Zofin","log_agb_inc_dbh","FASY",1286,1286,1903,2013
"122","Zofin","log_agb_inc_dbh","PCAB",506,506,1903,2011
"123","Zofin","log_BAI_dbh","FASY",1286,1286,1903,2013
"124","Zofin","log_BAI_dbh","PCAB",506,506,1903,2011
