"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"11","core_measurement","dtr","absolute","mean","quad",-90.95,15,7
"10","core_measurement","cld","absolute","mean","quad",-83.34,10,10
"15","core_measurement","tmp","absolute","mean","quad",-73.06,11,11
"16","core_measurement","tmx","absolute","mean","quad",-67.42,11,11
"2","core_measurement","dtr","absolute","mean","lin",-66.52,15,1
"14","core_measurement","tmn","absolute","mean","quad",-60.81,4,0
"1","core_measurement","cld","absolute","mean","lin",-52.45,15,0
"13","core_measurement","pre","absolute","mean","quad",-45.18,11,5
"5","core_measurement","tmn","absolute","mean","lin",-45.02,5,0
"18","core_measurement","wet","absolute","mean","quad",-39.58,14,1
"12","core_measurement","pet","absolute","mean","quad",-34.6,10,10
"4","core_measurement","pre","absolute","mean","lin",-33.29,11,7
"17","core_measurement","vap","absolute","mean","quad",-30.1,11,11
"8","core_measurement","vap","absolute","mean","lin",-27.35,11,11
"7","core_measurement","tmx","absolute","mean","lin",-24.28,14,10
"9","core_measurement","wet","absolute","mean","lin",-18.14,11,8
"3","core_measurement","pet","absolute","mean","lin",-17.37,15,13
"6","core_measurement","tmp","absolute","mean","lin",-12.3,5,3
