"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-79.21,10,10
"12","core_measurement","tmn","absolute","mean","quad",-70.57,4,0
"1","core_measurement","cld","absolute","mean","lin",-62.61,15,0
"4","core_measurement","tmn","absolute","mean","lin",-54.11,4,0
"11","core_measurement","pre","absolute","mean","quad",-46.22,11,8
"13","core_measurement","tmp","absolute","mean","quad",-43.28,11,11
"14","core_measurement","tmx","absolute","mean","quad",-41.98,11,11
"6","core_measurement","tmx","absolute","mean","lin",-38.03,14,10
"15","core_measurement","vap","absolute","mean","quad",-36.62,3,3
"2","core_measurement","pet","absolute","mean","lin",-34.75,15,13
"16","core_measurement","wet","absolute","mean","quad",-34.29,15,1
"10","core_measurement","pet","absolute","mean","quad",-34.06,15,10
"7","core_measurement","vap","absolute","mean","lin",-28.39,8,2
"3","core_measurement","pre","absolute","mean","lin",-23.75,11,7
"8","core_measurement","wet","absolute","mean","lin",-23,15,15
"5","core_measurement","tmp","absolute","mean","lin",-13.74,9,2
