"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"9","core_measurement","cld","absolute","mean","quad",-131.81,13,0
"1","core_measurement","cld","absolute","mean","lin",-122.89,13,0
"12","core_measurement","tmn","absolute","mean","quad",-54.25,1,1
"10","core_measurement","pet","absolute","mean","quad",-51.95,8,8
"4","core_measurement","tmn","absolute","mean","lin",-50.92,2,1
"16","core_measurement","wet","absolute","mean","quad",-44.03,12,1
"11","core_measurement","pre","absolute","mean","quad",-34.41,11,5
"3","core_measurement","pre","absolute","mean","lin",-33.83,9,7
"14","core_measurement","tmx","absolute","mean","quad",-31.96,13,10
"7","core_measurement","vap","absolute","mean","lin",-31.18,14,10
"8","core_measurement","wet","absolute","mean","lin",-30.69,7,7
"2","core_measurement","pet","absolute","mean","lin",-30.25,8,8
"15","core_measurement","vap","absolute","mean","quad",-30.21,8,7
"6","core_measurement","tmx","absolute","mean","lin",-26.78,14,10
"13","core_measurement","tmp","absolute","mean","quad",-25.38,9,7
"5","core_measurement","tmp","absolute","mean","lin",-22.39,9,7
