"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"11","core_measurement","dtr","absolute","mean","quad",-273.82,15,9
"2","core_measurement","dtr","absolute","mean","lin",-267.4,15,14
"10","core_measurement","cld","absolute","mean","quad",-215.45,15,0
"1","core_measurement","cld","absolute","mean","lin",-212.38,15,0
"17","core_measurement","vap","absolute","mean","quad",-178.07,8,8
"13","core_measurement","pre","absolute","mean","quad",-155.87,11,8
"18","core_measurement","wet","absolute","mean","quad",-152.68,14,14
"15","core_measurement","tmp","absolute","mean","quad",-146,5,4
"12","core_measurement","pet","absolute","mean","quad",-142.42,10,10
"3","core_measurement","pet","absolute","mean","lin",-123.78,15,14
"14","core_measurement","tmn","absolute","mean","quad",-122.64,5,4
"16","core_measurement","tmx","absolute","mean","quad",-114.39,1,0
"7","core_measurement","tmx","absolute","mean","lin",-96.44,15,10
"5","core_measurement","tmn","absolute","mean","lin",-88.81,13,0
"4","core_measurement","pre","absolute","mean","lin",-78.65,11,9
"6","core_measurement","tmp","absolute","mean","lin",-55.97,9,8
"9","core_measurement","wet","absolute","mean","lin",-50.98,15,15
"8","core_measurement","vap","absolute","mean","lin",-42.68,8,8
