what,site,species,climate_group,model_formula,variable,interaction_coef,p_value,summary
log_core_measurement_dbh,BCI,JACO,water,log_core_measurement ~ dbh + pre + dbh:pre,pre,9.01E-06,0.714454455,
log_core_measurement_dbh,BCI,TEPA,water,log_core_measurement ~ dbh + pre + dbh:pre,pre,-9.12E-07,0.954061289,
log_core_measurement_dbh,BCI,TRTU,water,log_core_measurement ~ dbh + pre + I(pre^2) + dbh:pre,pre,-1.38E-05,0.442896713,
log_agb_inc_dbh,BCI,JACO,water,log_agb_inc ~ dbh + pre + I(pre^2) + tmp + dbh:pre,pre,1.65E-05,0.432793474,
log_agb_inc_dbh,BCI,JACO,temperature,log_agb_inc ~ dbh + pre + I(pre^2) + tmp + dbh:tmp,tmp,0.00629773,0.084721381,
log_agb_inc_dbh,BCI,TEPA,water,log_agb_inc ~ dbh + pre + dbh:pre,pre,-2.09E-06,0.872652938,
log_agb_inc_dbh,BCI,TRTU,water,log_agb_inc ~ dbh + pre + I(pre^2) + tmp + dbh:pre,pre,-2.42E-05,0.1041421,
log_agb_inc_dbh,BCI,TRTU,temperature,log_agb_inc ~ dbh + pre + I(pre^2) + tmp + dbh:tmp,tmp,-0.001840695,0.456899173,
log_BAI_dbh,BCI,JACO,water,log_BAI ~ dbh + pre + I(pre^2) + dbh:pre,pre,1.51E-05,0.480848647,
log_BAI_dbh,BCI,TEPA,water,log_BAI ~ dbh + pre + dbh:pre,pre,-6.64E-07,0.960043644,
log_BAI_dbh,BCI,TRTU,water,log_BAI ~ dbh + pre + I(pre^2) + dbh:pre,pre,-1.97E-05,0.192622606,
log_core_measurement_dbh,HarvardForest,ACRU,water,log_core_measurement ~ dbh + pet + wet + I(wet^2) + dbh:wet,wet,-0.002426041,0.052597598,
log_core_measurement_dbh,HarvardForest,ACRU,temperature,log_core_measurement ~ dbh + pet + wet + I(wet^2) + dbh:pet,pet,0.009730306,0.349722872,
log_BAI_dbh,SCBI,pist,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.034141411,0.000134905,
log_core_measurement_dbh,HarvardForest,BEAL,temperature,log_core_measurement ~ dbh + pet + wet + dbh:pet,pet,0.020954969,0.129973664,
log_agb_inc_dbh,SCBI,pist,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.028823986,0.001221043,
log_core_measurement_dbh,HKK,TOCI,temperature,log_core_measurement ~ dbh + tmx + I(tmx^2) + wet + I(wet^2) + dbh:tmx,tmx,-0.005627575,9.97E-07,big trees more sensitive
log_BAI_dbh,HKK,CHTA,temperature,log_BAI ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:tmp,tmp,-0.007663748,0.000154081,
log_core_measurement_dbh,HarvardForest,TSCA,temperature,log_core_measurement ~ pet + I(pet^2) + wet + pet:dbh,pet,0.001541994,0.397774834,
log_BAI_dbh,HKK,TOCI,temperature,log_BAI ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:tmp,tmp,-0.007265092,2.89E-08,
log_agb_inc_dbh,HarvardForest,BEAL,temperature,log_agb_inc ~ dbh + pet + dbh:pet,pet,0.009424079,0.389464528,
log_agb_inc_dbh,HKK,TOCI,temperature,log_agb_inc ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:tmp,tmp,-0.006194115,2.73E-06,
log_agb_inc_dbh,HKK,CHTA,temperature,log_agb_inc ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:tmp,tmp,-0.005685536,0.00480345,
log_core_measurement_dbh,LillyDickey,LITU,temperature,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pet,pet,-0.005386799,8.37E-05,big trees less sensitive
log_agb_inc_dbh,HarvardForest,TSCA,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.000515852,0.885239923,
log_core_measurement_dbh,SCBI,cato,temperature,log_core_measurement ~ pet + pet:dbh,pet,-0.004686897,0.047081787,big trees more sensitive
log_BAI_dbh,HarvardForest,BEAL,temperature,log_BAI ~ dbh + pet + dbh:pet,pet,0.007905641,0.468606207,
log_core_measurement_dbh,HKK,CHTA,temperature,log_core_measurement ~ dbh + tmx + wet + I(wet^2) + dbh:tmx,tmx,-0.004272816,0.035816932,big trees more sensitive
log_agb_inc_dbh,NewMexico,PIPO,water,log_agb_inc ~ dbh + pet + wet + I(wet^2) + dbh:wet,wet,-0.00467531,0.001974934,
log_agb_inc_dbh,HarvardForest,QURU,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.004446272,6.49E-11,
log_BAI_dbh,HarvardForest,TSCA,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.000938917,0.76991906,
log_BAI_dbh,HarvardForest,QURU,temperature,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.004418374,1.05E-10,
log_core_measurement_dbh,HKK,CHTA,water,log_core_measurement ~ dbh + tmx + wet + I(wet^2) + dbh:wet,wet,0.000191608,0.830219667,
log_core_measurement_dbh,Zofin,ABAL,temperature,log_core_measurement ~ tmx + I(tmx^2) + tmx:dbh,tmx,0.000327836,0.010217074,big trees more sensitive
log_core_measurement_dbh,HKK,MEAZ,water,log_core_measurement ~ dbh + tmx + wet + I(wet^2) + dbh:wet,wet,0.000319478,0.437500704,
log_core_measurement_dbh,HKK,MEAZ,temperature,log_core_measurement ~ dbh + tmx + wet + I(wet^2) + dbh:tmx,tmx,-0.00109453,0.269642244,
log_agb_inc_dbh,SCBI,qumo,temperature,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,-0.003952273,0.046740567,
log_agb_inc_dbh,NewMexico,PIST2,water,log_agb_inc ~ dbh + pet + wet + I(wet^2) + dbh:wet,wet,-0.003796874,0.045618696,
log_core_measurement_dbh,Zofin,FASY,temperature,log_core_measurement ~ dbh + tmx + I(tmx^2) + wet + dbh:tmx,tmx,0.000350253,1.64E-33,big trees more sensitive
log_agb_inc_dbh,HKK,CHTA,water,log_agb_inc ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:wet,wet,0.000842154,0.168419309,
log_core_measurement_dbh,ScottyCreek,PIMA,temperature,log_core_measurement ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + dbh:tmx,tmx,0.001124995,0.001104898,big trees less sensitive
log_agb_inc_dbh,HKK,MEAZ,water,log_agb_inc ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:wet,wet,-0.000204609,0.565801062,
log_agb_inc_dbh,HKK,MEAZ,temperature,log_agb_inc ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:tmp,tmp,0.000640072,0.560531344,
log_BAI_dbh,HKK,AFXY,water,log_BAI ~ dbh + tmp + wet + I(wet^2) + dbh:wet,wet,-0.000646645,0.004068662,
log_agb_inc_dbh,HKK,AFXY,water,log_agb_inc ~ dbh + wet + dbh:wet,wet,-0.000596735,0.007226605,
log_agb_inc_dbh,SCBI,caco,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-0.000375469,0.005936467,
log_BAI_dbh,HKK,AFXY,temperature,log_BAI ~ dbh + tmp + wet + I(wet^2) + dbh:tmp,tmp,0.001341003,0.061037683,
log_BAI_dbh,HKK,CHTA,water,log_BAI ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:wet,wet,0.000425805,0.490236983,
log_BAI_dbh,SCBI,caco,water,log_BAI ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-0.000351831,0.007376678,
log_BAI_dbh,HKK,MEAZ,water,log_BAI ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:wet,wet,0.000110128,0.743064069,
log_BAI_dbh,HKK,MEAZ,temperature,log_BAI ~ dbh + tmp + I(tmp^2) + wet + I(wet^2) + dbh:tmp,tmp,-0.000784554,0.476402048,
log_agb_inc_dbh,HarvardForest,ACRU,water,log_agb_inc ~ dbh + pre + I(pre^2) + dbh:pre,pre,-0.000146714,0.000395165,
log_BAI_dbh,HarvardForest,ACRU,water,log_BAI ~ pre + I(pre^2) + pre:dbh,pre,-0.000139803,0.000388618,
log_agb_inc_dbh,Zofin,PCAB,temperature,log_agb_inc ~ dbh + tmx + wet + dbh:tmx,tmx,-0.00012578,0.004225454,
log_agb_inc_dbh,SCBI,juni,water,log_agb_inc ~ dbh + pet + pre + I(pre^2) + dbh:pre,pre,-0.000106834,0.043777017,
log_BAI_dbh,LillyDickey,ACSA,water,log_BAI ~ dbh + pre + dbh:pre,pre,-8.59E-05,0.000214883,
log_agb_inc_dbh,LillyDickey,ACSA,water,log_agb_inc ~ dbh + pre + dbh:pre,pre,-8.19E-05,0.000207723,
log_core_measurement_dbh,LillyDickey,QUMO,water,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pre,pre,1.16E-05,0.261078034,
log_core_measurement_dbh,LillyDickey,QUMO,temperature,log_core_measurement ~ dbh + pet + I(pet^2) + pre + dbh:pet,pet,-0.000887346,0.398912995,
log_BAI_dbh,Zofin,PCAB,temperature,log_BAI ~ dbh + tmx + wet + dbh:tmx,tmx,-8.01E-05,0.03817448,
log_agb_inc_dbh,LillyDickey,CAOV,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + dbh:pre,pre,-7.83E-06,0.783563851,
log_agb_inc_dbh,LillyDickey,CAOV,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + dbh:pet,pet,0.009816684,0.120774206,
log_core_measurement_dbh,SCBI,qual,temperature,log_core_measurement ~ dbh + pet + pre + I(pre^2) + dbh:pet,pet,0.002758596,0.000249818,big trees less sensitive
log_agb_inc_dbh,LillyDickey,LITU,temperature,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pet,pet,-0.003506149,0.188398183,
log_agb_inc_dbh,LillyDickey,QUMO,water,log_agb_inc ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,-1.27E-05,0.178594433,
log_BAI_dbh,HarvardForest,QURU,water,log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + dbh:pre,pre,-3.74E-05,2.18E-27,
