"","response","climate","type","stat","func","DeltaAICc","WindowOpen","WindowClose"
"14","core_measurement","tmn","absolute","mean","quad",-82.6,4,0
"11","core_measurement","dtr","absolute","mean","quad",-73.16,15,8
"12","core_measurement","pet","absolute","mean","quad",-71.92,8,5
"5","core_measurement","tmn","absolute","mean","lin",-70.86,8,0
"13","core_measurement","pre","absolute","mean","quad",-61.29,14,5
"6","core_measurement","tmp","absolute","mean","lin",-58.53,8,5
"15","core_measurement","tmp","absolute","mean","quad",-57.62,8,1
"2","core_measurement","dtr","absolute","mean","lin",-57.17,15,14
"18","core_measurement","wet","absolute","mean","quad",-53.37,15,5
"3","core_measurement","pet","absolute","mean","lin",-51.64,9,5
"7","core_measurement","tmx","absolute","mean","lin",-51.49,8,5
"16","core_measurement","tmx","absolute","mean","quad",-50.02,8,5
"17","core_measurement","vap","absolute","mean","quad",-46.95,8,6
"1","core_measurement","cld","absolute","mean","lin",-44.33,8,6
"10","core_measurement","cld","absolute","mean","quad",-42.63,8,6
"8","core_measurement","vap","absolute","mean","lin",-27.97,8,5
"4","core_measurement","pre","absolute","mean","lin",-23.79,0,0
"9","core_measurement","wet","absolute","mean","lin",-21.07,15,13
