"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
41.7948073279397,-0.225726572264891,0.00029075475926043,1.29287324212299,-0.428728804512336,-0.0291643756455378,NA,9,-4026.99579683723,8072.05187498725,0,0.601824819998768,0.601824819998768
41.3888776529099,-0.224291841147845,0.000288829120316251,1.13830345915881,-0.381992665464297,0.0193972803954497,-0.00212168513117861,10,-4026.77052480243,8073.6147514474,1.56287646015153,0.275483621354137,0.877308441352905
40.2788188335556,-0.213154687838617,0.000273301543232629,-0.234551593194627,NA,0.0813288653438873,-0.00483225503864475,9,-4029.11834056488,8076.29696244256,4.24508745530693,0.0720544929030125,0.949362934255917
41.0090189489658,-0.213355198929984,0.000273380813527573,-0.270764707025185,NA,-0.0293131664457473,NA,8,-4030.4994042402,8077.04701738565,4.99514239839573,0.049520920026121,0.998883854282038
39.2539410245958,-0.211288952740708,0.00027003870503772,NA,NA,0.151186545405809,-0.00805900510937882,8,-4035.06857242801,8086.18535376127,14.133478774017,0.000513362538475298,0.999397216820514
42.0788558316751,-0.228323599741779,0.000293455802724345,1.26545922377641,-0.433145691468829,NA,NA,8,-4035.09130099835,8086.23081090196,14.1789359147051,0.000501826141439334,0.999899042961953
41.2886283637136,-0.21585082441123,0.000275936592488345,-0.314578889747041,NA,NA,NA,7,-4038.64721270707,8091.33190868053,19.2800336932805,3.91619197078793e-05,0.999938204881661
40.3212033856152,-0.21114827612723,0.000269284717114039,NA,NA,-0.0345190971129506,NA,7,-4039.32145214771,8092.68038756181,20.6285125745626,1.99547138370038e-05,0.999958159595498
7.30855962507188,-0.0240455077423847,NA,1.01210821008651,-0.351076147262391,-0.0294369540798217,NA,8,-4038.41725712201,8092.88272314927,20.8308481620197,1.80346986358294e-05,0.999976194294134
7.07502293066325,-0.0239152249973259,NA,0.811037561647706,-0.290215303440709,0.0344938956853097,-0.00279388182350134,9,-4038.02643756085,8094.11315643449,22.061281447237,9.74818351642488e-06,0.99998594247765
7.64219603494988,-0.023639630676562,NA,-0.231831525725816,NA,0.0814820982522604,-0.00485071054673469,8,-4039.39464908278,8094.83750707081,22.7856320835608,6.78629843530506e-06,0.999992728776085
8.36576841509259,-0.0237876404928695,NA,-0.268065423125833,NA,-0.0295543259314497,NA,7,-4040.78417765747,8095.60583858135,23.5539635940941,4.62159502129846e-06,0.999997350371107
3.15834213943578,NA,-3.42720741454725e-05,0.97492926048358,-0.341217392451628,-0.0296056718004114,NA,8,-4041.19344580204,8098.43510050933,26.3832255220741,1.12311820025197e-06,0.999998473489307
2.93825056752694,NA,-3.40793099559552e-05,0.765284977496107,-0.277754256769998,0.0371137273817979,-0.00291589746235703,9,-4040.76774785015,8099.5957770131,27.5439020258491,6.28619378124195e-07,0.999999102108685
3.52827678431123,NA,-3.37144900929042e-05,-0.232728265915948,NA,0.0820553044109268,-0.00488311571720314,8,-4042.02106849578,8100.09034589681,28.0384709095606,4.90900524478454e-07,0.999999593009209
