"(Intercept)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.50431077495589,-0.148289156669503,NA,0.174527083860073,-0.00904213264375622,7,-6294.27365627271,12602.5698251082,0,0.702197687712713,0.702197687712713,FALSE
-1.36547686053905,-0.356436191137263,0.0577391137478253,0.18278787246271,-0.00940696242734409,8,-6294.1420573093,12604.3130651614,1.74324005319613,0.293710604525959,0.995908292238672,TRUE
-1.96607955256275,NA,NA,0.214653088771675,-0.010923118572288,6,-6300.42610966095,12612.8691003508,10.2992752426126,0.00407380458183128,0.999982096820503,FALSE
-0.290835919960165,-0.209513999724893,NA,-0.0298415264731608,NA,6,-6306.47477295763,12624.9664269442,22.3966018359697,9.61831729297719e-06,0.999991715137796,FALSE
-0.737636015804925,0.291562928311928,-0.13736549336097,-0.029876082461436,NA,7,-6305.62120152825,12625.2649156193,22.6950905110862,8.28482057677207e-06,0.999999999958373,FALSE
-0.614458278815988,NA,NA,-0.0335276351199878,NA,5,-6319.82903758167,12649.6701306184,47.1003055102083,4.15678924289979e-11,0.999999999999941,FALSE
-0.572672258704675,-0.249099450687859,NA,NA,NA,5,-6327.00704077349,12664.0261370021,61.4563118938495,3.17242108889495e-14,0.999999999999973,FALSE
-1.00122272323635,0.230985798562615,-0.131700149675135,NA,NA,6,-6326.16051404414,12664.3379091172,61.7680840089797,2.71450329782581e-14,1,FALSE
-1.00906493985501,NA,NA,NA,NA,4,-6346.19947802713,12700.4069914098,97.8371663015951,3.9938216794944e-22,1,FALSE
