"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_1SD_clim","variable","month"
"SCBI_caco",-0.0195674703410085,FALSE,FALSE,-0.310628342119391,0.236507663884772,-0.00316522574542084,"pre","prev.apr"
"SCBI_caco",0.0849536095058756,FALSE,FALSE,-0.247793294574536,0.39695596496009,0.0134360365912742,"pre","prev.may"
"SCBI_caco",-0.122286320420967,FALSE,FALSE,-0.585719598447742,0.234486528146599,-0.0184193563759332,"pre","prev.jun"
"SCBI_caco",0.0405322957324002,FALSE,FALSE,-0.358991834918357,0.365566760102512,0.00552207445531012,"pre","prev.jul"
"SCBI_caco",0.186293503367381,FALSE,FALSE,-0.158884050818452,0.44281355436374,0.0280615354854127,"pre","prev.aug"
"SCBI_caco",0.200293565244207,FALSE,FALSE,-0.129856218038522,0.466392800716243,0.0331770817425434,"pre","prev.sep"
"SCBI_caco",0.16110619341753,FALSE,FALSE,-0.298430092343264,0.575977563954319,0.0237821740686502,"pre","prev.oct"
"SCBI_caco",-0.0735003302147934,FALSE,FALSE,-0.446213276473925,0.270265935476834,-0.0105733056746003,"pre","prev.nov"
"SCBI_caco",0.285632920076327,FALSE,FALSE,-0.120964815191966,0.634053744067912,0.0373307577898033,"pre","prev.dec"
"SCBI_caco",-0.168382715804083,FALSE,FALSE,-0.544679242532882,0.200979309424626,-0.0234622620393088,"pre","curr.jan"
"SCBI_caco",0.0319598647899958,FALSE,FALSE,-0.29295449117153,0.358071052402926,0.00459626585390618,"pre","curr.feb"
"SCBI_caco",0.159693302562496,FALSE,FALSE,-0.252111011741703,0.495028008404951,0.0279575894871366,"pre","curr.mar"
"SCBI_caco",-0.282807231216151,FALSE,FALSE,-0.597353612187127,0.16786262392662,-0.0441893432518579,"pre","curr.apr"
"SCBI_caco",0.141515329152312,FALSE,FALSE,-0.191721016212252,0.467396305211335,0.0226415816074723,"pre","curr.may"
