"(Intercept)","pre","I(pre^2)","tmx","I(tmx^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
3.74418171827997,0.00495595291642158,-3.36163280269341e-05,-0.454952379343087,0.0100673194377334,8,-1382.20571692791,2780.41537776468,0,1,1,TRUE
3.21944336788507,0.00102207603835917,NA,-0.401120195020264,0.00892113183447055,7,-1469.27094438634,2952.54495617334,172.129578408656,4.19311682387845e-38,1,TRUE
-1.58942117100834,0.0042942323787709,-2.60542199520799e-05,0.00962351341215123,NA,7,-1553.78083000731,3121.56472741527,341.149349650588,8.3245347569958e-75,1,FALSE
4.07959859488145,NA,NA,-0.472642248402944,0.0105026024706997,6,-1592.09819101842,3196.19868252432,415.783304759644,5.17371543199091e-91,1,TRUE
-1.52379631773927,0.00122508367220613,NA,0.0103705516126924,NA,6,-1606.9570420954,3225.91638467828,445.501006913598,1.82257541428262e-97,1,FALSE
-1.38087921667125,0.00470205556321577,-2.87688554792577e-05,NA,NA,6,-1625.14793910546,3262.2981786984,481.882800933724,2.29339739674193e-105,1,FALSE
-1.28981032237704,0.00132073375454153,NA,NA,NA,5,-1690.21066968256,3390.42298252547,610.007604760794,3.45566525723171e-133,1,FALSE
-1.49979811179791,NA,NA,0.0121396722442405,NA,5,-1788.02365028305,3586.04894372645,805.633565961769,1.14523320994361e-175,1,FALSE
-1.21999610403954,NA,NA,NA,NA,4,-1902.23735732422,3812.47581005868,1032.060432294,7.77901541362145e-225,1,FALSE
