"(Intercept)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.22150188858182,0.0163127789939182,0.000610095067140737,0.0417389368772378,-0.000803375390966798,8,-23596.8915932556,47209.7855412993,0,0.755140293387121,0.755140293387121,FALSE
-0.212914241641454,0.0201571241108827,NA,0.0401999417916867,-0.000756689699791537,7,-23599.2863331135,47212.5744976989,2.78895639956318,0.187246391514493,0.942386684901614,FALSE
-0.03799879571132,0.0165777357927065,0.000552428806520873,0.0172734436545634,NA,7,-23600.7853688078,47215.5725690875,5.78702778813749,0.0418206257562274,0.984207310657842,FALSE
-0.0398877774967445,0.0200639020532987,NA,0.017166672683593,NA,6,-23602.7594402769,47217.5202541352,7.73471283590334,0.0157926893421585,1,FALSE
0.242433831016172,0.0160787220936843,NA,NA,NA,5,-23971.7863383932,47953.5736578999,743.788116600575,2.32536039774219e-162,1,FALSE
0.241809725264497,0.0166795317631649,-9.4527371948494e-05,NA,NA,6,-23971.7288988328,47955.4591712471,745.673629947742,9.05849920996464e-163,1,FALSE
0.0873874258563459,NA,NA,0.0135736485034372,NA,5,-23992.7403750753,47995.4817312641,785.69618996475,1.84615332697977e-171,1,FALSE
0.00572024902508778,NA,NA,0.0244744664932325,-0.000358373646843114,6,-23991.9713225096,47995.9440186006,786.15847730128,1.46515424468651e-171,1,FALSE
0.299424662448577,NA,NA,NA,NA,4,-24230.3898991,48468.780452265,1258.9949109657,3.0956821000135e-274,1,FALSE
