"(Intercept)","CO2","I(CO2^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
44.2789125970435,-0.2594725221901,0.000382624373138578,0.0406097068286162,-0.00295454535898277,-0.0719898961457359,0.00235960447463107,10,-1869.10832319755,3758.25641501404,0,0.777227495672621,0.777227495672621
44.1690363240229,-0.262115671835975,0.00038665230106521,0.0397396188468616,-0.00278209094128538,NA,NA,8,-1872.71209407106,3761.45020910345,3.19379408941131,0.157407195555674,0.934634691228295
44.1885674317858,-0.262215659011841,0.000386802640320942,0.0397442010572585,-0.00279006449411655,-0.000185489206059325,NA,9,-1872.70739971127,3763.4473315028,5.19091648875838,0.0579902475290889,0.992624938757384
44.1163166979628,-0.258582757968988,0.00038103413417412,0.0222522552734279,NA,-0.0646000112761607,0.00213805267305864,9,-1875.18524656611,3768.40302521247,10.1466101984297,0.00486675794417374,0.997491696701557
44.0856579894501,-0.261345274443289,0.00038524812525543,0.022289605851871,NA,NA,NA,7,-1878.17357149709,3770.3673778632,12.110962849164,0.00182257743102132,0.999314274132579
44.0409341710066,-0.261118544768906,0.000384908823531607,0.022394826777012,NA,0.000429633141758118,NA,8,-1878.14820746239,3772.3224358861,14.0660208720637,0.00068572586742138,1
0.697453147580852,NA,NA,0.0408179293400878,-0.00290058121054034,-0.0799210781345288,0.00264109177271574,8,-1909.48099445422,3834.98800986976,76.731594855728,1.69236501663622e-17,1
0.760607909529423,-0.000192037279851181,NA,0.0407874759237977,-0.0028934898604319,-0.0800478714368093,0.0026454504355382,9,-1909.46743835794,3836.96740879612,78.7109937820824,6.2903241188065e-18,1
0.668052540303907,NA,2.69409047005541e-07,0.0408467717853664,-0.00290735746523069,-0.0797949989918752,0.0026367520775897,9,-1909.46871949377,3836.96997106778,78.7135560537463,6.28227051916234e-18,1
0.103083357173217,NA,NA,0.039837385551431,-0.00273056233283873,NA,NA,6,-1914.06638687088,3840.14794715217,81.8915321381346,1.28241295008358e-18,1
0.0567169429099186,NA,4.38139031819488e-07,0.0398866536793988,-0.00274166227697787,NA,NA,7,-1914.03395778697,3842.08815044296,83.8317354289275,4.8609158573771e-19,1
0.0956185622047426,NA,NA,0.0398273662111879,-0.00271111479179056,0.000457186225720166,NA,7,-1914.03758922126,3842.09541331153,83.8389982974941,4.84329577333645e-19,1
0.129971384287796,-8.29393998744306e-05,NA,0.03982359036423,-0.00272747326640484,NA,NA,7,-1914.06386363004,3842.14796212909,83.8915471150494,4.71769826586283e-19,1
0.0502699910035773,NA,4.29998834703053e-07,0.0398759418853531,-0.00272241791064523,0.000447618968824706,NA,8,-1914.00636029422,3844.03874154978,85.782326535742,1.83295847552974e-19,1
0.12416473264705,-8.81909547940489e-05,NA,0.0398126237746472,-0.00270771238584644,0.000459888891808689,NA,8,-1914.03473720913,3844.09549537958,85.8390803655475,1.78167583168935e-19,1
0.654275874849367,NA,NA,0.022786132854339,NA,-0.0724842962348646,0.00241745767986869,7,-1915.40180720594,3844.8238492809,86.5674342668672,1.23785178925563e-19,1
0.785687705768034,-0.000398892324417877,NA,0.0228146004952583,NA,-0.0727875480011083,0.00242771846207193,8,-1915.34289353637,3846.71180803408,88.45539302004,4.81619003159664e-20,1
0.658580468216729,NA,-3.93041187630644e-08,0.0227880810207591,NA,-0.0725053540065288,0.00241817138363437,8,-1915.40154409801,3846.82910915736,88.5726941433222,4.54184176080088e-20,1
0.120356138502804,NA,NA,0.0227013472971034,NA,NA,NA,5,-1919.38413755118,3848.77911129525,90.5226962812148,1.71314615200568e-20,1
0.102928941480111,NA,NA,0.0229586168267375,NA,0.00105010691223785,NA,6,-1919.2311434651,3850.4774603406,92.2210453265643,7.32828930031948e-21,1
0.211839559278506,-0.000282401165999331,NA,0.0227204766365591,NA,NA,NA,6,-1919.35465717256,3850.72448775552,92.468072741488,6.47681189565949e-21,1
0.105507059830363,NA,1.40540719787772e-07,0.0226947726285078,NA,NA,NA,6,-1919.38077791016,3850.77672923073,92.5203142166929,6.30982321981605e-21,1
0.197110569173057,-0.000291061843706434,NA,0.0229799196935838,NA,0.00105657591752327,NA,7,-1919.19981913156,3852.41987313213,94.1634581180942,2.77468078897822e-21,1
0.0896027015077235,NA,1.26460201540879e-07,0.0229521855453988,NA,0.00104800673519838,NA,7,-1919.22842259517,3852.47708005935,94.2206650453109,2.69643962652499e-21,1
45.6350914889001,-0.266854852183085,0.000393934418937461,NA,NA,-0.0763651023559121,0.00238599773450142,8,-1927.43815906371,3870.90233908875,112.645924074712,2.69027415089173e-25,1
45.5492596287847,-0.269670985287735,0.000398242301994454,NA,NA,-0.00382383273295119,NA,7,-1931.04865952055,3876.11755391012,117.861138896081,1.98301970323008e-26,1
45.2071436851709,-0.267984770092277,0.000395741760010046,NA,NA,NA,NA,6,-1933.1074401075,3878.2300536254,119.973638611365,6.89609990687342e-27,1
0.864762341368989,NA,NA,NA,NA,-0.0850688614875721,0.00268903950994674,6,-1970.76516413382,3953.54550167805,195.289086664015,3.04832872827178e-43,1
0.795426105154588,NA,6.3006711850804e-07,NA,NA,-0.0847071931349008,0.00267699966990198,7,-1970.69694851528,3955.41413189958,197.157716885547,1.19755068097639e-43,1
0.849963303290512,4.4817633417586e-05,NA,NA,NA,-0.0850322738810837,0.00268782366483025,7,-1970.76441405024,3955.54906296949,197.292647955454,1.11942239863091e-43,1
0.252739229915094,NA,NA,NA,NA,-0.0033098989586067,NA,5,-1975.40157205094,3960.81398029476,202.557565280723,8.04881085083651e-45,1
0.200669765498504,NA,NA,NA,NA,NA,NA,4,-1976.95923164777,3961.92568611967,203.669271105631,4.61665975878289e-45,1
0.166233350516539,NA,8.1840360045128e-07,NA,NA,-0.00331560230927276,NA,6,-1975.28668581573,3962.58854504187,204.332130027832,3.31428524019104e-45,1
0.198453112822145,0.000167529651772385,NA,NA,NA,-0.00331131283035962,NA,6,-1975.39111211631,3962.79739764302,204.540982628982,2.98564464796687e-45,1
0.116332832356933,NA,7.97069480347367e-07,NA,NA,NA,NA,5,-1976.84998511886,3963.71080643061,205.454391416569,1.89101040530621e-45,1
0.150155758709877,0.000155825943261398,NA,NA,NA,NA,NA,5,-1976.95015968866,3963.9111555702,205.654740556164,1.71075829981727e-45,1
