"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-0.393252578919407,-0.197344428272997,NA,-0.010954728410346,0.000185573200890251,0.135786955819663,-0.00824863782131994,9,486.967132570906,-955.884027910442,0,0.667521290865062,0.667521290865062,TRUE
-0.418982452546488,-0.176104470150739,-0.00289759856179607,-0.0109561265782352,0.000185621830398331,0.135875269802718,-0.00825556339899688,10,487.275714857969,-954.490011513817,1.39401639662435,0.33247447421826,0.999995765083322,TRUE
-0.00447795640427289,-0.197580546083169,NA,-0.0107156028482591,0.000184707015283689,0.0199517759755303,NA,8,473.595552334727,-931.150926098026,24.7331018124152,2.84276070423792e-06,0.999998607844026,TRUE
-0.0292278567650195,-0.176952064294528,-0.00281095327426505,-0.0107172911740528,0.000184761177097547,0.019941984633193,NA,9,473.886659611499,-929.723081991627,26.1609459188148,1.39215597378433e-06,1,TRUE
-0.513850140049569,-0.203748643355529,NA,0.000611126220055915,NA,0.133161455357093,-0.00811097462508788,8,442.509308677081,-868.978438782734,86.9055891277077,8.97751666332932e-20,1,FALSE
-0.539472493354561,-0.182568050734252,-0.00289845647876382,0.000612757975013558,NA,0.133271326644927,-0.00811941264756018,9,442.813791616298,-867.577346001225,88.3066819092164,4.45566763872447e-20,1,FALSE
-0.526954759980094,-0.203579151945448,NA,NA,NA,0.142497805459717,-0.00877128063782066,7,439.074315087988,-864.117388892852,91.7666390175897,7.89937349020454e-21,1,FALSE
-0.551939932657275,-0.18302376176026,-0.00280840527690088,NA,NA,0.142625666600653,-0.00878094574946443,8,439.362114754909,-862.68405093839,93.1999769720516,3.85786713113337e-21,1,FALSE
0.135133719777102,-0.197755538280606,NA,-0.0103539530980772,0.00017921422537164,NA,NA,7,434.987420540492,-855.94359979786,99.9404281125813,1.32640728379981e-22,1,TRUE
0.107882000763985,-0.17531704687182,-0.00304430849870628,-0.010355699207036,0.000179273725466675,NA,NA,8,435.330642526322,-854.621106481215,101.262921429227,6.84701253906961e-23,1,TRUE
-1.18188075215759,NA,NA,-0.0108551247150493,0.000184127179229173,0.133851127184202,-0.00813901969319518,8,432.789175264157,-849.538171956886,106.345855953556,5.39207488828181e-24,1,TRUE
-0.131685865604071,-0.203782013315724,NA,0.000793219827873787,NA,0.0192603700863493,NA,7,429.91329869127,-845.795356099416,110.088671811026,8.29877095850089e-25,1,FALSE
-0.156119125002303,-0.183320213391105,-0.00279750149113543,0.00079492571185622,NA,0.0192508580343298,NA,8,430.196779321914,-844.353380072399,111.530647838043,4.0354564299835e-25,1,FALSE
-0.107591568091392,-0.203594369316597,NA,NA,NA,0.0193449296870509,NA,6,424.034941640604,-836.046458852876,119.837569057565,6.33968440784156e-27,1,FALSE
-0.131061833229814,-0.184008588358361,-0.00267163438212099,NA,NA,0.0193363180767684,NA,7,424.296040268873,-834.560839254622,121.323188655819,3.01626463543285e-27,1,FALSE
-0.799040430813175,NA,NA,-0.0105983673257424,0.000182973229542286,0.0195864007074795,NA,7,419.10313883145,-824.175036379775,131.708991530667,1.6757954343019e-29,1,TRUE
0.00674804258018365,-0.203726426580965,NA,0.000812033067689097,NA,NA,NA,6,394.777002200151,-777.53057997197,178.353447938471,1.24596541697441e-39,1,FALSE
-0.0200563641644662,-0.181547051394341,-0.00301931141735855,0.000814003249832363,NA,NA,NA,7,395.108990131477,-776.18673897983,179.697288930611,6.36347913549766e-40,1,FALSE
0.0317415592442962,-0.203450948492723,NA,NA,NA,NA,NA,5,388.751717538062,-767.486708006149,188.397319904293,8.21309606026977e-42,1,FALSE
0.0060103297907502,-0.182217081830412,-0.00288458484312139,NA,NA,NA,NA,6,389.057371285793,-766.091318143254,189.792709767188,4.08791487427647e-42,1,FALSE
-1.3255233410337,NA,NA,0.000622043608865172,NA,0.130597458239994,-0.00795789969622798,7,386.741430464746,-759.451619646369,196.432408264073,1.47811979881244e-43,1,FALSE
-1.3392554563431,NA,NA,NA,NA,0.140173267574328,-0.00863646733676569,6,382.990543327169,-753.957662226005,201.926365684436,9.47789599069623e-45,1,FALSE
-0.669233683456827,NA,NA,-0.0102330196845498,0.000177363152401861,NA,NA,6,380.005178930374,-747.986933432416,207.897094478025,4.78833640821493e-46,1,TRUE
-0.950256541633939,NA,NA,0.00080278330973274,NA,0.0188798234903493,NA,6,373.985230191542,-735.947035954751,219.936991955691,1.16346717733596e-48,1,FALSE
-0.926081863055164,NA,NA,NA,NA,0.0189455928299485,NA,5,367.633416572166,-725.250106074356,230.633921836085,5.53280451121151e-51,1,FALSE
-0.820491694672969,NA,NA,0.000818010525709726,NA,NA,NA,5,338.485454453068,-666.954181836161,288.92984607428,1.21379744407464e-63,1,FALSE
-0.795355131053369,NA,NA,NA,NA,NA,NA,4,332.02641535857,-656.041682445123,299.842345465319,5.18235409825305e-66,1,FALSE
