"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw"
31.1768805632214,-0.192129755867085,0.000261864817238851,1.31182472709352,-0.167505023422916,0.0265288901582326,-0.000138502598972007,10,-3528.59242107381,7077.21604782138,0,0.999985787500923,0.999985787500923
33.7323071259172,-0.189978942024499,0.000258680994144326,-0.115446469048003,NA,0.0291013690781885,-0.000153079995393038,9,-3540.75828815405,7099.54210460196,22.3260567805783,1.41890133170907e-05,0.99999997651424
0.549475905761587,-0.0122719226251134,NA,1.28437457126559,-0.16426583086461,0.0263152680809655,-0.000137431612409347,9,-3547.30669633472,7112.6389209633,35.4228731419216,2.03242560769819e-08,0.999999996838496
-1.58422532585893,NA,-1.74965767091767e-05,1.28353172399892,-0.16414988497042,0.0263023052945837,-0.0001373702090493,9,-3549.78074059343,7117.58700948071,40.3709616593269,1.7121857911218e-09,0.999999998550682
31.6203972458231,-0.191491126592332,0.000260833798111939,1.55621034038957,-0.198441720813612,0.00256674611465275,NA,9,-3549.94774300617,7117.92101430621,40.7049664848246,1.44884745527508e-09,0.999999999999529
3.42505663024784,-0.0123183904428613,NA,-0.115278647129211,NA,0.028837060090391,-0.000151718916500862,8,-3559.0695822008,7134.15958414068,56.9435363192952,4.31382006123896e-13,0.999999999999961
1.28213467646134,NA,-1.75706682835765e-05,-0.115132393354341,NA,0.0288218197388204,-0.000151644462546582,8,-3561.53287542216,7139.08617058341,61.870122762024,3.67339281701218e-14,0.999999999999998
32.6489814867058,-0.188384892431308,0.000256919461802449,NA,NA,0.0343687679011407,-0.000178694893651797,8,-3564.28689307253,7144.59420588414,67.3781580627601,2.33890565442818e-15,1
34.7656893380585,-0.188819690903372,0.00025686763750907,-0.137108262577794,NA,0.00262754664846444,NA,8,-3567.23174816111,7150.4839160613,73.2678682399182,1.23049085064703e-16,1
1.10953148982293,-0.0123361652238863,NA,1.52618057684555,-0.194888787736246,0.00253811755836575,NA,8,-3568.43243595009,7152.88529163927,75.6692438178852,3.70361903568012e-17,1
-1.03502709899546,NA,-1.75909950022127e-05,1.52512648980164,-0.194747905163419,0.00253573621699323,NA,8,-3570.89718414312,7157.81478802531,80.59874020393,3.14919655792494e-18,1
31.689784813928,-0.190315259374179,0.000259106729473409,1.57272403665948,-0.204979165813506,NA,NA,8,-3574.53127492582,7165.08296959072,87.8669217693368,8.31637749356772e-20,1
2.55286877405666,-0.0119477989320778,NA,NA,NA,0.0341112177878846,-0.000177385053986964,7,-3582.61618265118,7179.24824506983,102.032197248448,6.98206209368852e-23,1
0.474653159724826,NA,-1.70367406123108e-05,NA,NA,0.0340913769618534,-0.000177290746847556,7,-3585.02791268678,7184.07170514103,106.855657319643,6.26012003241632e-24,1
4.65908650756322,-0.0124005279527274,NA,-0.13680514692273,NA,0.00259842391469066,NA,7,-3585.1964323598,7184.40874448708,107.1926966657,5.28926707121758e-24,1
2.50184883349457,NA,-1.7692430054929e-05,-0.136656627397944,NA,0.0025960064322575,NA,7,-3587.64561014321,7189.30710005389,112.091052232509,4.56805264030307e-25,1
1.37881292028422,-0.0123515878931309,NA,1.54311868171857,-0.201423865810706,NA,NA,7,-3592.59660281371,7199.2090853949,121.993037573516,3.23252805763158e-27,1
34.9437182205071,-0.187529785333873,0.000254972098534948,-0.177341753480799,NA,NA,NA,7,-3592.86209755099,7199.74007486945,122.524027048067,2.47878810699339e-27,1
-0.768311833689246,NA,-1.76169195250167e-05,1.54208214663329,-0.201280601158158,NA,NA,7,-3595.02834670929,7204.07257318606,126.856525364677,2.8408568343183e-28,1
33.6630549256892,-0.18670510832688,0.000254445319228021,NA,NA,0.00365466318663104,NA,7,-3601.14501116537,7216.30590209821,139.089854276829,6.26636556453405e-31,1
-3.64938069626584,NA,NA,1.32720410126241,-0.168679302551983,0.0262707965500622,-0.000137279115071132,8,-3601.14799659048,7218.31641292005,141.100365098666,2.29318371565551e-31,1
5.05676886719382,-0.0124180444066937,NA,-0.176585524381966,NA,NA,NA,6,-3610.39439526895,7232.80069867512,155.58465085374,1.64140654282079e-34,1
2.89659057975939,NA,-1.77217074586878e-05,-0.176398237250138,NA,NA,NA,6,-3612.80974216005,7237.63139245734,160.415344635952,1.46637258836001e-35,1
-0.71251440115939,NA,NA,-0.10995807641923,NA,0.0288521709481445,-0.000151901117855648,7,-3613.70226632896,7241.4204124254,164.204364604021,2.20530723143098e-36,1
3.84731589825655,-0.0119672129734982,NA,NA,NA,0.00362222199460147,NA,6,-3619.09882433184,7250.20955680091,172.993508979529,2.72226657083571e-38,1
1.76552224827423,NA,-1.70687200440206e-05,NA,NA,0.00361857168910031,NA,6,-3621.48783907912,7254.98758629546,177.771538474077,2.49686308283558e-39,1
-3.10722494686801,NA,NA,1.56706879966034,-0.199087274532624,0.00251972568579046,NA,7,-3622.45242232595,7258.92072441937,181.704676597986,3.49401396364865e-40,1
-1.42761985071899,NA,NA,NA,NA,0.0339178277185117,-0.000176602164835857,6,-3635.32964010409,7282.6711883454,205.455140524016,2.43207477546992e-45,1
0.496436633414958,NA,NA,-0.131637819677758,NA,0.00258174336777607,NA,6,-3640.16249806534,7292.33690426791,215.120856446531,1.9368383649271e-47,1
-2.84739384544511,NA,NA,1.58487324665905,-0.205678995285197,NA,NA,6,-3646.54436080115,7305.10062973952,227.884581918141,3.27706917267905e-50,1
33.4236406933865,-0.183643254724476,0.000250266647775112,NA,NA,NA,NA,6,-3656.2133622357,7324.43863260862,247.222584787236,2.07153196955101e-54,1
