"(Intercept)","CO2","dbh","I(dbh^2)","tmx","I(tmx^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw"
-0.413145709602783,-0.000628764345849296,0.0177209320523645,-0.000155909255761713,0.0156529183671901,0.000751329259706234,0.0381528839254545,-0.000681894855952139,11,-23225.0067646025,46472.0178762435,0,0.597592204528008,0.597592204528008
-0.577186392767094,NA,0.0170420144366961,-0.000159198754548569,0.0157848864417902,0.000716518843835282,0.0387548928022207,-0.000702411664270124,10,-23227.1138308106,46474.2312840937,2.21340785022039,0.197592072185755,0.795184276713763
-0.249720058282698,-0.000653775682397039,0.0177250558516557,-0.000155839326420867,0.0158548762453621,0.000707424884153587,0.0173880087611357,NA,10,-23227.8040505478,46475.6117235681,3.5938473245842,0.0990856796452118,0.894269956358975
-0.418847339263247,-0.00057854929996115,0.0176840208596379,-0.00015577830097559,0.0203891657594089,NA,0.0364355060112531,-0.000630353456411807,10,-23228.6259137615,46477.2554499954,5.23757375192508,0.0435592340073749,0.93782919036635
-0.415379492556105,NA,0.0170186892176625,-0.000159263318885665,0.0159985610823981,0.000669812229518016,0.0173642825513772,NA,9,-23230.0844875424,46478.1719388772,6.15406263366458,0.0275465492114045,0.965375739577754
-0.570124195255844,NA,0.0170593785531486,-0.000158828805943162,0.0203084059953193,NA,0.0370651390408555,-0.000651511718966614,9,-23230.4165160079,46478.8359958082,6.81811956470483,0.019763737254501,0.985139476832255
-0.266795564799313,-0.000604492959895958,0.0176898386729453,-0.000155720419850423,0.0203197031853511,NA,0.0172481770269931,NA,9,-23231.0266121614,46480.0561881151,8.03831187161268,0.0107376113053405,0.995877088137596
-0.419742922279335,NA,0.0170358520532242,-0.000158904793261092,0.0202327352543527,NA,0.0172330713293305,NA,8,-23232.984101537,46481.9705740688,9.95269782531977,0.00412291186240438,1
0.116063513613302,-0.00109757653779306,0.000946996052288462,NA,0.0156642137723671,0.000739276512088639,0.037812448891724,-0.000671785191806759,10,-23291.4998551123,46603.003332697,130.985456453498,2.1541426026729e-29,1
0.0598124149605609,-0.000777204559535786,NA,NA,0.0156773592694126,0.000734681710938028,0.0378993144928839,-0.000674785647912607,9,-23292.5240930427,46603.0511498777,131.033273634181,2.10325088842929e-29,1
0.276826347826421,-0.00112194085148443,0.000957956670768358,NA,0.0158637281988229,0.000696016691837847,0.0173559428327277,NA,9,-23294.2211789933,46606.445321779,134.427445535461,3.85350580327765e-30,1
0.220646473598483,-0.000797949477609259,NA,NA,0.015877907376189,0.000691173503882632,0.0173513696481874,NA,8,-23295.2691452878,46606.5406615705,134.522785326983,3.67411922197306e-30,1
0.0550555341556302,-0.000734999258296336,NA,NA,0.0203085771480106,NA,0.0362173062503221,-0.000624299648371563,8,-23295.9926559204,46607.9876828357,135.969806592148,1.78211846206397e-30,1
0.110039078290747,-0.00104808234230971,0.000926288030425818,NA,0.0203240308279445,NA,0.0361220664291326,-0.00062105645446947,9,-23295.0124418485,46608.0278474893,136.009971245803,1.74668634712497e-30,1
0.259648445638631,-0.00107339336891829,0.000937588011313765,NA,0.0202560912974616,NA,0.017218211599306,NA,8,-23297.3483206875,46610.6990123697,138.681136126215,4.59387148722208e-31,1
0.204781015658213,-0.000756601921368388,NA,NA,0.020240072352037,NA,0.0172146749440412,NA,7,-23298.3525019952,46610.7068480671,138.688971823591,4.57590860474896e-31,1
-0.158180820546472,NA,-0.00082263064011401,NA,0.0159004095353827,0.000677019541502586,0.038871376885142,-0.00070791909086981,9,-23298.0790803522,46614.1611244967,142.143248253182,8.13562168961088e-32,1
-0.203636031055316,NA,NA,NA,0.01600629573033,0.000651302344295857,0.0392895921969162,-0.000722133487849961,8,-23299.7754822005,46615.5533353959,143.535459152357,4.05579494786301e-32,1
-0.152354757610634,NA,-0.000768268807959817,NA,0.0201743006527055,NA,0.0372737754990172,-0.000659793893292936,8,-23301.0345925761,46618.071556147,146.053679903438,1.15146648484974e-32,1
0.0050045169660486,NA,-0.000852411187883962,NA,0.0161164073334558,0.00062992293770492,0.0173135515283336,NA,8,-23301.102946325,46618.2082636448,146.190387401315,1.07538913838367e-32,1
-0.195121877009536,NA,NA,NA,0.0201213807619184,NA,0.0377224821062185,-0.000674824365664771,7,-23302.5182544011,46619.0383528789,147.020476635356,7.100910826521e-33,1
-0.0387337647256818,NA,NA,NA,0.0162306991085574,0.000602285969609673,0.0172983787580005,NA,7,-23302.925070601,46619.8519852786,147.834109035131,4.7275488816897e-33,1
8.14492995718629e-05,NA,-0.000799721938167656,NA,0.0200981527088705,NA,0.0171900867639427,NA,7,-23303.6735207259,46621.3488855285,149.331009284986,2.2365997334377e-33,1
-0.0408609985681957,NA,NA,NA,0.020041268188461,NA,0.0171809185912239,NA,6,-23305.2819960169,46622.5653750685,150.547498825028,1.21739334002621e-33,1
-0.0146554160217227,-0.00048578113281014,0.0175344723545938,-0.000155399413200661,0.0162954307920127,NA,NA,NA,8,-23601.6210584941,47219.2444879831,747.226611739541,3.29767474828626e-163,1
-0.137808998893965,NA,0.0170102052993089,-0.000157964936139496,0.0162280973110059,NA,NA,NA,7,-23602.8830493565,47219.7679427898,747.750066546301,2.53828890608442e-163,1
-0.01349374269027,-0.00048871229846612,0.0175365358158157,-0.000155406665654853,0.0160213174176731,4.31156706133177e-05,NA,NA,9,-23601.6091615065,47221.2212868053,749.203410561808,1.22730190553669e-163,1
-0.137658888204063,NA,0.0170098105142216,-0.000157973091400124,0.016129676205289,1.5457805855271e-05,NA,NA,8,-23602.8815146577,47221.7654003102,749.747524066646,9.34972122941124e-164,1
-0.306645847550462,NA,0.0170034067668585,-0.000153618427081646,NA,NA,0.0135970113280821,NA,7,-23627.9600294666,47269.9219030099,797.904026766351,3.26397607759837e-174,1
