"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmp","I(tmp^2)","df","logLik","AICc","delta","weight","cw"
-7.85159006370603,0.196968670243006,-0.00234440357655014,0.00438042536684183,-4.85418572451332e-06,-0.0551916635283773,NA,9,-534.937511604622,1087.97333014534,0,0.561000658135563,0.561000658135563
3.6202436186193,0.196836080047908,-0.00234270268752371,0.00446806007236372,-5.01781397128179e-06,-0.948678434191665,0.0173796888908642,10,-534.853413035146,1089.82704464953,1.85371450418279,0.222041616624908,0.783042274760471
-9.22919934159716,0.196804854913842,-0.00235475904263225,0.0042738565954561,-4.88990119794804e-06,NA,NA,8,-537.59840728527,1091.27541719063,3.30208704528218,0.107627754512029,0.8906700292725
-7.47667415500012,0.196395862517318,-0.00234040485521388,0.00173289858326677,NA,-0.0557440739817052,NA,8,-538.020452656823,1092.11950793373,4.14617778838897,0.0705719801840115,0.961242009456512
-10.0435470857105,0.196429853902703,-0.00234081523932652,0.00173326157752748,NA,0.143960663578343,-0.00388446608358133,9,-538.016090401528,1094.13048773916,6.15715759381237,0.0258198424040959,0.987061851860607
-8.8654091088797,0.196226008600633,-0.00235082531634934,0.00160564740665864,NA,NA,NA,7,-540.725655974566,1095.51241396768,7.53908382233521,0.0129381481393927,1
-9.45512679730454,0.19436869203102,-0.002330446403461,NA,NA,0.0401026958073595,NA,7,-601.236398254479,1216.53389852751,128.560568382163,6.7981485661968e-29,1
-8.43122894123808,0.194383124517598,-0.00232128622163131,NA,NA,NA,NA,6,-602.704051565905,1217.45390465853,129.480574513182,4.29154685376829e-29,1
-1.94750857098685,0.194270782743278,-0.00232926520968188,NA,NA,-0.543988060461145,0.0113605797330305,8,-601.202386358151,1218.48337533639,130.510045191044,2.56488053116026e-29,1
-6.73850344852757,0.0770489528165406,NA,0.00415392217145924,-4.33408198372508e-06,-0.0493070769039954,NA,8,-656.190922437635,1328.46044749536,240.487117350013,3.3717033216487e-53,1
1.65854517100683,0.0770180887884397,NA,0.00422185592016033,-4.45982679215606e-06,-0.703072657901046,0.0127101350896141,9,-656.145066757873,1330.38844045185,242.415110306501,1.28585205331748e-53,1
-7.96534261493946,0.0764998936530859,NA,0.00405151812071239,-4.35625530827717e-06,NA,NA,7,-658.195945913249,1330.45299384505,242.479663699703,1.24501163906551e-53,1
-6.40916620143927,0.0767576131346593,NA,0.00179095723375753,NA,-0.049705619616549,NA,7,-658.782431066573,1331.62596415169,243.65263400635,6.92573939483255e-54,1
-11.5052801359179,0.0767816047522698,NA,0.00179133640117908,NA,0.346616085681584,-0.00770492181177336,8,-658.764842302063,1333.60828722421,245.634957078868,2.570455914807e-54,1
-7.64426909829261,0.0762022891135974,NA,0.00167555307915159,NA,NA,NA,6,-660.813318924593,1333.6724393759,245.699109230558,2.48931408855855e-54,1
-8.82902018766023,0.0747288869271096,NA,NA,NA,0.0642077359971487,NA,6,-729.4727040238,1470.99120957432,383.017879428973,3.78170473741276e-84,1
-7.27673681590439,0.0747215310461814,NA,NA,NA,-0.0565074428494127,0.00234669498420087,7,-729.471228884607,1473.00355978776,385.030229642417,1.38264701673337e-84,1
-7.19360318793034,0.0753766441516247,NA,NA,NA,NA,NA,5,-733.05716280637,1476.14702316042,388.173693015079,2.8715535692489e-85,1
-6.04210679686736,NA,NA,0.00393873095189479,-4.05373977544118e-06,NA,NA,6,-792.992638582255,1598.03107869123,510.057748545884,9.80235773631053e-112,1
-5.38550915732736,NA,NA,0.00399790652510891,-4.04918791468014e-06,-0.0261322268628914,NA,7,-792.422614051161,1598.90633012087,510.932999975526,6.32808224423317e-112,1
-5.74943122786529,NA,NA,0.0017280979698583,NA,NA,NA,5,-795.385682374264,1600.80406229621,512.830732150866,2.45010563410173e-112,1
-3.51867284574881,NA,NA,0.00401324659298034,-4.07750692661721e-06,-0.171472040971679,0.00282520794633622,8,-792.420243151281,1600.91908892265,512.945758777305,2.31316756700202e-112,1
-5.09090785802845,NA,NA,0.00178996586869478,NA,-0.0262216357658949,NA,6,-794.813769066492,1601.6733396597,513.700009514356,1.58643991372123e-112,1
-15.8711326292102,NA,NA,0.00179055588289923,NA,0.812136175358684,-0.0162964825706655,7,-794.731286818002,1603.52367565455,515.550345509209,6.28967596451343e-113,1
-7.82628114477664,NA,NA,NA,NA,0.0981774215273253,NA,5,-868.96460246104,1747.96190246976,659.988572324419,2.71810250557044e-144,1
-14.2814938270966,NA,NA,NA,NA,0.600174047071391,-0.00975768790721852,6,-868.937805474291,1749.9214124753,661.948082329955,1.02038399879093e-144,1
-5.30033563915423,NA,NA,NA,NA,NA,NA,4,-877.645344233929,1763.31247496023,675.339144814888,1.26162814118649e-147,1
