"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
6.14213917512321,-0.0184682430953258,0.101641427308106,-0.0014960230663172,-0.581965595094098,0.237185577101144,-0.0249069195508053,NA,10,-2705.88329640445,5431.81130825606,0,0.71380912180595,0.71380912180595,TRUE
6.18650716405722,-0.0184992205762265,0.101687406266144,-0.0014961114795117,-0.558595712735633,0.230214257893918,-0.0344717888799882,0.000411414112254832,11,-2705.80004546765,5433.6537603803,1.84245212424503,0.284117966827645,0.997927088633595,TRUE
5.61302479398185,-0.0185867305020785,0.100149785516336,-0.00146064716325275,0.273230369266991,NA,-0.0574236456616548,0.00143074112315823,10,-2712.61209036454,5445.26889617623,13.457587920173,0.000853697494455647,0.998780786128051,TRUE
5.38094592213622,-0.0184803887059146,0.0998053127256172,-0.00145635666185185,0.280072297989025,NA,-0.0240757769362507,NA,9,-2713.69672204944,5445.43002203019,13.6187137741372,0.000787618615414706,0.999568404743465,FALSE
5.98883228620801,-0.0172164723477761,0.0525071984412084,NA,-0.555897784635424,0.230562745532663,-0.0250006268240963,NA,9,-2714.63728109801,5447.31114012733,15.499831871276,0.000307493802796676,0.999875898546262,TRUE
6.03460109469888,-0.0172486467554608,0.0525529235998487,NA,-0.531879307602252,0.223397145922909,-0.0348407437010429,0.000423270360201007,10,-2714.54927941437,5449.1432742759,17.3319660198467,0.000123025033524235,0.999998923579786,TRUE
5.48155031521228,-0.0173633979189192,0.0521887614568176,NA,0.275267494988809,NA,-0.0571082401325113,0.00141243441859494,9,-2720.95961624734,5459.955810426,28.1445021699483,5.52180542850588e-07,0.999999475760329,TRUE
5.2525623144501,-0.0172610183246578,0.0519836497061136,NA,0.282019197343814,NA,-0.0241878349608963,NA,8,-2722.01520310894,5460.05966261772,28.2483543616618,5.24239671089177e-07,1,FALSE
3.2461887892766,-0.00752103649274463,NA,NA,-0.519004490511473,0.220673303359826,-0.0255747168891036,NA,8,-2757.00818703011,5530.04563046006,98.2343222039999,3.32866477488345e-22,1,TRUE
3.27457965105851,-0.00753694787626718,NA,NA,-0.5034033477173,0.216019033677683,-0.0319716205392597,0.000275178700308034,9,-2756.97122513207,5531.97902819546,100.167719939404,1.26601274065172e-22,1,TRUE
6.05993408731956,-0.0193717027667348,0.102208862934481,-0.00148981489632152,-0.436306267186777,0.183460449393216,NA,NA,9,-2758.80166123754,5535.63990040641,103.828592150349,2.02997073135668e-23,1,TRUE
2.56776489326051,-0.00765686021685229,NA,NA,0.282934954255323,NA,-0.0247852386590467,NA,7,-2763.72335559762,5541.46946155072,109.658153294662,1.1005674338302e-24,1,FALSE
2.75875086067383,-0.00771507238071299,NA,NA,0.277060481224488,NA,-0.0534781889768005,0.00123108598603174,8,-2762.92665453685,5541.88256547353,110.071257217474,8.95183936957139e-25,1,TRUE
5.46680593379424,-0.0193514241164745,0.100750375131071,-0.00145937107098159,0.231777536111871,NA,NA,NA,8,-2763.37044005422,5542.77013650829,110.958828252231,5.74352716304486e-25,1,FALSE
5.90307042427122,-0.0181194296912567,0.0532100322721366,NA,-0.407694571246075,0.176115876693378,NA,NA,8,-2767.8866393254,5551.80253505063,119.991226794577,6.27795584284841e-27,1,TRUE
5.33652859872723,-0.0181250224093743,0.0527697428425198,NA,0.233606588858261,NA,NA,NA,7,-2772.09419411959,5558.21113859466,126.3998303386,2.54804843293087e-28,1,FALSE
