"(Intercept)","CO2","dbh","I(dbh^2)","pet","I(pet^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
5.08190962022033,-0.0198471504183443,0.157408157599553,-0.0119100191077672,1.3047718880336,-0.442922998934634,NA,NA,9,-4157.64615733393,8333.35125376413,17.592875208602,8.22047651522237e-05,0.999960459380264,FALSE
6.36089338341526,-0.019713811569072,0.158263544376973,-0.0117606225705292,NA,NA,-0.0378214466863263,NA,8,-4159.54178261429,8335.13070107146,19.372322515932,3.37671898633429e-05,0.999994226570127,FALSE
6.47198325366258,-0.0197217161448684,0.158176978475129,-0.0118490105834531,-0.31212335077031,NA,NA,NA,8,-4161.31050613776,8338.6681481184,22.9097695628752,5.75901292863818e-06,0.999999985583056,FALSE
6.17999621431716,-0.0205573625694176,-0.03606481991207,NA,1.32770810894779,-0.435107115806397,-0.0320216856062761,NA,9,-4166.99609734307,8352.05113378241,36.2927552268829,7.14940073885072e-09,0.999999992732457,FALSE
5.93050058015807,-0.020420998948457,-0.0360977777439436,NA,1.11893655161422,-0.37188692218354,0.0355246209224351,-0.00294929258215921,10,-4166.56532600174,8353.20271227208,37.444333716554,4.01982872342378e-09,0.999999996752286,FALSE
6.70049738317609,-0.0202000125450153,-0.0349400558444218,NA,-0.218546026088655,NA,0.0945346784241139,-0.00553313239551919,9,-4168.77825880429,8355.61545670485,39.8570781493272,1.20305851802663e-09,0.999999997955344,FALSE
7.22518481324428,-0.0244151191712223,NA,NA,1.26707520039483,-0.418149703860473,-0.0322165894943846,NA,8,-4170.29363550562,8356.63440685413,40.8760282986023,7.22810643199717e-10,0.999999998678155,FALSE
7.53895511767572,-0.0204169948656325,-0.0344311849544406,NA,-0.259598003904184,NA,-0.032260361528419,NA,8,-4170.55369890238,8357.15453364763,41.3961550921103,5.5728896124369e-10,0.999999999235444,FALSE
6.97973490403978,-0.0242835775236665,NA,NA,1.0609992738619,-0.355748559593196,0.0344511940397146,-0.00291120476805685,9,-4169.87359412511,8357.80612734649,42.0477487909648,4.02335789568566e-10,0.999999999637779,FALSE
7.68625370522949,-0.0239559115014405,NA,NA,-0.218353845050979,NA,0.0909482218107929,-0.00538514183484442,8,-4171.9018213842,8359.85077861128,44.0924000557552,1.44743238673819e-10,0.999999999782523,FALSE
6.26173715991008,-0.0207119569930941,0.15614838705627,-0.0116819272581909,NA,NA,NA,NA,7,-4173.10038818259,8360.23742557985,44.4790470243224,1.19299593379027e-10,0.999999999901822,FALSE
8.48904285984687,-0.0241157456110134,NA,NA,-0.258262851822045,NA,-0.032443678599507,NA,7,-4173.58515505827,8361.2069593312,45.448580775681,7.34695507614338e-11,0.999999999975292,FALSE
6.11571096713408,-0.0205904105886549,-0.0347723661642073,NA,NA,NA,0.159370682027596,-0.00852815601346411,8,-4173.87429510562,8363.79572605412,48.037347498599,2.01355655853133e-11,0.999999999995427,FALSE
7.0983193618462,-0.0243297115086154,NA,NA,NA,NA,0.155661403093789,-0.00837495652980577,7,-4176.99610997789,8368.02886917045,52.2704906149247,2.42520516614495e-12,0.999999999997853,FALSE
6.10741141408925,-0.0212650444313615,-0.0368532116003607,NA,1.30653058219189,-0.442504824556009,NA,NA,8,-4176.58930336259,8369.22574256805,53.4673640125311,1.33306316624379e-12,0.999999999999186,FALSE
7.36545106885014,-0.0210866910881544,-0.0338377430723242,NA,NA,NA,-0.037307788114451,NA,7,-4178.53981710211,8371.11628341888,55.3579048633601,5.1799432166928e-13,0.999999999999704,FALSE
7.1748371932333,-0.0252118099329621,NA,NA,1.24462978123728,-0.425268745761107,NA,NA,7,-4180.01968060014,8374.07601041494,58.3176318594142,1.17931126713562e-13,0.999999999999822,FALSE
7.48840775861295,-0.0211248934948132,-0.03520700311429,NA,-0.308212660669263,NA,NA,NA,7,-4180.24569077982,8374.52803077431,58.7696522187853,9.40748368721057e-14,0.999999999999916,FALSE
8.30118147014218,-0.0247217974882273,NA,NA,NA,NA,-0.0374637254749636,NA,6,-4181.4987849489,8375.02504781733,59.2666692618113,7.33749121552899e-14,0.999999999999989,FALSE
8.45957845616217,-0.0249113226446371,NA,NA,-0.307103098054085,NA,NA,NA,6,-4183.4030173046,8378.83351252874,63.0751339732124,1.09282341066741e-14,1,FALSE
-0.749112178557456,NA,0.102436060295632,-0.0143567248944243,0.915308257991701,-0.327106263558728,0.0730514741543068,-0.00478848891237392,10,-4187.49058665622,8395.05323358103,79.2948550255023,3.28459868340342e-18,1,FALSE
-0.409399941330033,NA,0.101792261195128,-0.0143815623928443,1.25384012619237,-0.42974036982821,-0.0366291626817057,NA,9,-4188.62857715685,8395.31609340996,79.5577148544344,2.88006989691636e-18,1,FALSE
7.26495896449769,-0.0220746508308117,-0.0346372417907984,NA,NA,NA,NA,NA,6,-4191.75546944028,8395.53841680009,79.7800382445639,2.57706941727722e-18,1,FALSE
-0.0112984845415701,NA,0.103295496534311,-0.0142847794175945,-0.261118823850509,NA,0.124863443126835,-0.0070578124429768,9,-4189.20110949842,8396.46115809311,80.7027795375816,1.62463345152066e-18,1,FALSE
8.22244169623312,-0.0258002488863488,NA,NA,NA,NA,NA,NA,5,-4194.84470616508,8399.70903299727,83.9506544417472,3.20249394140361e-19,1,FALSE
0.977883455869541,NA,0.102636912415596,-0.0142875793822153,-0.314117830789589,NA,-0.0368997389653027,NA,8,-4192.09498221954,8400.23710028196,84.4787217264366,2.4593478682885e-19,1,FALSE
-0.850667748548283,NA,0.100284484513674,-0.0142362113521606,NA,NA,0.203713644210121,-0.0107039726935942,8,-4196.53206279036,8409.11126142361,93.3528828680846,2.90951335655126e-21,1,FALSE
-0.731446106098182,NA,0.098093280034688,-0.0144683796928429,1.23008734050714,-0.438871405967876,NA,NA,8,-4201.23648369116,8418.5201032252,102.761724669681,2.63460988806582e-23,1,FALSE
0.536601141687812,NA,0.0981069971376494,-0.0142209269337111,NA,NA,-0.0432468968061628,NA,7,-4203.91346130066,8421.86357181598,106.105193260459,4.9509818902099e-24,1,FALSE
0.683209973777663,NA,0.098900867392726,-0.0143708152910721,-0.371656756566666,NA,NA,NA,7,-4204.82876566592,8423.69418054649,107.935801990969,1.98234711308919e-24,1,FALSE
