"(Intercept)","CO2","I(CO2^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-125.875287872836,NA,NA,10.9319532762074,-0.224897320162515,-1.35103001794752,0.0767369435636263,8,-6826.109978169,13668.2443838189,0,0.44527866050751,0.44527866050751,TRUE
-132.908771485142,0.0462321047624469,-6.52030587964088e-05,10.8373125417838,-0.22299892412645,-1.34416254400832,0.0765113804729666,10,-6824.81168927661,13669.6607109815,1.41632716260028,0.219321065400893,0.664599725908404,TRUE
-126.258422804648,0.000113126072544374,NA,10.9590602269985,-0.22544967381791,-1.34860649357051,0.0766072188164733,9,-6826.10065494397,13670.2318494197,1.98746560074505,0.164838711405794,0.829438437314197,TRUE
-126.116660503958,NA,1.05618201280709e-07,10.9499846101479,-0.225264752733479,-1.34943928005813,0.0766515552466935,9,-6826.10590966383,13670.2423588594,1.99797504046728,0.163974801944053,0.993413239258251,TRUE
20.0967829516048,NA,NA,-0.492661604449864,NA,-1.54051225269704,0.0864710829094215,7,-6832.15688976365,13678.3327754567,10.0883916378152,0.00287055235850432,0.996283791616755,TRUE
11.5004965133852,0.0481099771525371,-6.81114804641942e-05,-0.489174883014536,NA,-1.53478480988112,0.0863201871860894,9,-6830.73721149618,13679.5049625241,11.2605787051725,0.00159745372063938,0.997881245337394,TRUE
20.1009341436122,NA,-1.51271272714797e-07,-0.491746760341646,NA,-1.54238787179678,0.08657274062823,8,-6832.14844068733,13680.3213088556,12.0769250366502,0.00106208905076124,0.998943334388155,TRUE
20.1113991890638,-6.71908685524902e-05,NA,-0.492091163640478,NA,-1.54169985252365,0.0865352269343162,8,-6832.15356016032,13680.3315478016,12.0871639826364,0.00105666560897671,0.999999999997132,TRUE
-218.063512793695,NA,NA,17.5912434576916,-0.355616199091295,0.162711639141658,NA,7,-6853.88806581603,13721.7951275615,53.5507437425913,1.04769682531074e-12,0.99999999999818,FALSE
-226.061135007857,0.0480543512383467,-6.69708572284973e-05,17.546507939305,-0.354798674871016,0.164502465712281,NA,9,-6852.20384840111,13722.438236334,54.1938525150326,7.59602407209999e-13,0.99999999999894,FALSE
-219.379308633603,0.000685479843787853,NA,17.6824643523512,-0.357529717736761,0.161889404086931,NA,8,-6853.54749062656,13723.119408734,54.8750249151199,5.40345607074924e-13,0.99999999999948,FALSE
-219.211850083502,NA,9.13101409529348e-07,17.679021627936,-0.357455876126976,0.161901366814735,NA,8,-6853.5855182566,13723.1954639941,54.9510801751967,5.20183335600635e-13,1,FALSE
11.1765204127899,NA,NA,-0.470212299538322,NA,0.166958842183281,NA,6,-6869.96617370775,13751.9465919466,83.7022081277064,2.97117564221889e-19,1,FALSE
2.02215819046012,0.0515263968865551,-7.21273846972011e-05,-0.471687203176578,NA,0.16920576297077,NA,8,-6868.19479099276,13752.4140094664,84.1696256475116,2.3519598368452e-19,1,FALSE
11.1182077576579,0.000511119066962439,NA,-0.474772501072854,NA,0.16634367743033,NA,7,-6869.77381859229,13753.566633114,85.3222492951099,1.32172424434853e-19,1,FALSE
11.2066497477605,NA,6.62699231595445e-07,-0.474423765520966,NA,0.166368230091675,NA,7,-6869.8043066013,13753.627609132,85.3832253131186,1.28203559191307e-19,1,FALSE
-6.10625778860609,0.0703051438141749,-0.000103429380249436,NA,NA,-1.25057402905852,0.0758071763474646,8,-6947.43289217593,13910.8902118328,242.645828013854,9.09410157997317e-54,1,TRUE
6.35659068439352,NA,-4.14832741604539e-06,NA,NA,-1.259606506667,0.0761085432789885,7,-6950.2504552367,13914.5199064028,246.275522583928,1.48109064740407e-54,1,TRUE
6.85041462439994,-0.00287975253603067,NA,NA,NA,-1.25865600614369,0.0760542451439249,7,-6950.48853708683,13914.9960701031,246.751686284188,1.16730408613663e-54,1,TRUE
5.51197244573443,NA,NA,NA,NA,-1.19288308205728,0.0727418261434559,6,-6956.454563213,13924.9233709571,256.678987138203,8.15639059558761e-57,1,TRUE
-253.470727513865,NA,2.75460385578007e-06,20.7216355462321,-0.422019751503282,NA,NA,7,-6969.06826483467,13952.1555255988,283.91114177987,9.95659334323573e-63,1,FALSE
-253.775753710114,0.00193274058148092,NA,20.7189699778309,-0.421965669515336,NA,NA,7,-6969.11805749081,13952.2551109111,284.010727092143,9.47296851414935e-63,1,FALSE
-250.166814823759,-0.0195263610812557,3.03287813771896e-05,20.7321960981546,-0.422216859829549,NA,NA,8,-6968.82960822155,13953.683643924,285.4392601051,4.63750180273277e-63,1,FALSE
-251.098121762487,NA,NA,20.5471098028611,-0.418294535168752,NA,NA,6,-6971.91056243425,13955.8353693996,287.590985580693,1.58140402974741e-63,1,FALSE
-13.9788574544523,0.0730104218078901,-0.000106422741854771,NA,NA,0.243438699642742,NA,7,-6975.57239233533,13965.1637806001,296.919396781181,1.49074748896758e-65,1,FALSE
-1.06703875121063,NA,-3.31770561078989e-06,NA,NA,0.240227720934994,NA,6,-6978.5787815488,13969.1718076287,300.927423809804,2.00942626955442e-66,1,FALSE
-0.672478759763215,-0.00229028082089504,NA,NA,NA,0.24013528510671,NA,6,-6978.77295967695,13969.560163885,301.315780066088,1.65478503992429e-66,1,FALSE
-1.4838734712991,NA,NA,NA,NA,0.240563832734237,NA,5,-6982.54544340698,13975.1010597539,306.856675935018,1.03645711133275e-67,1,FALSE
18.8107502551685,NA,2.55085889982574e-06,-0.718733862159981,NA,NA,NA,6,-6990.68076182998,13993.3757681911,325.131384372162,1.11493312672779e-71,1,FALSE
