"(Intercept)","dbh","I(dbh^2)","tmp","I(tmp^2)","wet","I(wet^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-118.728085416998,0.243283586414017,-0.00281112477982326,8.89759179477615,-0.177669385418379,-0.47612301386267,0.0332553384745356,10,-4043.80324157475,8107.6583821823,0,0.962876007049976,0.962876007049976,TRUE
-4.46283813985646,0.242941543404924,-0.00281197404862802,-0.105411602954264,NA,-0.54205548642737,0.03790701473108,9,-4048.30703628123,8114.65652539264,6.99814321034501,0.0291033428275313,0.991979349877508,TRUE
-141.765891462707,0.24413095428624,-0.00281637721413631,10.5613774400706,-0.210383093423384,0.0267876717311102,NA,9,-4049.71679035369,8117.47603353757,9.8176513552753,0.00710713329352093,0.999086483171029,FALSE
-155.120879744336,0.244229513785694,-0.00281245390445739,11.6697408322553,-0.23301388856906,NA,NA,8,-4053.16706461623,8122.36808348853,14.7097013062294,0.000615742756000996,0.99970222592703,FALSE
-7.34300984203257,0.242352546086449,-0.00281497791336853,NA,NA,-0.498140443153616,0.0360608380170196,8,-4054.00405373906,8124.04206173418,16.3836795518864,0.000266624192873542,0.999968850119903,TRUE
-6.79779440138234,0.243852713628246,-0.00281829622055201,-0.0984079498047595,NA,0.0321460568387279,NA,8,-4056.18661598597,8128.40718622802,20.7488040457201,3.0062480603888e-05,0.999998912600507,FALSE
-9.38883944226459,0.243255120632923,-0.00282078700015242,NA,NA,0.0470963386443104,NA,7,-4061.15278136576,8136.33196537179,28.6735831894894,5.71716711893066e-07,0.999999484317219,FALSE
-5.3706696883054,0.243934037156036,-0.00281369030689913,-0.145392447546505,NA,NA,NA,7,-4061.25593577623,8136.53827419273,28.8798920104364,5.15681434226549e-07,0.999999999998653,FALSE
-9.03097029280053,0.242869950025893,-0.00281430805011177,NA,NA,NA,NA,6,-4075.11474158818,8162.24928048959,54.5908983072895,1.34681336240666e-12,1,FALSE
-100.49168337217,0.0906180164995593,NA,7.54717418338285,-0.150646526064842,-0.465682764091149,0.0326964705999486,9,-4310.16039284881,8638.36323852781,530.70485634551,5.52681655788953e-116,1,TRUE
-3.56085462971539,0.0902330106965751,NA,-0.0865585086650677,NA,-0.532970509777886,0.0373816097306508,8,-4313.30858509693,8642.65112444994,534.992742267645,6.47697845655511e-117,1,TRUE
-128.004218213848,0.091140309268329,NA,9.56838836319505,-0.190442429788705,0.0289454800903554,NA,8,-4315.95286541013,8647.93968507633,540.281302894029,4.6023124967103e-118,1,FALSE
-5.90364236967924,0.0896514506974645,NA,NA,NA,-0.502498644730142,0.0362042322570341,7,-4317.17985652097,8648.3861156822,540.727733499903,3.6815858281327e-118,1,TRUE
-143.102191615931,0.0914265514840926,NA,10.8190747772307,-0.215951199354446,NA,NA,7,-4320.21705418172,8654.46051100371,546.802128821413,1.76602458460723e-119,1,FALSE
-5.82536737095387,0.0907243684848785,NA,-0.0810849797786617,NA,0.0336564920778725,NA,7,-4321.16721004456,8656.36082272938,548.702440547078,6.8288771018874e-120,1,FALSE
-7.95737540924632,0.0901610688173151,NA,NA,NA,0.0455087297476274,NA,6,-4324.55957762656,8661.13895256634,553.480570384045,6.26313230277881e-121,1,FALSE
-4.31881084553843,0.0909976059738679,NA,-0.130790392360299,NA,NA,NA,6,-4327.04675119858,8666.11329971039,558.45491752809,5.20745862472439e-122,1,FALSE
-7.61317031942345,0.0900377709709663,NA,NA,NA,NA,NA,5,-4338.23352181867,8686.48118124338,578.822799061081,1.96696462356912e-126,1,FALSE
-2.51961666227696,NA,NA,-0.0443108092008739,NA,-0.554719980022345,0.0392340855144815,7,-4630.24900959644,9274.52442183314,1166.86603965085,3.99787577029401e-254,1,TRUE
-3.71844345595449,NA,NA,NA,NA,-0.54120818516218,0.0387607020998548,6,-4631.28037253781,9274.58054238884,1166.92216020655,3.88725356860328e-254,1,TRUE
-53.3362023892891,NA,NA,3.95769193253021,-0.0789830398044081,-0.516569657421607,0.0365902033612749,8,-4629.38503424626,9274.80402274858,1167.14564056629,3.47627982060637e-254,1,TRUE
-86.8626810331109,NA,NA,6.43800989607928,-0.127850226998391,0.0369883078848132,NA,7,-4636.80816612665,9287.64273489356,1179.98435271126,5.66531167947635e-257,1,FALSE
-5.90669098375394,NA,NA,NA,NA,0.0457746792370371,NA,5,-4639.98888349309,9289.99190459221,1182.33352240991,1.75028225251988e-257,1,FALSE
-4.86148981079143,NA,NA,-0.0395132338704587,NA,0.0401196651028652,NA,6,-4639.17042997011,9290.36065725344,1182.70227507114,1.45557459230374e-257,1,FALSE
-106.53285021149,NA,NA,8.06692972419884,-0.161058391695334,NA,NA,6,-4644.09211640218,9300.20403011758,1192.54564793529,1.06065271277248e-259,1,FALSE
-3.05493223228723,NA,NA,-0.0989198678260014,NA,NA,NA,5,-4647.91109295915,9305.83632352434,1198.17794134204,6.34652848408972e-261,1,FALSE
-5.56619718564101,NA,NA,NA,NA,NA,NA,4,-4654.38036929961,9316.77016144964,1209.11177926734,2.68091778056e-263,1,FALSE
