"(Intercept)","CO2","I(CO2^2)","pet","I(pet^2)","pre","I(pre^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
37.3641455729488,-0.179710910200423,0.000244985788234604,-4.15329637071179,0.822605005163051,0.00957801738915892,-4.05291965278832e-05,10,-3278.59978114345,6577.23287543045,0,0.999998551778162,0.999998551778162,TRUE
8.45372116966937,-0.0108973569384652,NA,-4.16056214796909,0.825546072028087,0.00953391728724786,-4.01787712553605e-05,9,-3293.19447060124,6604.41619328424,27.1833178537945,1.250883601566e-06,0.999999802661764,TRUE
6.55359582601389,NA,-1.5488221714049e-05,-4.1633810519669,0.826214571242284,0.00953186499622482,-4.01682312022351e-05,9,-3295.04115688375,6608.10956584926,30.8766904188105,1.97338233793045e-07,0.999999999999997,TRUE
37.0807987662305,-0.177486875152446,0.000241548002945495,-3.89725606145838,0.772469421522502,0.00133061414212478,NA,9,-3313.2465682652,6644.52038861216,67.2875131817073,2.44738071276453e-15,1,TRUE
8.57965560012173,-0.0110551963857682,NA,-3.90652444683252,0.775781948216493,0.00135711858064046,NA,8,-3327.37567217307,6670.77314271126,93.5402672808095,4.87515483147149e-21,1,TRUE
6.65319480267669,NA,-1.57242979351697e-05,-3.90934870545647,0.776451886921122,0.00135721539513832,NA,8,-3329.21722722043,6674.45625280599,97.2233773755406,7.73056467607094e-22,1,TRUE
4.94102731993581,NA,NA,-4.27743888396538,0.849509616674413,0.00957084967774646,-4.0705466251964e-05,8,-3334.34229704572,6684.70639245656,107.473517026109,4.59644082622546e-24,1,TRUE
33.3232970214202,-0.183548989604672,0.000249959224684483,-0.168701883707488,NA,0.00884613925399391,-3.61990047949943e-05,9,-3339.56256658081,6697.15238524337,119.919509812922,9.11609156860009e-27,1,FALSE
38.8292177269853,-0.185595791893804,0.000253823991571748,-4.13133260702212,0.820142270656861,NA,NA,8,-3344.83610812008,6705.69401460529,128.461139174838,1.27355419208548e-28,1,TRUE
3.8257252091129,-0.0113594073449274,NA,-0.161593848105896,NA,0.00879638695523023,-3.58145501906891e-05,8,-3354.80329417862,6725.62838672237,148.395511291918,5.97480209218064e-33,1,FALSE
1.84293425287604,NA,-1.61616234802016e-05,-0.161164877006804,NA,0.00879343383339797,-3.57987235999106e-05,8,-3356.76921163552,6729.56022163616,152.327346205716,8.36635755121103e-34,1,FALSE
8.88122681999189,-0.0106825345486227,NA,-4.1466347845349,0.824769511603755,NA,NA,7,-3360.38421957675,6734.78539087137,157.552515440919,6.1362823977624e-35,1,TRUE
7.01670665252545,NA,-1.51649628233514e-05,-4.14961757968217,0.825469947269352,NA,NA,7,-3362.23882588448,6738.49460348684,161.261728056394,9.60417472722806e-36,1,TRUE
33.305171089453,-0.18143262522999,0.000246737902657994,-0.15683253762974,NA,0.0014717861969637,NA,8,-3366.81107744095,6749.64395324702,172.411077816568,3.64258348042637e-38,1,FALSE
30.3816900274118,-0.168728599171241,0.000228657875880774,NA,NA,0.00832350624575734,-3.35112337353166e-05,8,-3368.63455102377,6753.29090041267,176.058024982221,5.8814579828097e-39,1,FALSE
5.0166019313978,NA,NA,-4.02095984018772,0.799267323382297,0.00128458196358225,NA,7,-3369.80677288139,6753.63049748066,176.397622050215,4.96297894120128e-39,1,TRUE
4.18731649452614,-0.0114710595863563,NA,-0.149941279197022,NA,0.00149963863536097,NA,7,-3381.59490604411,6777.20676380609,199.973888375644,3.76895756660688e-44,1,FALSE
3.42161476341761,-0.0112420787654241,NA,NA,NA,0.00830045563331746,-3.32724955048512e-05,7,-3381.64353131958,6777.30401435703,200.071138926578,3.59007531082606e-44,1,FALSE
1.46333201752329,NA,-1.60225623240951e-05,NA,NA,0.00829906298073526,-3.32640409426525e-05,7,-3383.47383394583,6780.96461960954,203.731744179095,5.75722534069082e-45,1,FALSE
2.18593938410325,NA,-1.6329762344378e-05,-0.149512799030523,NA,0.00149991000479506,NA,7,-3383.54790418504,6781.11276008796,203.879884657508,5.34619668316287e-45,1,FALSE
30.5690843391187,-0.167798981098778,0.000227157717227396,NA,NA,0.00149516832739036,NA,7,-3391.85947136596,6797.73589444979,220.503019019343,1.31333999349749e-48,1,FALSE
5.4178583816162,NA,NA,-4.24600836057515,0.845187256335648,NA,NA,6,-3399.71864696354,6811.45000579148,234.217130361034,1.3816426452704e-51,1,TRUE
0.0216927289218301,NA,NA,-0.162739433622862,NA,0.00881008560899389,-3.62228432242728e-05,7,-3400.18375832951,6814.38446837689,237.151592946437,3.1855562299061e-52,1,FALSE
3.7856421625178,-0.0113517991107525,NA,NA,NA,0.00152026804920391,NA,6,-3404.63349148641,6821.27969483723,244.046819406783,1.01369166099707e-53,1,FALSE
34.972359194959,-0.190610965258013,0.000260580143923434,-0.160427549790668,NA,NA,NA,7,-3404.92661088066,6823.8701734792,246.63729804875,2.77581542000263e-54,1,FALSE
1.80885150093412,NA,-1.6184983290114e-05,NA,NA,0.00152058607280343,NA,6,-3406.46115524624,6824.9350223569,247.702146926447,1.62990235844822e-54,1,FALSE
4.21619912285709,-0.0110917217239155,NA,-0.153150552044889,NA,NA,NA,6,-3421.368989744,6854.7506913524,277.517815921954,5.46728015552386e-61,1,FALSE
2.27751661414502,NA,-1.57586447689964e-05,-0.152734722260677,NA,NA,NA,6,-3423.34709035903,6858.70689258247,281.474017152021,7.56298339563108e-62,1,FALSE
-0.346268241306697,NA,NA,NA,NA,0.00831374931382661,-3.36819359271888e-05,6,-3427.61096179157,6867.23463544754,290.001760017094,1.06394042930305e-63,1,FALSE
