"(Intercept)","CO2","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw"
0.0844250933075854,-0.00698014447545529,0.186231895731511,-0.00229738517824843,0.00511123535639305,-5.92073423951615e-06,0.0306761152810593,NA,10,-672.986879398714,1366.07263520192,0,0.654567400436277,0.654567400436277
0.69057683072275,-0.00698165560680693,0.186248078051734,-0.00229748586682542,0.00510421236845588,-5.91114119868206e-06,-0.0230207773819728,0.00119090673753867,11,-672.979656538044,1368.07801811206,2.00538291013595,0.240154653409832,0.894722053846109
0.58923996270843,-0.00658832634843817,0.186022771152587,-0.00229631613499494,0.00540544226472656,-6.29937300548359e-06,NA,NA,9,-675.934400192603,1369.9496629189,3.87702771697536,0.0942038170630311,0.988925870909141
0.478343904511049,-0.00709859085950957,0.185830878034806,-0.00229389305148096,0.00187285151828976,NA,0.0343145445707062,NA,9,-678.443704191967,1374.96827091763,8.8956357157042,0.00766110862380026,0.996586979532941
1.8079312756856,-0.00710148078184842,0.185867762245627,-0.00229412743531576,0.00186894137917175,NA,-0.0836071854270755,0.00261504789550796,10,-678.408978119286,1376.91683264307,10.8441974411435,0.00289179043944853,0.999478769972389
1.07623769921241,-0.0066672060389099,0.185574545576289,-0.00229247971924993,0.00197082996243358,NA,NA,NA,8,-682.139604647796,1380.34387027449,14.2712350725637,0.000521188772189535,0.999999958744579
-1.55424727710629,NA,0.159658651463434,-0.00223919340363658,0.00532126197074737,-6.29640380148058e-06,0.0197072087654323,NA,9,-691.354528993394,1400.78992052048,34.7172853185568,1.89317888474676e-08,0.999999977676368
-1.1629279595135,NA,0.160441775101013,-0.002239643730526,0.00551112870271639,-6.53914190838534e-06,NA,NA,8,-692.583966932571,1401.23259484404,35.1599596421152,1.51728143511601e-08,0.999999992849182
-0.985593489647274,NA,0.15966736273527,-0.00223925597779325,0.00531479035129854,-6.28758397419437e-06,-0.0306983582412802,0.00111783110426386,10,-691.348197657499,1402.79527171949,36.7226365175702,6.94600628575297e-09,0.999999999795188
-1.16757624238579,NA,0.15882653154137,-0.00223536032453556,0.00187755223992012,NA,0.0234732437515758,NA,8,-697.507258746627,1411.07917847215,45.0065432702272,1.10384393642969e-10,0.999999999905573
-0.680013777679688,NA,0.15972383847634,-0.00223567790276704,0.00194587220963381,NA,NA,NA,7,-699.252975897731,1412.55622109528,46.4835858933588,5.27438643712997e-11,0.999999999958317
0.155447406083914,NA,0.158849462150884,-0.00223551918164202,0.00187370452472437,NA,-0.093923872667316,0.0026032220616076,9,-697.473022598635,1413.02690773096,46.9542725290396,4.16834485403534e-11,1
0.752556930247989,-0.00529434685728937,0.0731647233823225,NA,0.00498172635483184,-5.64325389093042e-06,0.0290390728605095,NA,9,-749.985027533665,1518.05091760102,151.978282399099,6.52063160613791e-34,1
2.04117846388425,-0.00529669831175375,0.0731844400577406,NA,0.00496851926233011,-5.62570249322318e-06,-0.0850969656170596,0.00253022923937604,10,-749.952029199787,1520.00293480407,153.930299602145,2.45705294472342e-34,1
1.22127509166185,-0.00490968121989849,0.0729824467300277,NA,0.0052925118243476,-6.05313551310804e-06,NA,NA,8,-752.606076775805,1521.27681453051,155.204179328583,1.29955614417734e-34,1
1.11873654303384,-0.00542471870876127,0.0729847886918619,NA,0.00189339032873772,NA,0.0330987682482252,NA,8,-755.018046642544,1526.10075426398,160.028119062059,1.16490321331605e-35,1
3.00429116887109,-0.00542750407609798,0.0730141577873078,NA,0.00188810449577609,NA,-0.134077616053834,0.00370567832526712,9,-754.947530133375,1527.97592280044,161.90328759852,4.5614421278334e-36,1
1.68961798500608,-0.0049944655724508,0.0727660149531184,NA,0.00199281997502048,NA,NA,NA,7,-758.438560662619,1530.92739062506,164.854755423136,1.04279532226662e-36,1
-0.564242806860013,NA,0.0567462919241212,NA,0.00515856190812488,-5.94252615499776e-06,0.0213960272553189,NA,8,-759.355214480618,1534.77508994013,168.702454738208,1.52293646004198e-37,1
-0.140239412853647,NA,0.0574928178503805,NA,0.00538398073740274,-6.23708250167407e-06,NA,NA,7,-760.799349653144,1535.64896860611,169.576333404186,9.8383312944566e-38,1
0.69589058881134,NA,0.0567583690214669,NA,0.00514571880013745,-5.92547692895256e-06,-0.0902714420523066,0.00247544480864966,9,-759.323712009847,1536.72828655339,170.655651351463,5.73522589788035e-38,1
