"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw"
-0.691023638870421,0.138060197884805,-0.00167562230275071,0.00423288500945489,-4.85428229588821e-06,NA,NA,8,-516.820351509401,1049.71930563889,0,0.48412268083141,0.48412268083141
-0.41089261966022,0.138600931538194,-0.00167644023068581,0.00434791692769284,-4.99252197433361e-06,-0.0140575685983802,NA,9,-516.290337828116,1050.67898259233,0.959676953443477,0.299615465459102,0.783738146290512
-0.0610012843194391,0.138602016330973,-0.00167640224829652,0.00434362988639192,-4.98669976957313e-06,-0.0450951519506137,0.000689014507834168,10,-516.288325772135,1052.69687012351,2.97756448461564,0.10924096224223,0.892979108532742
-0.329701610794402,0.137485082501757,-0.00167179175776874,0.00158364793329936,NA,NA,NA,7,-519.881526785827,1053.8241555902,4.10484995131378,0.0621725368023572,0.955151645335099
-0.0880871653310537,0.137921370363208,-0.00167239584798928,0.00161645474634789,NA,-0.0116932148506066,NA,8,-519.514402338968,1055.10740729802,5.3881016591331,0.03272985040167,0.987881495736769
0.907262666116029,0.13792669368283,-0.00167230200559681,0.00161330643507487,NA,-0.100090124133333,0.00196219136749974,9,-519.498104136384,1057.09451520887,7.3752095699781,0.0121185042632311,1
7.73710664533727,0.134980353170586,-0.0016431355217392,NA,NA,-0.702270783102994,0.0161560418189757,8,-576.72465658568,1169.52791579145,119.808610152559,4.66494247469299e-27,1
-0.460393940421577,0.134884792897673,-0.00164326462397519,NA,NA,0.0259893022214087,NA,7,-577.749320163276,1169.5597423451,119.840436706211,4.59129549028276e-27,1
0.0960727643231516,0.135790067947901,-0.00164359955213136,NA,NA,NA,NA,6,-579.519706764519,1171.08521505576,121.365909416867,2.14132730085732e-27,1
0.23863463668609,0.0516178721201568,NA,0.00403035681311503,-4.38734864878447e-06,NA,NA,7,-605.695970634405,1225.45304328736,175.73373764847,3.34856826513527e-39,1
0.499133315426767,0.0520653920227918,NA,0.00416175671925478,-4.55584205619662e-06,-0.013190117704389,NA,8,-605.238882680641,1226.55636798137,176.83706234248,1.92874691253757e-39,1
1.9398059080368,0.0520790128466728,NA,0.00414693509113146,-4.53653046112436e-06,-0.140947668867498,0.00283420502599472,9,-605.204308230517,1228.50692339713,178.787617758245,7.27306580548935e-40,1
0.562705010551332,0.0512940870748492,NA,0.00163681561790914,NA,NA,NA,6,-608.257348011182,1228.56049754908,178.841191910193,7.08082788000248e-40,1
0.775164007893605,0.0516324421930238,NA,0.00166748985956688,NA,-0.0102660891978346,NA,7,-607.979108033327,1230.0193180852,180.300012446314,3.41432755706004e-40,1
2.69448159970856,0.0516529218641921,NA,0.00166181398060765,NA,-0.180624602698305,0.00377892801628625,8,-607.917777409953,1231.91415743999,182.194851801105,1.32387214762901e-40,1
9.23192525008363,0.0498627790619927,NA,NA,NA,-0.761959936260752,0.0176382241878943,7,-669.991705839809,1354.04451369817,304.325208059277,3.99554611448187e-67,1
0.267986893574425,0.0497402509180706,NA,NA,NA,0.0337726201062013,NA,6,-671.216853860912,1354.47950924854,304.760203609652,3.21453429755806e-67,1
0.993280884302056,0.0508300260263628,NA,NA,NA,NA,NA,5,-674.170550762499,1358.37379907268,308.654493433793,4.58652508427403e-68,1
1.58157613333011,NA,NA,0.00372717435584017,-3.70033570759338e-06,NA,NA,6,-737.595626821431,1487.23705516958,437.517749530691,4.77730810772459e-96,1
1.84816277110138,NA,NA,0.00170888587359904,NA,NA,NA,5,-739.505387915849,1489.04347337938,439.324167740494,1.9360854506049e-96,1
1.49428581632785,NA,NA,0.00367739348223808,-3.63382685845335e-06,0.00428427259604702,NA,7,-737.547528063701,1489.15615814595,439.436852507062,1.83001788916488e-96,1
1.69102803857959,NA,NA,0.00168584355147434,NA,0.00731082202251594,NA,6,-739.363980868679,1490.77376326408,441.054457625187,8.15073637748541e-97,1
2.62713628076161,NA,NA,0.00366755489890709,-3.62160706309049e-06,-0.096118958804558,0.00222611070289064,8,-737.525298742268,1491.12920010462,441.409894465734,6.8236181790422e-97,1
3.1323018610584,NA,NA,0.00168184171252849,NA,-0.120515925240454,0.0028338673414853,7,-739.328072458681,1492.71724693591,442.997941297022,3.08442865835076e-97,1
8.99992764865028,NA,NA,NA,NA,-0.653616765147356,0.0157988022451351,6,-805.835883372591,1623.7175682719,573.998262633009,1.10361193306832e-125,1
0.956083893410483,NA,NA,NA,NA,0.0596662590432681,NA,5,-806.854358030609,1623.7414136089,574.022107970012,1.09053206225979e-125,1
2.28669618554758,NA,NA,NA,NA,NA,NA,4,-816.281925519147,1640.58563753067,590.86633189178,2.39862131149861e-129,1
