"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmn","I(tmn^2)","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-1.67405069199102,0.169868746744809,-0.00248147024509422,0.00520647613913081,-6.1608351951244e-06,0.0214074904476536,NA,9,-690.863243042775,1399.81036306598,0,0.486280304731105,0.486280304731105,FALSE
-1.25068173992776,0.170908550790758,-0.00248479526270223,0.00540838455866287,-6.41286409770712e-06,NA,NA,8,-692.266380212202,1400.5998307551,0.789467689118055,0.327684538194618,0.813964842925723,FALSE
-1.12266330420898,0.169888832567522,-0.00248168523716335,0.00520034743719703,-6.15258195299775e-06,-0.027477266364618,0.00108393903154274,10,-690.857444074288,1401.81745225114,2.00708918516079,0.178259548122547,0.99222439104827,TRUE
-1.29368081785745,0.168980022489403,-0.00247560804416674,0.00184224570435771,NA,0.0249419472848831,NA,8,-696.585920825218,1409.23891198113,9.42854891515049,0.00436016874140808,0.996584559789678,FALSE
-0.778628228751809,0.170147912376765,-0.00247907993568252,0.00191744826266672,NA,NA,NA,7,-698.491534929361,1411.03521138572,11.2248483197441,0.00177599540354582,0.998360555193224,FALSE
-0.0337500637163726,0.169028331274568,-0.00247611215966208,0.00183852716938934,NA,-0.0868745852359051,0.00247911703472461,9,-696.555670607053,1411.19521819453,11.3848551285555,0.0016394448067759,1,TRUE
-0.656392454092145,0.0587332563550722,NA,0.00499810829221898,-5.72270796838972e-06,0.0242809208237148,NA,8,-763.247601973097,1542.56227427689,142.751911210908,4.88318322648267e-32,1,FALSE
-0.175176395448743,0.0596049844683284,NA,0.00525042965110969,-6.04506853372014e-06,NA,NA,7,-765.047148274532,1544.14643807606,144.336075010086,2.21159817022858e-32,1,FALSE
0.408472115986311,0.0587508129357302,NA,0.00498761135089193,-5.70894668997793e-06,-0.0700906322337343,0.00209176223641379,9,-763.22567636417,1544.53522970877,144.724866642789,1.82087943746084e-32,1,TRUE
-0.317725226435937,0.0582157183141097,NA,0.00187161819167366,NA,0.0280795791797268,NA,7,-768.270911603224,1550.59396473345,150.783601667471,8.80326139088858e-34,1,FALSE
1.31879667625778,0.0582446138537266,NA,0.00186702894763518,NA,-0.117079500521616,0.0032171829134072,8,-768.219227791942,1552.50552591458,152.695162848599,3.38495859661438e-34,1,TRUE
0.266058350058117,0.0591974844638159,NA,0.00196039513518219,NA,NA,NA,6,-770.684861291093,1553.40881053007,153.598447464089,2.1548031358649e-34,1,FALSE
6.87938114309512,0.166012753128131,-0.00244412822320672,NA,NA,-0.699388818772873,0.0170663532321257,8,-780.392401711026,1576.85187375275,177.041510686767,1.74908574632139e-39,1,TRUE
-1.79805335134509,0.165642048574513,-0.00244023456106185,NA,NA,0.0708586037782228,NA,7,-781.694186939487,1577.44051540598,177.630152339997,1.30313434099952e-39,1,FALSE
-0.279672834067283,0.168843074303099,-0.00244682220096982,NA,NA,NA,NA,6,-796.353949132222,1604.74698621233,204.936623146347,1.53272553943752e-45,1,FALSE
7.86454975779376,0.0563708977865457,NA,NA,NA,-0.701323667102387,0.0172773495474646,7,-856.097737704193,1726.24761693539,326.437253869408,6.33778728103084e-72,1,TRUE
-0.929858076100128,0.0561876734852759,NA,NA,NA,0.0787929479790252,NA,6,-857.442890927432,1726.92486980275,327.114506736768,4.51724938086797e-72,1,FALSE
0.77111837587758,0.0589798329358143,NA,NA,NA,NA,NA,5,-875.728052070341,1761.48401111743,361.673648051447,1.41400804666542e-79,1,FALSE
0.167827873305958,NA,NA,0.0043961438291441,-4.64090780219253e-06,0.0446791453977027,NA,7,-902.015812324732,1818.08376617647,418.273403110487,7.24387973285441e-92,1,FALSE
1.37245507570463,NA,NA,0.00438638546033124,-4.62880271204991e-06,-0.0620098967635559,0.00236344316535639,8,-901.986810840476,1820.04069201165,420.230328945667,2.72289055472668e-92,1,TRUE
0.416610448606135,NA,NA,0.00185790038466345,NA,0.0485753499639907,NA,6,-905.432037311716,1822.90316257132,423.092799505336,6.50807577818952e-93,1,FALSE
1.98216630975096,NA,NA,0.0018538156411311,NA,-0.0901687092144743,0.00307328053179223,7,-905.383246712255,1824.81863495151,425.008271885532,2.49754348560591e-93,1,TRUE
1.07741698976759,NA,NA,0.00492323812165455,-5.33622805578393e-06,NA,NA,6,-908.089793329004,1828.21867460589,428.408311539913,4.56250999160468e-94,1,FALSE
1.45969342351867,NA,NA,0.00201956093680208,NA,NA,NA,5,-912.667405996996,1835.36271897074,435.552355904758,1.2820185390332e-95,1,FALSE
7.60147731938853,NA,NA,NA,NA,-0.603283560173921,0.0157241056649815,6,-994.868486117694,2001.77606018327,601.965697117293,9.36906827179222e-132,1,TRUE
-0.416820896445007,NA,NA,NA,NA,0.107196705566596,NA,5,-996.017099082561,2002.06210514187,602.251742075887,8.120495501252e-132,1,FALSE
1.97595951990421,NA,NA,NA,NA,NA,NA,4,-1030.85498616557,2069.72856833301,669.91820526703,1.64435939193962e-146,1,FALSE
