"(Intercept)","tmx","I(tmx^2)","wet","I(wet^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
-731.747225727366,-0.148115316517658,NA,-1.29218776527272,0.0681084150121714,0.795059559767023,-0.000211694158747238,9,-3884.89458016756,7787.82370264946,0,0.658867519423324,0.658867519423324
-711.358621451031,-1.28516991678124,0.0182543004395505,-1.29972191760081,0.0684667277305321,0.7924345469441,-0.000211043765469389,10,-3884.54900860088,7789.14024368929,1.31654103983146,0.34112601744331,0.999993536866635
57.5527358137791,-0.14561054696609,NA,-1.25878679937785,0.0663958947440777,NA,-1.15516798549475e-05,8,-3898.07669929258,7812.18102713467,24.3573244852132,3.38588567098479e-06,0.999996922752306
77.9239929939284,-1.44810727769082,0.0209099048843157,-1.26763919389794,0.0668175444782836,NA,-1.15637775824526e-05,9,-3897.62320841012,7813.28095913457,25.4572564851187,1.95355251559338e-06,0.999998876304821
103.020950020047,-0.145419935972824,NA,-1.25614732467264,0.0662610826140109,-0.0458468888517035,NA,8,-3899.63728148309,7815.30219151568,27.4784888662225,7.1108260636165e-07,0.999999587387427
123.568962285997,-1.45611106310223,0.021041428019685,-1.26506957143247,0.0666860898707945,-0.0458954865514819,NA,9,-3899.17810413556,7816.39075058546,28.5670479360051,4.12612572474878e-07,1
-719.037559745082,NA,NA,-1.07440982054429,0.0592154218511733,0.776663770371927,-0.000207141142447536,8,-3923.24876004193,7862.52514863336,74.701445983902,3.95899732131313e-17,1
52.1141867575527,NA,NA,-1.04727041055808,0.057788565097951,NA,-1.16316412157851e-05,7,-3935.19905537923,7884.41959550813,96.5958928586751,6.97054085344975e-22,1
97.9081517225639,NA,NA,-1.04495307476527,0.0576673493150862,-0.0461658220821383,NA,7,-3936.66187725239,7887.34523925445,99.5215366049943,1.61425079649775e-22,1
-668.375147141822,-0.121788317932693,NA,0.0573539198319724,NA,0.722709084628787,-0.000193218484665347,8,-3938.72128515269,7893.47019885488,105.646496205421,7.55010395255018e-24,1
-665.250097381727,-0.290904391564475,0.00271526316921932,0.0572885480964165,NA,0.722219316263166,-0.000193096588704895,9,-3938.71375143391,7895.46204518216,107.638342532708,2.78887466355821e-24,1
49.3034918503447,-0.120322014597007,NA,0.0568179507743871,NA,NA,-1.12960741586545e-05,7,-3949.33363389656,7912.68875254279,124.865049893333,5.06637139273293e-28,1
54.6073957732608,-0.460245506311938,0.0054575992547173,0.0566864719210949,NA,NA,-1.12988951094241e-05,8,-3949.30319628152,7914.63402111254,126.810318463086,1.91552277485686e-28,1
93.7900908723838,-0.120186436229581,NA,0.0567887685321741,NA,-0.0448375023662261,NA,7,-3950.69136779878,7915.40422034723,127.580517697772,1.30328885417629e-28,1
99.2462322688701,-0.469125727665739,0.00560234584261884,0.0566537364584949,NA,-0.044849072340807,NA,8,-3950.65929700452,7917.34622255855,129.52251990909,4.93560344904331e-29,1
-668.472289909652,NA,NA,0.0923442139276327,NA,0.719017774403493,-0.000192379735653809,7,-3964.6684854995,7943.35845574867,155.534753099213,1.10880605994848e-34,1
-637.611020135208,-0.199634014835325,NA,NA,NA,0.694260640864904,-0.000185939581006296,7,-3965.34737839536,7944.71624154039,156.892538890932,5.62362240261706e-35,1
-622.094642576106,-1.04615821757902,0.013598713787131,NA,NA,0.691928189044955,-0.000185359956277664,8,-3965.16081503961,7946.34925862872,158.525555979269,2.48548414547795e-35,1
45.5951379083362,NA,NA,0.0914506750857507,NA,NA,-1.13879459692848e-05,6,-3974.6855047965,7961.3871200648,173.563417415347,1.34890348445002e-38,1
51.785622331001,-0.19736768903424,NA,NA,NA,NA,-1.11782999664443e-05,6,-3975.43900833497,7962.89412714175,175.070424492298,6.34948421224701e-39,1
90.4496099370864,NA,NA,0.0913835079931051,NA,-0.0452029000481459,NA,6,-3975.98661650865,7963.9893434891,176.165640839647,3.67210625730277e-39,1
67.5850167797532,-1.21055190120683,0.0162757135434518,NA,NA,NA,-1.11873737547222e-05,7,-3975.1716792954,7964.36484334047,176.541140691012,3.0435222629162e-39,1
95.808912216597,-0.197189378546517,NA,NA,NA,-0.0443711073979905,NA,6,-3976.76992040675,7965.55595128531,177.732248635855,1.67776325654731e-39,1
111.789063824788,-1.21962411695654,0.0164243017551396,NA,NA,-0.0444076695470277,NA,7,-3976.49770880298,7967.01690235563,179.193199706175,8.08144803915895e-40,1
-583.67191614184,NA,NA,NA,NA,0.633912327358878,-0.000170798566131785,6,-4076.0725315204,8164.1611735126,376.337470863147,1.25358744456625e-82,1
45.8765083321839,NA,NA,NA,NA,NA,-1.12316571493646e-05,5,-4083.84775894966,8177.70702317258,389.883320523121,1.43453369545663e-85,1
90.1242481794793,NA,NA,NA,NA,-0.0445873065801577,NA,5,-4084.98335688679,8179.97821904683,392.15451639738,4.60815242582305e-86,1
10.2061620733761,-0.124971277218137,NA,-1.05706667522533,0.0563666347504121,NA,NA,7,-4289.22472086147,8592.4709264726,804.647223823149,1.2355874993624e-175,1
17.5720654017447,-0.596563703853748,0.00756885369359384,-1.0614026383926,0.0565760116336854,NA,NA,8,-4289.1630245235,8594.35367759651,806.529974947056,4.81991405019177e-176,1
5.14421081454537,NA,NA,-0.849401462173518,0.0476041751138963,NA,NA,6,-4317.24321280957,8646.50253609094,858.678833441483,2.28590697618908e-187,1
3.88086317391113,-0.0981812761548791,NA,0.0614414123823196,NA,NA,NA,6,-4328.49210044114,8669.00031135408,881.176608704629,2.97665654271619e-192,1
-6.44259682045264,0.564740232688997,-0.0106418618354105,0.0616966981086159,NA,NA,NA,7,-4328.37159521591,8670.76467518148,882.940972532027,1.23197526945075e-192,1
0.565970780583545,NA,NA,0.0889135824050429,NA,NA,NA,5,-4346.03994298075,8702.09139123476,914.267688585302,1.94129721226442e-199,1
7.11632273833636,-0.182982552460353,NA,NA,NA,NA,NA,5,-4361.88101709166,8733.77353945657,945.949836807116,2.56094916098448e-206,1
8.5443524488559,-0.274754227383728,0.00147399109312254,NA,NA,NA,NA,6,-4361.87874065331,8735.77359177842,947.949889128964,9.42095899789936e-207,1
1.44380939515158,NA,NA,NA,NA,NA,NA,4,-4457.57918097177,8923.1660306552,1135.34232800575,1.91577294767571e-247,1
