"(Intercept)","tmx","I(tmx^2)","wet","I(wet^2)","Year","I(Year^2)","df","logLik","AICc","delta","weight","cw"
355.993949118947,-2.79786895433171,0.0454634362489617,-0.330638613667552,0.0181273396257276,-0.31732540261693,8.10882758344429e-05,10,-6042.61603092341,12105.2657783219,0,0.433706818373536,0.433706818373536
311.439039896816,0.0313872407794769,NA,-0.318197483439575,0.0175484612801387,-0.316993189032677,8.10435923831273e-05,9,-6044.18494427218,12106.3974705241,1.13169220222153,0.246293193811743,0.68000001218528
318.429785339145,NA,NA,-0.360637073090826,0.0192783087165996,-0.322862471028364,8.25361255856523e-05,8,-6045.5080443689,12107.0381509409,1.77237261903792,0.178784731107818,0.858784743293098
358.437816537325,-2.62442559100702,0.0427818336994486,0.0292415641002208,NA,-0.324630653509242,8.29886513062467e-05,9,-6045.52314164355,12109.0738652669,3.80808694496773,0.0646071638169451,0.923391907110043
316.340549644702,0.0377602187171928,NA,0.0301393070762856,NA,-0.324079963509898,8.28848919854341e-05,8,-6046.91404263453,12109.8501474722,4.58436915031052,0.04382411326096,0.967216020371003
325.570114538138,NA,NA,0.0201900673915156,NA,-0.332197706477681,8.49538247720669e-05,7,-6048.86601903947,12111.7491949417,6.48341661977975,0.0169566563581481,0.984172676729151
42.4062447106523,-2.77475961048137,0.0451341902098741,-0.344397908180488,0.0189020113126009,NA,7.34063195846545e-07,9,-6048.42211435053,12114.8718106808,9.60603235892449,0.0035585479863535,0.987731224715504
39.6722903353395,-2.77958721472331,0.0452123228035951,-0.34495656465901,0.0189309301624609,0.00287341460376294,NA,9,-6048.52730923063,12115.082200441,9.8164221191164,0.0032032237115394,0.990934448427044
-1.5009292866964,0.0340128417690586,NA,-0.331910316493689,0.0183202633245609,NA,7.73135736803054e-07,8,-6049.96884404548,12115.9597502941,10.6939719722141,0.00206552160144546,0.992999970028489
-4.46349371013292,0.0340489227367324,NA,-0.332451258813063,0.0183484108870916,0.00302797889786186,NA,8,-6050.07939905794,12116.180860319,10.9150819971328,0.00184933806721163,0.994849308095701
