"(Intercept)","dbh","I(dbh^2)","pre","I(pre^2)","tmx","I(tmx^2)","Year","df","logLik","AICc","delta","weight","cw","any_u_shaped"
-6.88094281641124,0.314560569826566,-0.00377657218876348,0.00335123008698328,NA,NA,NA,NA,7,-245.132255607329,504.411300205485,0,0.177847119029674,0.177847119029674,FALSE
-13.7589005809451,0.30436346252414,-0.00377775924088023,0.00337313868759122,NA,NA,NA,0.00363177447905595,8,-244.307119495553,504.80321536906,0.39191516357522,0.146198709101027,0.324045828130701,FALSE
-6.77928012197809,0.313985887399144,-0.00377136058452025,-0.000156512886866033,3.15703190595885e-05,NA,NA,NA,8,-244.722802640773,505.634581659498,1.2232814540136,0.0964749676765859,0.420520795807287,TRUE
-5.25947331829945,0.31447731981584,-0.00377993044527412,0.00288251143434854,NA,-0.360082506771458,0.0202161958205137,NA,9,-243.714551801118,505.665634482656,1.25433427717195,0.0949886262548555,0.515509422062142,TRUE
-13.5479304807834,0.304119527756677,-0.00377359507369608,1.12855873420211e-05,3.02508228604479e-05,NA,NA,0.00357006374598071,9,-243.932252374182,506.101035628785,1.68973542330065,0.076405645524002,0.591915067586144,FALSE
-12.0125421588105,0.304724543396618,-0.00378229216275429,0.00290945592547887,NA,-0.353630465788092,0.0198390069754988,0.00354837164448461,10,-242.938163226896,506.165800138003,1.75449993251891,0.0739710894031748,0.665886156989319,TRUE
-6.82394272471135,0.314667959447609,-0.00377779120984156,0.00328229849009291,NA,-0.00642964249134369,NA,NA,8,-245.021685169427,506.232346716807,1.82104651132221,0.0715503246747747,0.737436481664093,FALSE
-13.7145829851466,0.304417464591537,-0.00377870642414275,0.00330306688846345,NA,-0.00657346054710681,NA,0.00363953417971537,9,-244.19187723771,506.62028535584,2.2089851503552,0.0589347985917399,0.796371280255833,FALSE
-6.70782812343774,0.31407733109618,-0.0037724389696687,-0.000410384752060999,3.31330079437931e-05,-0.00748392178901013,NA,NA,9,-244.573483106316,507.383497093053,2.97219688756837,0.040238564657166,0.836609844913,TRUE
-5.35227698887037,0.314292951592314,-0.00377791852251911,0.00166491400221431,1.12293725950541e-05,-0.330572209997126,0.0185090408333771,NA,10,-243.671977792502,507.633429269215,3.22212906373056,0.0355116129209173,0.872121457833917,TRUE
-13.4851864883184,0.30416387023369,-0.00377438449136577,-0.000245034491881642,3.1829805722674e-05,-0.00758259844014323,NA,0.00357552252993279,10,-243.779420023188,507.848313730587,3.4370135251022,0.031893988279247,0.904015446113164,TRUE
-12.0721977284791,0.304614512803625,-0.0037805725819518,0.00179639298308286,1.02638570814488e-05,-0.326704038541536,0.0182813660118482,0.00353491041341473,11,-242.902661755143,508.153149597242,3.74184939175723,0.0273851146139045,0.931400560727068,TRUE
-3.06484020599135,0.0706113923344684,NA,0.00333323614685522,NA,NA,NA,NA,6,-248.75389830903,509.617744262038,5.20644405655383,0.0131668495248925,0.944567410251961,FALSE
-9.81377268254221,0.060207174611239,NA,0.0033542136277279,NA,NA,NA,0.00356932784695835,7,-248.000072103263,510.146933197351,5.73563299186662,0.0101057826888037,0.954673192940765,FALSE
-2.96459929849066,0.0703910168140467,NA,-0.000347462550137013,3.31307767821687e-05,NA,NA,NA,7,-248.302925702579,510.752640395983,6.34134019049861,0.00746521479462137,0.962138407735386,TRUE
-1.41293376450501,0.0703419214003738,NA,0.00286013244308617,NA,-0.366751688307661,0.0206135368588372,NA,8,-247.289114930764,510.767206239481,6.35590603399686,0.00741104372071811,0.969549451456104,TRUE
-9.58584550624636,0.0602808652799687,NA,-0.000183119453238082,3.18334123446819e-05,NA,NA,0.00349842194048179,8,-247.584964114623,511.358904607198,6.94760440171393,0.0055130725456113,0.975062524001715,TRUE
